term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
aeroporto,True,aeroporto,noun,airport,"travel,transport",,,masculine,singular,,,False,False,False,none,,,,base lemma,Visito un aeroporto moderno.,I visit a modern airport.
un aeroporto,False,aeroporto,noun,an airport,"travel,transport",,,masculine,singular,,,False,False,False,indefinite,un,un,,,C'è un aeroporto vicino.,There's an airport nearby.
l'aeroporto,False,aeroporto,noun,the airport,"travel,transport",,,masculine,singular,,,False,False,False,definite,l',l',,,L'aeroporto è lontano.,The airport is far.
aeroporti,False,aeroporto,noun,airports,"travel,transport",,,masculine,plural,,,False,False,False,none,,,,plural form,Aeroporti europei sono efficienti.,European airports are efficient.
gli aeroporti,False,aeroporto,noun,the airports,"travel,transport",,,masculine,plural,,,False,False,False,definite,gli,gli,,,Gli aeroporti chiudono tardi.,Airports close late.
degli aeroporti,False,aeroporto,noun,some airports,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,gli,degli,di,,Visitiamo degli aeroporti nuovi.,We visit some new airports.
dell'aeroporto,False,aeroporto,noun,of the airport,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,l',dell',di,,L'uscita dell'aeroporto è a destra.,The airport's exit is on the right.
all'aeroporto,False,aeroporto,noun,to the airport,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,l',all',a,,Arrivo all'aeroporto presto.,I arrive at the airport early.
agli aeroporti,False,aeroporto,noun,to the airports,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,gli,agli,a,,Navette agli aeroporti principali.,Shuttles to the main airports.
dall'aeroporto,False,aeroporto,noun,from the airport,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,l',dall',da,,Esco dall'aeroporto.,I leave the airport.
dagli aeroporti,False,aeroporto,noun,from the airports,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,gli,dagli,da,,Voli dagli aeroporti vicini.,Flights from nearby airports.
nell'aeroporto,False,aeroporto,noun,in the airport,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,l',nell',in,,Mangio nell'aeroporto.,I eat in the airport.
negli aeroporti,False,aeroporto,noun,in the airports,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,gli,negli,in,,Lavori negli aeroporti.,Jobs in airports.
sull'aeroporto,False,aeroporto,noun,on the airport,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,l',sull',su,,Dati sull'aeroporto.,Data about the airport.
sugli aeroporti,False,aeroporto,noun,on the airports,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,gli,sugli,su,,Report sugli aeroporti.,Report on airports.
con l'aeroporto,False,aeroporto,noun,with the airport,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,l',con l',con,,Collaboriamo con l'aeroporto.,We collaborate with the airport.
con gli aeroporti,False,aeroporto,noun,with the airports,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,gli,con gli,con,,Lavoriamo con gli aeroporti regionali.,We work with regional airports.
