term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
autobus,True,autobus,noun,bus,"transport,public",,,masculine,singular,,,False,False,False,none,,,,base lemma,Aspetto un autobus.,I'm waiting for a bus.
un autobus,False,autobus,noun,a bus,"transport,public",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Prendo un autobus diretto.,I'm taking a direct bus.
l'autobus,False,autobus,noun,the bus,"transport,public",,,masculine,singular,,,False,False,False,definite,l',l',,,L'autobus è in ritardo.,The bus is late.
autobus,False,autobus,noun,buses,"transport,public",,,masculine,plural,,,False,False,False,none,,,,invariable plural,Autobus affollati stamattina.,Crowded buses this morning.
gli autobus,False,autobus,noun,the buses,"transport,public",,,masculine,plural,,,False,False,False,definite,gli,gli,,invariable plural,Gli autobus partono spesso.,The buses depart often.
degli autobus,False,autobus,noun,some buses,"transport,public",,,masculine,plural,,,False,False,False,articulated_preposition,gli,degli,di,invariable plural,Aspettiamo degli autobus.,We're waiting for some buses.
dell'autobus,False,autobus,noun,of the bus,"transport,public",,,masculine,singular,,,False,False,False,articulated_preposition,l',dell',di,,Il numero dell'autobus è 12.,The bus number is 12.
all'autobus,False,autobus,noun,to the bus,"transport,public",,,masculine,singular,,,False,False,False,articulated_preposition,l',all',a,,Salgo all'autobus.,I get on the bus.
agli autobus,False,autobus,noun,to the buses,"transport,public",,,masculine,plural,,,False,False,False,articulated_preposition,gli,agli,a,invariable plural,Accesso agli autobus urbani.,Access to urban buses.
dall'autobus,False,autobus,noun,from the bus,"transport,public",,,masculine,singular,,,False,False,False,articulated_preposition,l',dall',da,,Scendo dall'autobus.,I get off the bus.
dagli autobus,False,autobus,noun,from the buses,"transport,public",,,masculine,plural,,,False,False,False,articulated_preposition,gli,dagli,da,invariable plural,Orari dagli autobus extraurbani.,Schedules from the intercity buses.
nell'autobus,False,autobus,noun,in the bus,"transport,public",,,masculine,singular,,,False,False,False,articulated_preposition,l',nell',in,,Posti liberi nell'autobus.,Free seats on the bus.
negli autobus,False,autobus,noun,in the buses,"transport,public",,,masculine,plural,,,False,False,False,articulated_preposition,gli,negli,in,invariable plural,Aria condizionata negli autobus.,Air conditioning on the buses.
sull'autobus,False,autobus,noun,on the bus,"transport,public",,,masculine,singular,,,False,False,False,articulated_preposition,l',sull',su,,Oblitero il biglietto sull'autobus.,I validate the ticket on the bus.
sugli autobus,False,autobus,noun,on the buses,"transport,public",,,masculine,plural,,,False,False,False,articulated_preposition,gli,sugli,su,invariable plural,Cartelli sugli autobus.,Signs on the buses.
con l'autobus,False,autobus,noun,with the bus,"transport,public",,,masculine,singular,,,False,False,False,articulated_preposition,l',con l',con,,Vado con l'autobus.,I go by bus.
con gli autobus,False,autobus,noun,with the buses,"transport,public",,,masculine,plural,,,False,False,False,articulated_preposition,gli,con gli,con,,Viaggio con gli autobus notturni.,I travel with the night buses.
