cialtrone|slob; boor
ciambella|doughnut
ciambelle|doughnuts
ciance|chatter; idle talk
cianuro|cyanide
cicala|cicada
cicale|cicadas
cicatrice|scar
cicatrici|scars
ciccione|fat person
cicerello|lancefish
ciclismo|cycling
ciclista|cyclist
ciclo|cycle; menstrual period
cicogne|storks
ciechi|blind men
cieco|blind man
ciel|heaven
cieli|heavens; skies
ciglia|eyelashes
cigni|swans
cigno|swan
ciliegi|cherry trees
ciliegia|cherry
ciliegie|cherries
ciliegio|cherry tree
cilindri|cylinders
cima|top; summit
cime|summits; peaks
cimelio|heirloom
ciminiera|chimney; smokestack
ciminiere|chimneys; smokestacks
cimiteri|cemeteries; graveyards
cimitero|cemetery; graveyard
cinghia|belt; strap
cinghiali|wild boars
cinguettio|chirping; twittering
cintola|waist
cintura|belt; seat belt
cinture|belts; seat belts
ciocca|lock of hair; tuft
cioccolata|hot chocolate; chocolate drink
cioccolatini|chocolate candies
cioccolato|chocolate
ciotola|bowl
ciotole|bowls
cipolla|onion
cipolle|onions
circo|circus
circolazione|circulation; traffic
circoli|clubs; circles
circolo|club; circle
circoncisione|circumcision
circonferenza|circumference
circostanze|circumstances
circuito|circuit
citazione|quotation; citation
citazioni|quotations; citations
cittadina|citizen (feminine); small town
cittadinanza|citizenship
cittadine|citizens (feminine); small towns
cittadini|citizens (masculine)
cittadino|citizen (masculine)
ciurma|crew; ship crew
civette|owls; little owls
civile|civilian
civili|civilians
civilizzazione|civilization; civilizing process
civiltà|civilization; culture
clacson|car horn
clamore|uproar; clamor
clarinettista|clarinetist
clarinetto|clarinet
classificato|runner-up; place finisher
classificazioni|classifications
clausole|clauses
claustrofobia|claustrophobia
cliché|cliché
cliente|customer; client
clienti|customers; clients
clima|climate
climatizzatore|air conditioner
climi|climates
clitoride|clitoris
clivi|hillsides; slopes
clonazione|cloning
clone|clone
cloni|clones
cloruro|chloride
clown|clown
club|club
co-fondatori|co-founders
coach|coach
coalizione|coalition
coca|coke; cola
cocaina|cocaine
cocainomane|cocaine addict
cocci|shards; pieces of glass
cocco|coconut; darling
coccodrilli|crocodiles
coccodrillo|crocodile
coche|cokes
cocktail|cocktail
coco|coconut jelly
cocomeri|watermelons
cocomero|watermelon
coda|tail; line
codarda|coward (feminine)
codardi|cowards
codardo|coward
code|dress codes
codice|code
codici|codes
codone|bushy tail; large tail feather
coerenza|coherence; consistency
cofano|car hood
coffee|coffee shop
coglione|jerk; asshole
cognato|brother-in-law
cognizione|cognition; knowledge
cognome|surname; last name
cognomi|surnames; last names
coincidenza|coincidence
coincidenze|coincidences
coinvolgimento|involvement
coito|intercourse; coitus
col|with the (masculine)
colera|cholera
colesterolo|cholesterol
colibrì|hummingbird
colla|glue
collaborazione|collaboration
collaborazionisti|collaborators; enemy sympathizers
collana|necklace
collare|collar
collega|colleague
collegamento|connection; link
college|college; boarding school
colleghe|colleagues (feminine)
colleghi|colleagues (masculine)
collegio|boarding school; college
collera|anger; rage
colletto|collar band; collar
collezione|collection
collezioni|collections
collezionista|collector
collezionisti|collectors
colli|hills
collina|hill
colline|hills
collo|neck
colloqui|talks; interviews
colloquio|interview; talk
collusione|collusion
colomba|dove
colombe|doves
coloni|colonists
colonia|colony
colonie|colonies
colonizzazione|colonization
colonna|column; pillar
colonnato|colonnade
colonne|columns
colpevole|culprit; guilty person
colpevolezza|guilt
colpi|blows; shots
colpo|blow; shot
coltivatore|farmer; cultivator
coltivazione|cultivation; farming
colture|crops; cultivated fields
coma|coma
comandamento|commandment
comandante|commander
comandanti|commanders
comando|command
combattente|fighter; combatant
combattenti|fighters; combatants
combattimenti|battles; fights
combattimento|battle; fight
combinazione|combination
combustibile|fuel
combustibili|fuels
combustione|combustion
cometa|comet
comicità|comedy; comic effect
comitato|committee
comizio|rally; public meeting
commedia|comedy; play
commedie|comedies; plays
commentatori|commentators
commenti|comments
commento|comment
commerciante|merchant; shopkeeper
commercio|trade; commerce
commessa|salesclerk (feminine)
commesso|salesclerk (masculine)
commissario|commissioner
commissione|commission; committee
commissioni|commissions; fees
commit|commit (version control)
como|Como (city)
comodità|comfort; convenience
compact|compact disc
compagna|companion (feminine); classmate (feminine)
compagne|companions (feminine); classmates (feminine)
compagni|companions (masculine); classmates (masculine)
compagnia|company; troupe
compagnie|companies; troupes
compagno|companion (masculine); classmate (masculine)
comparsa|appearance; onset
compassi|compasses (drawing)
compassione|compassion
compasso|compass (drawing)
compatibilità|compatibility
compenso|compensation; fee
compera|purchase
compere|shopping; purchases
competenza|competence; expertise
competenze|skills; competences
competizione|competition
competizioni|competitions
compimento|completion; fulfillment
complessità|complexity
complesso|complex
completo|suit; outfit
complicazione|complication
complice|accomplice
complici|accomplices
complicità|complicity
complimenti|compliments; congratulations
complimento|compliment
complotto|plot; conspiracy
componente|component; member
componenti|components; members
comportamenti|behaviors
comportamento|behavior
compositore|composer
compositori|composers
composizione|composition
compostaggio|composting
composto|compound; mixture
comprala|buy it (feminine command)
compralo|buy it (masculine command)
compratore|buyer; purchaser
compratori|buyers; purchasers
comprensione|understanding; comprehension
compresse|tablets; pills
compromessi|compromises
compromesso|compromise
comunicatore|communicator (masculine)
comunicatori|communicators (masculine)
comunicatrici|communicators (feminine)
comunicazione|communication
comunicazioni|communications
comunismo|communism
comunista|communist
comunisti|communists
comunità|community
comò|dresser; chest of drawers
conati|retching; dry heaves
concentrazione|concentration
concessionario|dealership; dealer
concetto|concept
conchiglie|seashells
conclusione|conclusion
conclusioni|conclusions
concordia|harmony; concord
concorrenti|competitors
concorrenza|competition; rivalry
