english,italian
a table,un tavolo
for how many persons,per quante persone
we would like a table for two,vorremmo un tavolo per due
I would like this one,vorrei questo
I would like that one over there,vorrei quello laggiù
another table,un altro tavolo
do you have another table,avete un altro tavolo
the window,la finestra
near the window,vicino alla finestra
the menu please,il menù per piacere
the bill please,il conto per piacere
included,incluso
is the service included,il servizio è incluso
the soup,la minestra
the salad, l'insalata
an appetizer,un antipasto
a dessert,un dessert / un dolce
a drink,una bevanda
a list,una lista
a wine list,una lista dei vini
the first course,il primo piatto
the second course,il secondo piatto
a side dish,un contorno
vegatables,verdure
ice,ghiaccio
the tip,la mancia
a waiter,un cameriere
a waitress,una cameriera
[to call a waiter],cameriere
to pay,pagare
I would like to pay,vorrei pagare
two coffees please, due caffè per piacere
do you want dessert, vuole dessert
