term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
biglietto,True,biglietto,noun,ticket,"travel,transport",,,masculine,singular,,,False,False,False,none,,,,base lemma,Compro un biglietto online.,I buy a ticket online.
un biglietto,False,biglietto,noun,a ticket,"travel,transport",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Mi serve un biglietto.,I need a ticket.
il biglietto,False,biglietto,noun,the ticket,"travel,transport",,,masculine,singular,,,False,False,False,definite,il,il,,,Il biglietto costa poco.,The ticket is cheap.
biglietti,False,biglietto,noun,tickets,"travel,transport",,,masculine,plural,,,False,False,False,none,,,,plural form,Biglietti esauriti.,Tickets sold out.
i biglietti,False,biglietto,noun,the tickets,"travel,transport",,,masculine,plural,,,False,False,False,definite,i,i,,,I biglietti sono validi.,The tickets are valid.
dei biglietti,False,biglietto,noun,some tickets,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,i,dei,di,,Compra dei biglietti extra.,Buy some extra tickets.
del biglietto,False,biglietto,noun,of the ticket,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,,La data del biglietto è sbagliata.,The ticket's date is wrong.
al biglietto,False,biglietto,noun,to the ticket,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,,Aggiungo il nome al biglietto.,I add the name to the ticket.
ai biglietti,False,biglietto,noun,to the tickets,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,,Accedo ai biglietti digitali.,I access the digital tickets.
dal biglietto,False,biglietto,noun,from the ticket,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,,Leggo i dati dal biglietto.,I read the data from the ticket.
dai biglietti,False,biglietto,noun,from the tickets,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,,Codici dai biglietti cartacei.,Codes from the paper tickets.
nel biglietto,False,biglietto,noun,in the ticket,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,,C'è un errore nel biglietto.,There's an error in the ticket.
nei biglietti,False,biglietto,noun,in the tickets,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,,Note nei biglietti.,Notes in the tickets.
sul biglietto,False,biglietto,noun,on the ticket,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,,Firma sul biglietto.,Signature on the ticket.
sui biglietti,False,biglietto,noun,on the tickets,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,,Sconti sui biglietti.,Discounts on the tickets.
col biglietto,False,biglietto,noun,with the ticket,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Entro col biglietto elettronico.,I enter with the electronic ticket.
coi biglietti,False,biglietto,noun,with the tickets,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Viaggio coi biglietti prepagati.,I travel with prepaid tickets.
