term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
fossa,True,fossa,ditch,noun,ditch,"nature,places",,,feminine,singular,,,False,False,False,,,,,base lemma,Vedo fossa profonda.,I see a deep ditch.
una fossa,False,fossa,ditch,noun,a ditch,"nature,places",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Scavo una fossa piccola.,I dig a small ditch.
la fossa,False,fossa,ditch,noun,the ditch,"nature,places",,,feminine,singular,,,False,False,False,definite,la,la,,,La fossa è profonda.,The ditch is deep.
fosse,False,fossa,ditch,noun,ditches,"nature,places",,,feminine,plural,,,False,False,False,,,,,plural form,Fosse profonde bloccano il passaggio.,Deep ditches block the passage.
le fosse,False,fossa,ditch,noun,the ditches,"nature,places",,,feminine,plural,,,False,False,False,definite,le,le,,,Le fosse sono protette.,The ditches are protected.
delle fosse,False,fossa,ditch,noun,some ditches,"nature,places",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Hanno scavato delle fosse nuove.,They dug some new ditches.
della fossa,False,fossa,ditch,noun,of the ditch,"nature,places",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il bordo della fossa è scivoloso.,The edge of the ditch is slippery.
alla fossa,False,fossa,ditch,noun,to the ditch,"nature,places",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Mi avvicino alla fossa.,I approach the ditch.
dalla fossa,False,fossa,ditch,noun,from the ditch,"nature,places",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Esce acqua dalla fossa.,Water comes out of the ditch.
nella fossa,False,fossa,ditch,noun,in the ditch,"nature,places",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Metto la scala nella fossa.,I put the ladder in the ditch.
sulla fossa,False,fossa,ditch,noun,on the ditch,"nature,places",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,C'è una tavola sulla fossa.,There is a board over the ditch.
con la fossa,False,fossa,ditch,noun,with the ditch,"nature,places",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,combination of con + la,Il sentiero finisce con la fossa.,The path ends with the ditch.
alle fosse,False,fossa,ditch,noun,to the ditches,"nature,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Andiamo alle fosse dietro la casa.,We go to the ditches behind the house.
dalle fosse,False,fossa,ditch,noun,from the ditches,"nature,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Viene acqua dalle fosse.,Water comes from the ditches.
nelle fosse,False,fossa,ditch,noun,in the ditches,"nature,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Cadono foglie nelle fosse.,Leaves fall into the ditches.
sulle fosse,False,fossa,ditch,noun,on the ditches,"nature,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Mettono tavole sulle fosse.,They put boards over the ditches.
con le fosse,False,fossa,ditch,noun,with the ditches,"nature,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,combination of con + le,Hanno lavorato con le fosse già scavate.,They worked with the ditches already dug.
