term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
acqua,True,acqua,water,noun,water,"core,environment",,,feminine,singular,,,False,False,False,,,,,mass noun; usually uncountable; plural 'acque' for bodies of water,Bevo acqua.,I drink water.
un'acqua,False,acqua,water,noun,a water,"core,environment",,,feminine,singular,,,False,False,False,indefinite,un',un',,indefinite with elision before vowel,Vorrei un'acqua per favore.,I would like a water please.
l'acqua,False,acqua,water,noun,the water,"core,environment",,,feminine,singular,,,False,False,False,definite,l',l',,elision of la before vowel,L'acqua è fredda.,The water is cold.
acque,False,acqua,water,noun,waters,"core,environment",,,feminine,plural,,,False,False,False,,,,,plural used for bodies of water and poetic contexts,Le acque del lago sono calme.,The waters of the lake are calm.
le acque,False,acqua,water,noun,the waters,"core,environment",,,feminine,plural,,,False,False,False,definite,le,le,,definite plural usage,Le acque sono limpide.,The waters are clear.
delle acque,False,acqua,water,noun,some waters,"core,environment",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural,Ci sono delle acque termali qui.,There are some thermal waters here.
dell'acqua,False,acqua,water,noun,of the water,"core,environment",,,feminine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',Il sapore dell'acqua è neutro.,The taste of the water is neutral.
all'acqua,False,acqua,water,noun,to the water,"core,environment",,,feminine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',Avvicinati all'acqua.,Come closer to the water.
dall'acqua,False,acqua,water,noun,from the water,"core,environment",,,feminine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Il sapore viene dall'acqua.,The taste comes from the water.
nell'acqua,False,acqua,water,noun,in the water,"core,environment",,,feminine,singular,,,False,False,False,articulated_preposition,l',nell',in,contraction of in + l',C'è qualcosa nell'acqua.,There is something in the water.
sull'acqua,False,acqua,water,noun,on the water,"core,environment",,,feminine,singular,,,False,False,False,articulated_preposition,l',sull',su,contraction of su + l',La barca galleggia sull'acqua.,The boat floats on the water.
con l'acqua,False,acqua,water,noun,with the water,"core,environment",,,feminine,singular,,,False,False,False,articulated_preposition,l',con l',con,no contraction with l',Frulla con l'acqua.,Blend it with water.
