term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
strada,True,strada,noun,road,"places,transport",,,feminine,singular,,,False,False,False,none,,,,base lemma,Attraverso strada con cura.,I cross the road carefully.
una strada,False,strada,noun,a road,"places,transport",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Cerco una strada alternativa.,I'm looking for an alternative road.
la strada,False,strada,noun,the road,"places,transport",,,feminine,singular,,,False,False,False,definite,la,la,,,La strada è chiusa.,The road is closed.
strade,False,strada,noun,roads,"places,transport",,,feminine,plural,,,False,False,False,none,,,,plural form,Strade vuote stamattina.,Empty roads this morning.
le strade,False,strada,noun,the roads,"places,transport",,,feminine,plural,,,False,False,False,definite,le,le,,,Le strade sono strette.,The roads are narrow.
delle strade,False,strada,noun,some roads,"places,transport",,,feminine,plural,,,False,False,False,articulated_preposition,le,delle,di,,Conosco delle strade migliori.,I know some better roads.
della strada,False,strada,noun,of the road,"places,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,,Il nome della strada è lungo.,The road's name is long.
alla strada,False,strada,noun,to the road,"places,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,,Torno alla strada principale.,I return to the main road.
alle strade,False,strada,noun,to the roads,"places,transport",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,,Accesso alle strade interne.,Access to inner roads.
dalla strada,False,strada,noun,from the road,"places,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,,Rumore dalla strada.,Noise from the road.
dalle strade,False,strada,noun,from the roads,"places,transport",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,,Detriti dalle strade.,Debris from the roads.
nella strada,False,strada,noun,in the road,"places,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,,C'è traffico nella strada.,There is traffic in the road.
nelle strade,False,strada,noun,in the roads,"places,transport",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,,Buche nelle strade.,Potholes in the roads.
sulla strada,False,strada,noun,on the road,"places,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,,Cammino sulla strada.,I walk on the road.
sulle strade,False,strada,noun,on the roads,"places,transport",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,,Controlli sulle strade.,Checks on the roads.
con la strada,False,strada,noun,with the road,"places,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,,Problemi con la strada provinciale.,Problems with the provincial road.
con le strade,False,strada,noun,with the roads,"places,transport",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,,Lavoriamo con le strade locali.,We work with the local roads.
