term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
ricco,True,ricco,rich,noun,rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,,,,,also an adjective; spelling change -co → -chi/-che,Cerco ricco per il progetto.,I am looking for a rich person for the project.
un ricco,False,ricco,rich,noun,a rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ho incontrato un ricco al gala.,I met a rich person at the gala.
il ricco,False,ricco,rich,noun,the rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,definite,il,il,,,Il ricco aiuta il museo.,The rich person helps the museum.
ricchi,False,ricco,rich,noun,rich people (masculine),"people,wealth",,,masculine,plural,,,False,False,False,,,,,plural form,Ricchi investono molto.,Rich people invest a lot.
i ricchi,False,ricco,rich,noun,the rich (masculine),"people,wealth",,,masculine,plural,,,False,False,False,definite,i,i,,,I ricchi viaggiano spesso.,The rich travel often.
dei ricchi,False,ricco,rich,noun,some rich people (masculine),"people,wealth",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho parlato con dei ricchi.,I spoke with some rich people.
del ricco,False,ricco,rich,noun,of the rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,La casa del ricco è enorme.,The house of the rich person is huge.
al ricco,False,ricco,rich,noun,to the rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Ho scritto al ricco.,I wrote to the rich person.
ai ricchi,False,ricco,rich,noun,to the rich people (masculine),"people,wealth",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Mi rivolgo ai ricchi.,I address the rich people.
dal ricco,False,ricco,rich,noun,from the rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Vado dal ricco per un prestito.,I go to the rich person for a loan.
dai ricchi,False,ricco,rich,noun,from the rich people (masculine),"people,wealth",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Ricevo aiuti dai ricchi.,I receive help from the rich people.
nel ricco,False,ricco,rich,noun,in the rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,La fiducia nel ricco è calata.,Trust in the rich person has fallen.
nei ricchi,False,ricco,rich,noun,in the rich people (masculine),"people,wealth",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,La fiducia nei ricchi è calata.,Trust in the rich people has fallen.
sul ricco,False,ricco,rich,noun,about the rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Ho letto un articolo sul ricco.,I read an article about the rich person.
sui ricchi,False,ricco,rich,noun,about the rich people (masculine),"people,wealth",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ho letto un articolo sui ricchi.,I read an article about the rich people.
col ricco,False,ricco,rich,noun,with the rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Parlo col ricco dopo pranzo.,I speak with the rich person after lunch.
coi ricchi,False,ricco,rich,noun,with the rich people (masculine),"people,wealth",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoro coi ricchi ogni giorno.,I work with the rich people every day.
ricca,False,ricco,rich,noun,rich person (feminine),"people,wealth",,,feminine,singular,,,False,False,False,,,,,,Cerco ricca per il ruolo.,I am looking for a rich woman for the role.
una ricca,False,ricco,rich,noun,a rich person (feminine),"people,wealth",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Ho visto una ricca al gala.,I saw a rich woman at the gala.
la ricca,False,ricco,rich,noun,the rich person (feminine),"people,wealth",,,feminine,singular,,,False,False,False,definite,la,la,,,La ricca sostiene il teatro.,The rich woman supports the theater.
ricche,False,ricco,rich,noun,rich people (feminine),"people,wealth",,,feminine,plural,,,False,False,False,,,,,plural form,Ricche donano spesso.,Rich women donate often.
le ricche,False,ricco,rich,noun,the rich (feminine),"people,wealth",,,feminine,plural,,,False,False,False,definite,le,le,,,Le ricche viaggiano insieme.,The rich women travel together.
delle ricche,False,ricco,rich,noun,some rich people (feminine),"people,wealth",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho parlato con delle ricche.,I spoke with some rich women.
della ricca,False,ricco,rich,noun,of the rich person (feminine),"people,wealth",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il gesto della ricca è noto.,The gesture of the rich woman is well known.
alla ricca,False,ricco,rich,noun,to the rich person (feminine),"people,wealth",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Parlo alla ricca con calma.,I speak to the rich woman calmly.
alle ricche,False,ricco,rich,noun,to the rich people (feminine),"people,wealth",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Mi rivolgo alle ricche.,I address the rich women.
dalla ricca,False,ricco,rich,noun,from the rich person (feminine),"people,wealth",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Vengo dalla ricca più tardi.,I am coming from the rich woman later.
