english,italian
one hundred,cento
one hundred one,cento uno
one hundred two,cento due
one hundred fifteen,cento quindici
two hundred,duecento
two hundred twenty,duecentoventi
three hundred,trecento
four hundred,quattrocento
five hundred,cinquecento
six hundred,seicento
seven hundred,settecento
eight hundred,ottocento
nine hundred,novecento
one thousand,mille
one thousand one hundred,millecento
one thousand two hundred,milleduecento
one thousand five hundred,millecinquecento
one thousand seven hundred,millesettecento
ten thousand,diecimila
twenty thousand,ventimila
one hundred thousand,centomila
one million,un milione
