english_term,italian_term,part_of_speech,topics,english_base_term,italian_base_term,is_base
I,io,pronoun,[subject],I,io,True
affordable,conveniente,adjective,[cost],affordable,conveniente,True
afternoon,pomeriggio,noun,[time],afternoon,pomeriggio,True
the afternoon,il pomeriggio,noun,[time],afternoon,pomeriggio,False
the afternoons,i pomeriggi,noun,[time],afternoon,pomeriggio,False
an afternoon,un pomeriggio,noun,[time],afternoon,pomeriggio,False
airport,aeroporto,noun,[places],airport,aeroporto,True
an airport,un aeroporto,noun,[places],airport,aeroporto,False
the airports,gli aeroporti,noun,[places],airport,aeroporto,False
the airport,l'aeroporto,noun,[places],airport,aeroporto,False
all (feminine),tutta,adjective,[quantity],all,tutto,False
all (masculine),tutto,adjective,[quantity],all,tutto,True
all (feminine) (plural),tutte,adjective,[quantity],all,tutto,False
all (masculine) (plural),tutti,adjective,[quantity],all,tutto,False
amythist,ametista,noun,[jewelry and metal working],amethyst,ametista,True
the amethysts,le ametiste,noun,[jewelry and metal working],amethyst,ametista,False
the amethyst,l'ametista,noun,[jewelry and metal working],amethyst,ametista,False
an amethyst,un'ametista,noun,[jewelry and metal working],amethyst,ametista,False
ample (feminine) (plural),ampie,adjective,[size],ample,ampio,False
ample (masculine) (plural),ampi,adjective,[size],ample,ampio,False
ample (feminine),ampia,adjective,[size],ample,ampio,False
ample (masculine),ampio,adjective,[size],ample,ampio,True
angry (feminine),arrabbiata,adjective,[emotion],angry,arrabbiato,False
angry (masculine),arrabbiato,adjective,[emotion],angry,arrabbiato,True
anvil,incudine,noun,[jewelry and metal working],anvil,incudine,True
the anvils,le incudini,noun,[jewelry and metal working],anvil,incudine,False
the anvil,l'incudine,noun,[jewelry and metal working],anvil,incudine,False
an anvil,un'incudine,noun,[jewelry and metal working],anvil,incudine,False
apartment,appartamento,noun,[general],apartment,appartamento,True
the apartment,l'appartamento,noun,[general],apartment,appartamento,False
an apartment,un appartamento,noun,[general],apartment,appartamento,False
the apartments,gli appartamenti,noun,[general],apartment,appartamento,False
apple,mela,noun,[food],apple,mela,True
an apple,una mela,noun,[food],apple,mela,False
the apples,le mele,noun,[food],apple,mela,False
the apple,la mela,noun,[food],apple,mela,False
authentic (feminine),autentica,adjective,[quality],authentic,autentico,False
authentic (masculine),autentico,adjective,[quality],authentic,autentico,True
autumn,autunno,noun,[time],autumn,autunno,True
the autumn,l'autunno,noun,[time],autumn,autunno,False
an autumn,un autunno,noun,[time],autumn,autunno,False
the autumns,gli autunni,noun,[time],autumn,autunno,False
available,disponibile,adjective,[shopping],available,disponibile,True
avenue,viale,noun,[directions],avenue,viale,True
the avenues,i viali,noun,[directions],avenue,viale,False
the avenue,il viale,noun,[directions],avenue,viale,False
an avenue,un viale,noun,[directions],avenue,viale,False
average (feminine),media,adjective,[quality],average,medio,False
average (masculine),medio,adjective,[quality],average,medio,True
backpack,zaino,noun,[travel],backpack,zaino,True
the backpacks,gli zaini,noun,[travel],backpack,zaino,False
a backpack,uno zaino,noun,[travel],backpack,zaino,False
the backpack,lo zaino,noun,[travel],backpack,zaino,False
bad (feminine) (plural),cattive,adjective,[general],bad,cattivo,False
bad (feminine),cattiva,adjective,[general],bad,cattivo,False
bad (masculine) (plural),cattivi,adjective,[general],bad,cattivo,False
bad (masculine),cattivo,adjective,[general],bad,cattivo,True
banana,banana,noun,[food],banana,banana,True
the bananas,le banane,noun,[food],banana,banana,False
a banana,una banana,noun,[food],banana,banana,False
the banana,la banana,noun,[food],banana,banana,False
beach,spiaggia,noun,[places],beach,spiaggia,True
the beach,la spiaggia,noun,[places],beach,spiaggia,False
a beach,una spiaggia,noun,[places],beach,spiaggia,False
the beaches,le spiagge,noun,[places],beach,spiaggia,False
beautiful (masculine),bello,adjective,[general],beautiful,bello,True
beautiful (feminine),bella,adjective,[general],beautiful,bello,False
beautiful (feminine) (plural),belle,adjective,[general],beautiful,bello,False
beautiful (masculine) (plural),belli,adjective,[general],beautiful,bello,False
bed,letto,noun,[general],bed,letto,True
the bed,il letto,noun,[general],bed,letto,False
a bed,un letto,noun,[general],bed,letto,False
the beds,i letti,noun,[general],bed,letto,False
the beer,la birra,noun,[drinks],beer,birra,False
beer,birra,noun,[drinks],beer,birra,True
a beer,una birra,noun,[drinks],beer,birra,False
the beers,le birre,noun,[restaurant],beer,birra,False
the bench pin,il tassello da banco,noun,[jewelry and metal working],bench pin,tassello da banco,True
bezel,castone,noun,[jewelry and metal working],bezel,castone,True
the bezel,il castone,noun,[jewelry and metal working],bezel,castone,False
the bezels,i castoni,noun,[jewelry and metal working],bezel,castone,False
a bezel,un castone,noun,[jewelry and metal working],bezel,castone,False
big (plural),grandi,adjective,[general],big,grande,False
big,grande,adjective,[general],big,grande,True
bill,conto,noun,[restaurant],bill,conto,True
a bill,un conto,noun,[restaurant],bill,conto,False
the bill,il conto,noun,[restaurant],bill,conto,False
the bills,i conti,noun,[restaurant],bill,conto,False
black (masculine),nero,adjective,[color],black,nero,True
black (feminine),nera,adjective,[color],black,nero,False
blistering (masculine),torrido,adjective,[temperature],blistering,torrido,True
blistering (masculine) (plural),torridi,adjective,[temperature],blistering,torrido,False
blistering (feminine) (plural),torride,adjective,[temperature],blistering,torrido,False
blistering (feminine),torrida,adjective,[temperature],blistering,torrido,False
block,isolato,noun,[directions],block,isolato,True
the blocks,gli isolati,noun,[directions],block,isolato,False
the block,l'isolato,noun,[directions],block,isolato,False
a block,un isolato,noun,[directions],block,isolato,False
blue,blu,adjective,[color],blue,blu,True
boarding pass,cata d'imbarco,noun,[travel],boarding pass,carta d'imbarco,True
the boarding pass,la carta d'imbarco,noun,[travel],boarding pass,carta d'imbarco,False
the boarding passes,le carte d'imbarco,noun,[travel],boarding pass,carta d'imbarco,False
a boarding pass,una carta d'imbarco,noun,[travel],boarding pass,carta d'imbarco,False
boiling (plural),bollenti,adjective,[temperature],boiling,bollente,False
boiling,bollente,adjective,[temperature],boiling,bollente,True
book,libro,noun,[general],book,libro,True
the books,i libri,noun,[general],book,libro,False
a book,un libro,noun,[general],book,libro,False
the book,il libro,noun,[general],book,libro,False
boot,stivale,noun,[fashion],boot,stivale,True
the boots,gli stivali,noun,[fashion],boot,stivale,False
a boot,uno stivale,noun,[fashion],boot,stivale,False
the boot,lo stivale,noun,[fashion],boot,stivale,False
bored (masculine),annoiato,adjective,[emotion],bored,annoiato,True
bored (feminine),annoiata,adjective,[emotion],bored,annoiato,False
boy,ragazzo,noun,[people],boy,ragazzo,True
the boys,i ragazzi,noun,[people],boy,ragazzo,False
the boy,il ragazzo,noun,[people],boy,ragazzo,False
a boy,un ragazzo,noun,[people],boy,ragazzo,False
bracelet,bracciale,noun,[jewelry and metal working],bracelet,bracciale,True
the bracelets,i bracciali,noun,[jewelry and metal working],bracelet,bracciale,False
the bracelet,il bracciale,noun,[jewelry and metal working],bracelet,bracciale,False
a bracelet,un bracciale,noun,[jewelry and metal working],bracelet,bracciale,False
the brass,l'ottone,noun,[jewelry and metal working],brass,ottone,False
brass,ottone,noun,[jewelry and metal working],brass,ottone,True
bread,pane,noun,[food],bread,pane,True
a bread,un pane,noun,[restaurant],bread,pane,False
the breads,i pani,noun,[restaurant],bread,pane,False
the bread,il pane,noun,[food],bread,pane,False
breeze,brezza,noun,[weather],breeze,brezza,True
the breezes,le brezze,noun,[weather],breeze,brezza,False
a breeze,una brezza,noun,[weather],breeze,brezza,False
the breeze,la brezza,noun,[weather],breeze,brezza,False
bridge,ponte,noun,[directions],bridge,ponte,True
the bridge,il ponte,noun,[directions],bridge,ponte,False
the bridges,i ponti,noun,[directions],bridge,ponte,False
a bridge,un ponte,noun,[directions],bridge,ponte,False
broken (feminine),rotta,adjective,[shopping],broken,rotto,False
broken (masculine),rotto,adjective,[shopping],broken,rotto,True
the bronze,il bronzo,noun,[jewelry and metal working],bronze,bronzo,False
bronze,bronzo,noun,[jewelry and metal working],bronze,bronzo,True
brown,marrone,adjective,[color],brown,marrone,True
bulky,ingombrante,adjective,[size],bulky,ingombrante,True
bulky (plural),ingombranti,adjective,[size],bulky,ingombrante,False
bur,fresa,noun,[jewelry and metal working],bur,fresa,True
the bur,la fresa,noun,[jewelry and metal working],bur,fresa,False
the burs,le frese,noun,[jewelry and metal working],bur,fresa,False
a bur,una fresa,noun,[jewelry and metal working],bur,fresa,False
bus,autobus,noun,[travel],bus,autobus,True
the buses,gli autobus,noun,[travel],bus,autobus,False
a bus,un autobus,noun,[travel],bus,autobus,False
the bus,l'autobus,noun,[travel],bus,autobus,False
butter,burro,noun,[food],butter,burro,True
the butter,il burro,noun,[food],butter,burro,False
caliper,calibro,noun,[jewelry and metal working],caliper,calibro,True
a caliper,un calibro,noun,[jewelry and metal working],caliper,calibro,False
the caliper,il calibro,noun,[jewelry and metal working],caliper,calibro,False
calm (feminine),calma,adjective,[emotion],calm,calmo,False
calm (masculine),calmo,adjective,[emotion],calm,calmo,True
cappuccino,cappuccino,noun,[drinks],cappuccino,cappuccino,True
a cappuccino,un cappuccino,noun,[drinks],cappuccino,cappuccino,False
the cappuccino,il cappuccino,noun,[drinks],cappuccino,cappuccino,False
car,auto,noun,[travel],car,auto,True
the car,l'auto,noun,[travel],car,auto,False
a car,un'auto,noun,[travel],car,auto,False
the cars,le auto,noun,[travel],car,auto,False
carrot,carota,noun,[food],carrot,carota,True
the carrot,la carota,noun,[food],carrot,carota,False
the carrots,le carote,noun,[food],carrot,carota,False
a carrot,una carota,noun,[food],carrot,carota,False
chain,catena,noun,[jewelry and metal working],chain,catena,True
the chain,la catena,noun,[jewelry and metal working],chain,catena,False
the chains,le catene,noun,[jewelry and metal working],chain,catena,False
a chain,una catena,noun,[jewelry and metal working],chain,catena,False
chair,sedia,noun,[general],chair,sedia,True
the chairs,le sedie,noun,[general],chair,sedia,False
the chair,la sedia,noun,[general],chair,sedia,False
a chair,una sedia,noun,[general],chair,sedia,False
cheap (feminine),economica,adjective,[cost],cheap,economico,False
cheap (masculine),economico,adjective,[cost],cheap,economico,True
the cheese,il formaggio,noun,[food],cheese,formaggio,False
cheese,formaggio,noun,[food],cheese,formaggio,True
the chicken,il pollo,noun,[food],chicken,pollo,False
chicken,pollo,noun,[food],chicken,pollo,True
child,bambino,noun,[people],child,bambino,True
the children,i bambini,noun,[people],child,bambino,False
a child,un bambino,noun,[people],child,bambino,False
the child,il bambino,noun,[people],child,bambino,False
church,chiesa,noun,[places],church,chiesa,True
the churches,le chiese,noun,[places],church,chiesa,False
a church,una chiesa,noun,[places],church,chiesa,False
the church,la chiesa,noun,[places],church,chiesa,False
city,città,noun,[places],city,città,True
a city,una città,noun,[places],city,città,False
the cities,le città,noun,[places],city,città,False
the city,la città,noun,[places],city,città,False
clasp,chiusura,noun,[jewelry and metal working],clasp,chiusura,True
the clasp,la chiusura,noun,[jewelry and metal working],clasp,chiusura,False
a clasp,una chiusura,noun,[jewelry and metal working],clasp,chiusura,False
the clasps,le chiusure,noun,[jewelry and metal working],clasp,chiusura,False
climate,clima,noun,[weather],climate,clima,True
the climate,il clima,noun,[weather],climate,clima,False
cloud,nuvola,noun,[weather],cloud,nuvola,True
the clouds,le nuvole,noun,[weather],cloud,nuvola,False
a cloud,una nuvola,noun,[weather],cloud,nuvola,False
the cloud,la nuvola,noun,[weather],cloud,nuvola,False
coat,cappoto,noun,[fashion],coat,cappoto,True
a coat,un cappotto,noun,[fashion],coat,cappotto,False
the coat,il cappotto,noun,[fashion],coat,cappotto,False
the coats,i cappotti,noun,[fashion],coat,cappotto,False
cocktail,cocktail,noun,[drinks],cocktail,cocktail,True
a cocktail,un cocktail,noun,[drinks],cocktail,cocktail,False
the cocktail,il cocktail,noun,[drinks],cocktail,cocktail,False
the coffee,il caffè,noun,[drinks],coffee,caffè,False
coffee,caffè,noun,[drinks],coffee,caffè,True
a coffee,un caffè,noun,[drinks],coffee,caffè,False
cola,cola,noun,[drinks],cola,cola,True
a cola,una cola,noun,[drinks],cola,cola,False
the cola,la cola,noun,[drinks],cola,cola,False
cold (masculine),freddo,adjective,[general],cold,freddo,True
cold (feminine),fredda,adjective,[general],cold,freddo,False
cold (masculine) (plural),freddi,adjective,[general],cold,freddo,False
cold (feminine) (plural),fredde,adjective,[general],cold,freddo,False
the cold,il freddo,noun,[weather],cold,freddo,False
comfortable (masculine),comodo,adjective,[shopping],comfortable,comodo,True
comfortable (feminine),comoda,adjective,[shopping],comfortable,comodo,False
compact (masculine) (plural),compatti,adjective,[size],compact,compatto,False
compact (feminine) (plural),compatte,adjective,[size],compact,compatto,False
compact (masculine),compatto,adjective,[size],compact,compatto,True
compact (feminine),compatta,adjective,[size],compact,compatto,False
computer,computer,noun,[general],computer,computer,True
the computer,il computer,noun,[general],computer,computer,False
a computer,un computer,noun,[general],computer,computer,False
the computers,i computer,noun,[general],computer,computer,False
cool (feminine) (plural),fresche,adjective,[temperature],cool,fresco,False
cool (masculine) (plural),freschi,adjective,[temperature],cool,fresco,False
cool (feminine),fresca,adjective,[temperature],cool,fresco,False
cool (masculine),fresco,adjective,[temperature],cool,fresco,True
copper,rame,noun,[jewelry and metal working],copper,rame,True
the copper,il rame,noun,[jewelry and metal working],copper,rame,False
corner,angolo,noun,[directions],corner,angolo,True
the corner,l'angolo,noun,[directions],corner,angolo,False
the corners,gli angoli,noun,[directions],corner,angolo,False
a corner,un angolo,noun,[directions],corner,angolo,False
costly (feminine),costosa,adjective,[cost],costly,costoso,False
costly (masculine),costoso,adjective,[cost],costly,costoso,True
crucible,crogiolo,noun,[jewelry and metal working],crucible,crogiolo,True
a crucible,un crogiolo,noun,[jewelry and metal working],crucible,crogiolo,False
the crucibles,i crogioli,noun,[jewelry and metal working],crucible,crogiolo,False
the crucible,il crogiolo,noun,[jewelry and metal working],crucible,crogiolo,False
day,giorno,noun,[time],day,giorno,True
the days,i giorni,noun,[time],day,giorno,False
