english,italian
the water,l'acqua
drinking water,acqua potabile
the luggage,i bagagli
my luggage,i miei bagagli
the suitcase,la valigia
the suitcases,le valigie
my suitcase,la mia valigia
my suitcases,le mie valigie
this suitcase,questa valigia
that suitcase,quella valigia
that one,quella / quello
that one over there,quella là / quella lì
this ticket,questo biglietto
a backpack,uno zaino
the counter,il banco
the baggage claim,il ritiro bagagli
the key,la chiave
a locker,un armadietto
the railroad,la ferrovia
the little town,la piazza
the village,il villaggio
the city,la città
a map,una cartina
a map of the city,una cartina della città
open,aperto / aperta
close,chiuso / chiusa
the passport,il passaporto
a ticket book / a block of tickets,un blocchetto di biglietti
the police,la polizia
a police officer,un poliziotto / una guardia
