term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
venire,True,venire,verb,to come,"movement,arrival",,,,,non-finite,infinitive,False,False,False,,,,,base lemma,Voglio venire domani.,I want to come tomorrow.
venendo,False,venire,verb,coming,"movement,arrival",,,,,non-finite,gerund,False,False,False,,,,,,Sto venendo adesso.,I am coming now.
venute,False,venire,verb,come (feminine plural),"movement,arrival",,,feminine,plural,non-finite,participle,False,False,False,,,,,used with auxiliary 'essere' to form compound tenses,Sono venute ieri.,They (fem) came yesterday.
venuta,False,venire,verb,come (feminine singular),"movement,arrival",,,feminine,singular,non-finite,participle,False,False,False,,,,,used with auxiliary 'essere' to form compound tenses,È venuta tardi.,She came late.
venuti,False,venire,verb,come (masculine plural),"movement,arrival",,,masculine,plural,non-finite,participle,False,False,False,,,,,used with auxiliary 'essere' to form compound tenses,Sono venuti insieme.,They (masc) came together.
venuto,False,venire,verb,come (masculine singular),"movement,arrival",,,masculine,singular,non-finite,participle,False,False,False,,,,,used with auxiliary 'essere' to form compound tenses,È venuto ieri.,He came yesterday.
vengo,False,venire,verb,I come,"movement,arrival",,1s,,singular,indicative,present,False,False,False,,,,,,Io vengo alle otto.,I come at eight.
vieni,False,venire,verb,you come,"movement,arrival",,2s,,singular,indicative,present,False,False,False,,,,,,Tu vieni con noi?,Are you coming with us?
viene,False,venire,verb,he/she/it comes,"movement,arrival",,3s,,singular,indicative,present,False,False,False,,,,,also 'you (formal)',Lui viene da Milano.,He comes from Milan.
veniamo,False,venire,verb,we come,"movement,arrival",,1p,,plural,indicative,present,False,False,False,,,,,,Noi veniamo stasera.,We are coming tonight.
venite,False,venire,verb,you (plural) come,"movement,arrival",,2p,,plural,indicative,present,False,False,False,,,,,,Voi venite sempre in bici.,You (plural) always come by bike.
vengono,False,venire,verb,they come,"movement,arrival",,3p,,plural,indicative,present,False,False,False,,,,,,Loro vengono dalla campagna.,They come from the countryside.
venivo,False,venire,verb,I was coming,"movement,arrival",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io venivo spesso qui.,I used to come here often.
venivi,False,venire,verb,you were coming,"movement,arrival",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu venivi ogni estate.,You used to come every summer.
veniva,False,venire,verb,he/she/it was coming,"movement,arrival",,3s,,singular,indicative,imperfect,False,False,False,,,,,also 'you were (formal)',Lui veniva da lontano.,He was coming from far away.
venivamo,False,venire,verb,we were coming,"movement,arrival",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi venivamo insieme.,We used to come together.
venivate,False,venire,verb,you (plural) were coming,"movement,arrival",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi venivate spesso.,You (plural) used to come often.
venivano,False,venire,verb,they were coming,"movement,arrival",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro venivano ogni anno.,They used to come every year.
sono venuta,False,venire,verb,I have come / I came,"movement,arrival",,1s,feminine,singular,indicative,passato_prossimo,False,False,True,,,,,agreement by subject gender/number,Sono venuta ieri.,I came yesterday.
sono venuto,False,venire,verb,I have come / I came,"movement,arrival",,1s,masculine,singular,indicative,passato_prossimo,False,False,True,,,,,agreement by subject gender/number,Sono venuto ieri.,I came yesterday.
sei venuta,False,venire,verb,you have come / you came,"movement,arrival",,2s,feminine,singular,indicative,passato_prossimo,False,False,True,,,,,agreement by subject gender/number,Sei venuta in ritardo.,You came late.
sei venuto,False,venire,verb,you have come / you came,"movement,arrival",,2s,masculine,singular,indicative,passato_prossimo,False,False,True,,,,,agreement by subject gender/number,Sei venuto presto.,You came early.
è venuta,False,venire,verb,she has come / she came,"movement,arrival",,3s,feminine,singular,indicative,passato_prossimo,False,False,True,,,,,agreement by subject gender/number; also 'you (formal)',È venuta alla festa.,She came to the party.
è venuto,False,venire,verb,he has come / he came,"movement,arrival",,3s,masculine,singular,indicative,passato_prossimo,False,False,True,,,,,agreement by subject gender/number; also 'you (formal)',È venuto con noi.,He came with us.
siamo venute,False,venire,verb,we have come / we came,"movement,arrival",,1p,feminine,plural,indicative,passato_prossimo,False,False,True,,,,,agreement by subject gender/number,Siamo venute insieme.,We (fem) came together.
siamo venuti,False,venire,verb,we have come / we came,"movement,arrival",,1p,masculine,plural,indicative,passato_prossimo,False,False,True,,,,,agreement by subject gender/number,Siamo venuti ieri.,We came yesterday.
siete venute,False,venire,verb,you (plural) have come / you (plural) came,"movement,arrival",,2p,feminine,plural,indicative,passato_prossimo,False,False,True,,,,,agreement by subject gender/number,Siete venute in tempo.,"You (pl,fem) came on time."
siete venuti,False,venire,verb,you (plural) have come / you (plural) came,"movement,arrival",,2p,masculine,plural,indicative,passato_prossimo,False,False,True,,,,,agreement by subject gender/number,Siete venuti ieri sera.,You (pl) came last night.
sono venute,False,venire,verb,they have come / they came,"movement,arrival",,3p,feminine,plural,indicative,passato_prossimo,False,False,True,,,,,agreement by subject gender/number,Sono venute tutte.,They (fem) have all come.
sono venuti,False,venire,verb,they have come / they came,"movement,arrival",,3p,masculine,plural,indicative,passato_prossimo,False,False,True,,,,,agreement by subject gender/number,Sono venuti puntuali.,They (masc) came on time.
