term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
dovere,True,dovere,verb,to have to / must,"obligation,necessity",,,,,non-finite,infinitive,False,False,False,,,,,base lemma,Il dovere è importante.,Duty is important.
dovendo,False,dovere,verb,having to,"obligation,necessity",,,,,non-finite,gerund,False,False,False,,,,,,"Dovendo scegliere, ho deciso subito.","Having to choose, I decided immediately."
dovuto,False,dovere,verb,had to / due (masculine singular),"obligation,necessity",,,masculine,singular,non-finite,participle,False,False,False,,,,,used with auxiliary 'avere' to form compound tenses,Il pagamento è dovuto.,The payment is due.
dovuta,False,dovere,verb,had to / due (feminine singular),"obligation,necessity",,,feminine,singular,non-finite,participle,False,False,False,,,,,used with auxiliary 'avere' to form compound tenses,La tassa è dovuta.,The tax is due.
dovuti,False,dovere,verb,had to / due (masculine plural),"obligation,necessity",,,masculine,plural,non-finite,participle,False,False,False,,,,,used with auxiliary 'avere' to form compound tenses,I pagamenti sono dovuti.,The payments are due.
dovute,False,dovere,verb,had to / due (feminine plural),"obligation,necessity",,,feminine,plural,non-finite,participle,False,False,False,,,,,used with auxiliary 'avere' to form compound tenses,Le tasse sono dovute.,The taxes are due.
devo,False,dovere,verb,I must / I have to,"obligation,necessity",,1s,,singular,indicative,present,False,False,False,,,,,,Io devo studiare.,I must study.
devi,False,dovere,verb,you must / you have to,"obligation,necessity",,2s,,singular,indicative,present,False,False,False,,,,,,Tu devi andare.,You must go.
deve,False,dovere,verb,he/she/it must / has to,"obligation,necessity",,3s,,singular,indicative,present,False,False,False,,,,,also 'you (formal)',Lui deve lavorare.,He must work.
dobbiamo,False,dovere,verb,we must / we have to,"obligation,necessity",,1p,,plural,indicative,present,False,False,False,,,,,,Noi dobbiamo partire ora.,We must leave now.
dovete,False,dovere,verb,you (plural) must / you (plural) have to,"obligation,necessity",,2p,,plural,indicative,present,False,False,False,,,,,,Voi dovete ascoltare.,You (plural) must listen.
devono,False,dovere,verb,they must / they have to,"obligation,necessity",,3p,,plural,indicative,present,False,False,False,,,,,,Loro devono parlare.,They must speak.
dovevo,False,dovere,verb,I had to,"obligation,necessity",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io dovevo finire il lavoro.,I had to finish the work.
dovevi,False,dovere,verb,you had to,"obligation,necessity",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu dovevi chiamare.,You had to call.
doveva,False,dovere,verb,he/she/it had to,"obligation,necessity",,3s,,singular,indicative,imperfect,False,False,False,,,,,also 'you (formal)',Lei doveva restare a casa.,She had to stay home.
dovevamo,False,dovere,verb,we had to,"obligation,necessity",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi dovevamo preparare tutto.,We had to prepare everything.
dovevate,False,dovere,verb,you (plural) had to,"obligation,necessity",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi dovevate studiare di più.,You (plural) had to study more.
dovevano,False,dovere,verb,they had to,"obligation,necessity",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro dovevano andare via.,They had to leave.
ho dovuto,False,dovere,verb,I have had to / I had to,"obligation,necessity",,1s,feminine,singular,indicative,passato_prossimo,False,False,True,,,,,formed with auxiliary 'avere'; past participle invariable,Ho dovuto parlare con lei.,I have had to speak with her.
ho dovuto,False,dovere,verb,I have had to / I had to,"obligation,necessity",,1s,masculine,singular,indicative,passato_prossimo,False,False,True,,,,,formed with auxiliary 'avere'; past participle invariable,Ho dovuto lavorare ieri.,I had to work yesterday.
hai dovuto,False,dovere,verb,you have had to / you had to,"obligation,necessity",,2s,feminine,singular,indicative,passato_prossimo,False,False,True,,,,,formed with auxiliary 'avere'; past participle invariable,Hai dovuto aspettare molto.,You had to wait a long time.
hai dovuto,False,dovere,verb,you have had to / you had to,"obligation,necessity",,2s,masculine,singular,indicative,passato_prossimo,False,False,True,,,,,formed with auxiliary 'avere'; past participle invariable,Hai dovuto provare di nuovo.,You had to try again.
ha dovuto,False,dovere,verb,she/he/it has had to / had to,"obligation,necessity",,3s,feminine,singular,indicative,passato_prossimo,False,False,True,,,,,formed with auxiliary 'avere'; past participle invariable; also 'you (formal)',Ha dovuto partire presto.,She had to leave early.
ha dovuto,False,dovere,verb,she/he/it has had to / had to,"obligation,necessity",,3s,masculine,singular,indicative,passato_prossimo,False,False,True,,,,,formed with auxiliary 'avere'; past participle invariable; also 'you (formal)',Ha dovuto prendere un treno.,He had to take a train.
abbiamo dovuto,False,dovere,verb,we have had to / we had to,"obligation,necessity",,1p,feminine,plural,indicative,passato_prossimo,False,False,True,,,,,formed with auxiliary 'avere'; past participle invariable,Abbiamo dovuto cambiare programma.,We had to change plans.
abbiamo dovuto,False,dovere,verb,we have had to / we had to,"obligation,necessity",,1p,masculine,plural,indicative,passato_prossimo,False,False,True,,,,,formed with auxiliary 'avere'; past participle invariable,Abbiamo dovuto aiutare i clienti.,We had to help the customers.
avete dovuto,False,dovere,verb,you (plural) have had to / you (plural) had to,"obligation,necessity",,2p,feminine,plural,indicative,passato_prossimo,False,False,True,,,,,formed with auxiliary 'avere'; past participle invariable,Avete dovuto aspettare nel freddo.,You (plural) had to wait in the cold.
avete dovuto,False,dovere,verb,you (plural) have had to / you (plural) had to,"obligation,necessity",,2p,masculine,plural,indicative,passato_prossimo,False,False,True,,,,,formed with auxiliary 'avere'; past participle invariable,Avete dovuto firmare i documenti.,You (plural) had to sign the documents.
hanno dovuto,False,dovere,verb,they have had to / they had to,"obligation,necessity",,3p,feminine,plural,indicative,passato_prossimo,False,False,True,,,,,formed with auxiliary 'avere'; past participle invariable,Hanno dovuto restare ferme.,They had to stay still.
hanno dovuto,False,dovere,verb,they have had to / they had to,"obligation,necessity",,3p,masculine,plural,indicative,passato_prossimo,False,False,True,,,,,formed with auxiliary 'avere'; past participle invariable,Hanno dovuto prendere appuntamento.,They had to make an appointment.
