term_italian,is_base,base_lemma_italian,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
uscire,True,uscire,verb,to go out/exit,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,regular -ire verb; uses auxiliary essere in compound tenses,Voglio uscire ora.,I want to go out now.
uscendo,False,uscire,verb,going out,"core,verb",,,,,gerund,,False,False,False,,,,,,Sto uscendo adesso.,I am going out right now.
uscito,False,uscire,verb,gone out/left,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle; used with auxiliary essere; agrees in gender and number,Sono uscito ieri.,I left yesterday.
uscita,False,uscire,verb,gone out/left,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle; feminine singular; used with auxiliary essere,Sono uscita ieri.,I left yesterday.
usciti,False,uscire,verb,gone out/left,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle; masculine plural,Siamo usciti tardi.,We went out late.
uscite,False,uscire,verb,gone out/left,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle; feminine plural,Siamo uscite tardi.,We (female) went out late.
esco,False,uscire,verb,I go out/I am going out,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Io esco alle sei.,I leave at six.
esci,False,uscire,verb,you go out/you are going out,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Tu esci adesso.,You go out now.
esce,False,uscire,verb,he goes out/she goes out/you (formal) go out,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Esce alle otto.,He leaves at eight.
usciamo,False,uscire,verb,we go out,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Noi usciamo stasera.,We are going out tonight.
uscite,False,uscire,verb,you (plural) go out,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Voi uscite adesso.,You (plural) are leaving now.
escono,False,uscire,verb,they go out,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,,Loro escono spesso.,They go out often.
uscivo,False,uscire,verb,I used to go out/I was going out,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Io uscivo spesso da qui.,I used to go out from here often.
uscivi,False,uscire,verb,you used to go out/you were going out,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Tu uscivi sempre tardi.,You used to go out always late.
usciva,False,uscire,verb,he used to go out/she used to go out/you (formal) used to go out,"core,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal 'Lei',Lui usciva ogni mattina.,He used to go out every morning.
uscivamo,False,uscire,verb,we used to go out,"core,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Noi uscivamo spesso insieme.,We used to go out together.
uscivate,False,uscire,verb,you (plural) used to go out,"core,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Voi uscivate ogni fine settimana.,You used to go out every weekend.
uscivano,False,uscire,verb,they used to go out,"core,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,Loro uscivano prima di cena.,They used to go out before dinner.
sono uscito,False,uscire,verb,I have gone out,"core,verb",,1s,masculine,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; past participle agrees in gender and number,Sono uscito ieri.,I have gone out.
sono uscita,False,uscire,verb,I have gone out,"core,verb",,1s,feminine,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; past participle feminine singular,Sono uscita ieri.,I have gone out.
sei uscito,False,uscire,verb,you have gone out,"core,verb",,2s,masculine,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; masculine singular,Sei uscito presto.,You have gone out early.
sei uscita,False,uscire,verb,you have gone out,"core,verb",,2s,feminine,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; feminine singular,Sei uscita presto.,You have gone out early.
è uscito,False,uscire,verb,he has gone out/you (formal) have gone out,"core,verb",,3s,masculine,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; also used as formal 'Lei',È uscito alle otto.,He has gone out.
è uscita,False,uscire,verb,she has gone out/you (formal) have gone out,"core,verb",,3s,feminine,singular,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; also used as formal 'Lei',È uscita alle otto.,She has gone out.
siamo usciti,False,uscire,verb,we have gone out,"core,verb",,1p,masculine,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; masculine plural,Siamo usciti ieri.,We have gone out.
siamo uscite,False,uscire,verb,we have gone out,"core,verb",,1p,feminine,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; feminine plural,Siamo uscite ieri.,We have gone out.
siete usciti,False,uscire,verb,you (plural) have gone out,"core,verb",,2p,masculine,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; masculine plural,Siete usciti tardi.,You (plural) have gone out late.
siete uscite,False,uscire,verb,you (plural) have gone out,"core,verb",,2p,feminine,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; feminine plural,Siete uscite tardi.,You (plural) have gone out late.
sono usciti,False,uscire,verb,they have gone out,"core,verb",,3p,masculine,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; masculine plural,Sono usciti di casa.,They have gone out.
sono uscite,False,uscire,verb,they have gone out,"core,verb",,3p,feminine,plural,indicative,passato prossimo,False,False,True,,,,,used with auxiliary essere; feminine plural,Sono uscite di casa.,They have gone out.
