english,italian
a hotel,un albergo / un hotel
a hostel,un ostello
a room,una stanza / una camera
a better room,una camera migliore
I would like a better room,vorrei una camera migliore
a bathroom,un bagno
with bathroom,con bagno
without bathroom,senza bagno
a shower,una doccia
a toilet,una toilette / un gabinetto
a wash basin,un lavandino
I would like a room with a bathroom and a shower,vorrei una camera con bagno e una doccia
how much does it cost,quanto costa
expensive,caro / costoso
very expensive,molto caro
too much,troppo
too expensive,troppo caro
it's too expensive,è troppo caro
cheap,economico / a buon mercato
cheaper / more cheap,più economico
do you have a less expensive room (polite),ha una camera meno cara
do you have the key? (polite),ha la chiave?
the week,la settimana
per week,per settimana / a settimana
per night,per notte
air conditioning,aria condizionata
vacancy / rooms available,stanze libere
no vacancy / all occupied,tutto occupato
it works,funziona
it does not work,non funziona
the shower does not work,la doccia non funziona
the shower is broken,la doccia è rotta
to make,fare
I would like to make a reservation,vorrei fare una prenotazione
