english,italian,english_base_term,is_base

### Adjectives ###
better (comparing actions),migliore,better,true
better (comparing qualities),meglio,better,false

### Nouns ###
hotel,hotel / albergo,hotel,true
a hotel,un hotel / un albergo,hotel,false
the hotel,l'hotel / l'albergo,hotel,false
the hotels,gli hotel / gli alberghi,hotel,false

hostel,ostello,hostel,true
a hostel,un ostello,hostel,false
the hostel,l'ostello,hostel,false
the hostels,gli ostelli,hostel,false

room,stanza / camera,room,true
a room,una stanza / una camera,room,false
the room,la stanza / la camera,room,false
the rooms,le stanze / le camere,room,false


bathroom,bagno,bathroom,true
a bathroom,un bagno,bathroom,false
the bathroom,il bagno,bathroom,false
the bathrooms,i bagni,bathroom,false

with,con,with,true
without,senza,without,true

shower,doccia,shower,true
a shower,una doccia,shower,false
the shower,la doccia,shower,false
the showers,le docce,shower,false

toilet,toilette / gabinetto,toilet,true
a toilet,una toilette / un gabinetto,toilet,false
the toilet,la toilette / il gabinetto,toilet,false
the toilets,le toilette / i gabinetti,toilet,false

wash basin,lavandino,wash basin,true
a wash basin,un lavandino,wash basin,false
the wash basin,il lavandino,wash basin,false
the wash basins,i lavandini,wash basin,false

reservation,prenotazione,reservation,true

key,chiave,key,true
a key,una chiave,key,false
the key,la chiave,key,false
the keys,le chiavi,key,false

week,settimana,week,true
a week,una settimana,week,false
the week,la settimana,week,false
the weeks,le settimane,week,false

night,notte,night,true
a night,una notte,night,false
the night,la notte,night,false
the nights,le notti,night,false

air conditioning,aria condizionata,air conditioning,true
the air conditioning,l'aria condizionata,air conditioning,false

### Adjectives ###
expensive (masculine),caro / costoso,expensive,true
expensive (feminine),cara / costosa,expensive,false
expensive (masculine) (plural),cari / costosi,expensive,false
expensive (feminine) (plural),care / costose,expensive,false

too much (masculine),troppo,too much,true
too much (feminine),troppa,too much,false
too much (masculine) (plural),troppi,too much,false
too much (feminine) (plural),troppe,too much,false

cheap (masculine),economico / a buon mercato,cheap,true
cheap (feminine),economica / a buon mercato,cheap,false

free / available (masculine),libero,free,true
free / available (feminine),libera,free,false
free / available (masculine) (plural),liberi,free,false
free / available (feminine) (plural),libere,free,false

occupied (masculine),occupato,occupied,true
occupied (feminine),occupata,occupied,false
occupied (masculine) (plural),occupati,occupied,false
occupied (feminine) (plural),occupate,occupied,false

all (masculine),tutto,all,true
all (feminine),tutta,all,false
all (masculine) (plural),tutti,all,false
all (feminine) (plural),tutte,all,false

broken (masculine),rotto,broken,true
broken (feminine),rotta,broken,false

### Adverbs ###
functioning / working,funzionante,function / work,false

### Verbs ###
to function / to work,funzionare,function / work,true
they function / they work,loro funzionano,function / work,false
it functions / it works,funziona,function / work,false
it does not function / it does not work,non funziona,function / work,false

to make / to do,fare,make / do,true
I make / I do,io faccio,make / do,false
you make / you do (familiar),tu fai,make / do,false
you make / you do (polite),Lei fa,make / do,false
we make / we do,noi facciamo,make / do,false
you all make / you all do,voi fate,make / do,false
they make / they do,loro fanno,make / do,false
I made / I did,io feci,make / do,false
you made / you did (familiar),tu facesti,make / do,false
you made / you did (polite),Lei fece,make / do,false
we made / we did,noi facemmo,make / do,false
you all made / you all did,voi faceste,make / do,false
they made / they did,loro fecero,make / do,false
