english,italian,base_term,is_base,topic,part_of_speech
this (masculine),questo,this,True,foundational_words,determiner
this (feminine),questa,this,False,foundational_words,determiner
these (masculine),questi,these,True,foundational_words,determiner
these (feminine),queste,these,False,foundational_words,determiner
that (masculine),quello,that,True,foundational_words,determiner
that (feminine),quella,that,False,foundational_words,determiner
those (masculine),quelli,those,False,foundational_words,determiner
those (feminine),quelle,those,False,foundational_words,determiner
every,ogni,every,True,foundational_words,determiner
some,qualche,some,True,foundational_words,determiner
a few (masculine),alcuni,a few,True,foundational_words,determiner
a few (feminine),alcune,a few,False,foundational_words,determiner
