english,italian,base_term,is_base,topic,part_of_speech
of / from,di,of / from,True,foundational_words,preposition
to / at,a,to / at,True,foundational_words,preposition
from / by,da,from / by,True,foundational_words,preposition
in,in,in,True,foundational_words,preposition
on / about,su,on / about,True,foundational_words,preposition
for,per,for,True,foundational_words,preposition
with,con,with,True,foundational_words,preposition
without,senza,without,True,foundational_words,preposition
between,tra / fra,between,True,foundational_words,preposition
above,sopra,above,True,foundational_words,preposition
under,sotto,under,True,foundational_words,preposition
in front of,davanti,in front of,True,foundational_words,preposition
behind,dietro,behind,True,foundational_words,preposition
