english,italian
I must / I have to,devo
I must buy,devo comprare
I should,dovrei
how old are you / how many years have you (familiar)?,quanti anni hai?
where do you live?,dove abiti? / dove vivi?
show me,mostrami
slow down,rallenta
I want to go,voglio andare
do you have something else (polite),ha qualcosa d'altro?
the opposite of big,il contrario di grande
I don't know the word,non conosco la parola
that means,significa
does that mean?,significa che?
what does that mean?,cosa significa?
I need / I have need of,ho bisogno di
where is joe's suitcase,dov'è la valigia di joe?
very well,molto bene / benissimo
of course,certo
it's clear,è chiaro
it's fine / it goes well,va bene
it's not bad,non è male
not bad,niente male
it's good,è buono
I'm hungry,ho fame
I'm thirsty,ho sete
I'm hot / I'm warm,ho caldo
I'm cold,ho freddo
I'm busy,ho da fare
I'm lost,mi sono perso
it's nice weather,fa bel tempo
it's cold,fa freddo
it's hot / it's warm,fa caldo
it's cool,fa fresco
it's sunny,c'è il sole
it's windy,c'è vento
you are sick (familiar),stai male / sei malato
