english,italian
the money,il denaro / i soldi
European money,euro
the coin,la moneta
the bank,la banca
where is the bank,dov'è la banca
exchange,cambio
where is the ATM / where is the cash machine,dov'è il bancomat
the currency,la valuta
the small change,gli spiccioli
to change money,cambiare valuta
I would like to change some currency,vorrei cambiare della valuta
to buy,comprare
I would like to buy some Euros,vorrei comprare degli euro
the rate of exchange,il corso di cambio
what is the exchange rate,qual è il corso di cambio
a bank note,una banconota
a check,un assegno
to travel,viaggiare
credit,credito
a credit card,una carta di credito
