term_italian,is_base,base_word_italian,translation_english,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
pensare,true,pensare,to think,non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio pensare con calma.","I want to think calmly."
pensando,false,pensare,thinking,non-finite,gerund,n/a,n/a,n/a,false,,"Sto pensando a un problema.","I am thinking about a problem."
pensato,false,pensare,thought (masculine singular),non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'avere' to form compound tenses,"Un'idea pensata bene funziona.","A well-thought idea works."
pensata,false,pensare,thought (feminine singular),non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'avere' to form compound tenses,"Una soluzione pensata è utile.","A thought-out solution is useful."
pensati,false,pensare,thought (masculine plural),non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'avere' to form compound tenses,"I piani pensati sono efficaci.","The plans thought out are effective."
pensate,false,pensare,thought (feminine plural),non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'avere' to form compound tenses,"Le idee pensate hanno successo.","The thought-out ideas succeed."
penso,false,pensare,I think,indicative,present,1s,n/a,singular,false,,"Io penso spesso a te.","I think of you often."
pensi,false,pensare,you think,indicative,present,2s,n/a,singular,false,,"Tu pensi troppo.","You think too much."
pensa,false,pensare,he/she/it thinks,indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lei pensa che sia giusto.","She thinks that it's right."
pensiamo,false,pensare,we think,indicative,present,1p,n/a,plural,false,,"Noi pensiamo allo stesso modo.","We think the same way."
pensate,false,pensare,you (plural) think,indicative,present,2p,n/a,plural,false,,"Voi pensate troppo velocemente.","You (plural) think too quickly."
pensano,false,pensare,they think,indicative,present,3p,n/a,plural,false,,"Loro pensano che sia impossibile.","They think it's impossible."
pensavo,false,pensare,I was thinking / I used to think,indicative,imperfect,1s,n/a,singular,false,,"Io pensavo a quell'idea.","I was thinking about that idea."
pensavi,false,pensare,you were thinking,indicative,imperfect,2s,n/a,singular,false,,"Tu pensavi troppo spesso al passato.","You used to think too often about the past."
pensava,false,pensare,he/she/it was thinking,indicative,imperfect,3s,n/a,singular,false,also 'you were (formal)',"Lui pensava sempre al suo lavoro.","He was always thinking about his work."
pensavamo,false,pensare,we were thinking,indicative,imperfect,1p,n/a,plural,false,,"Noi pensavamo a un piano.","We were thinking of a plan."
pensavate,false,pensare,you (plural) were thinking,indicative,imperfect,2p,n/a,plural,false,,"Voi pensavate che fosse facile.","You (plural) thought it was easy."
pensavano,false,pensare,they were thinking,indicative,imperfect,3p,n/a,plural,false,,"Loro pensavano diversamente.","They thought differently."
ho pensato,false,pensare,I have thought / I thought,indicative,passato_prossimo,1s,masculine,singular,true,"uses auxiliary 'avere' to form compound tenses; participle generally invariable","Ho pensato a quello che hai detto.","I have thought about what you said."
ho pensato,false,pensare,I have thought / I thought,indicative,passato_prossimo,1s,feminine,singular,true,"uses auxiliary 'avere' to form compound tenses; participle generally invariable","Ho pensato a quello che hai detto.","I have thought about what you said."
hai pensato,false,pensare,you have thought / you thought,indicative,passato_prossimo,2s,masculine,singular,true,"uses auxiliary 'avere' to form compound tenses; participle generally invariable","Hai pensato troppo tardi.","You thought too late."
hai pensato,false,pensare,you have thought / you thought,indicative,passato_prossimo,2s,feminine,singular,true,"uses auxiliary 'avere' to form compound tenses; participle generally invariable","Hai pensato a quello prima di agire.","You thought about that before acting."
ha pensato,false,pensare,he has thought / he thought,indicative,passato_prossimo,3s,masculine,singular,true,"uses auxiliary 'avere' to form compound tenses; participle generally invariable; also 'you (formal)'","Lui ha pensato a tutto.","He has thought of everything."
ha pensato,false,pensare,she has thought / she thought,indicative,passato_prossimo,3s,feminine,singular,true,"uses auxiliary 'avere' to form compound tenses; participle generally invariable; also 'you (formal)'","Lei ha pensato a una soluzione.","She has thought of a solution."
abbiamo pensato,false,pensare,we have thought / we thought,indicative,passato_prossimo,1p,masculine,plural,true,"uses auxiliary 'avere' to form compound tenses; participle generally invariable","Abbiamo pensato a un progetto comune.","We have thought of a common project."
abbiamo pensato,false,pensare,we have thought / we thought,indicative,passato_prossimo,1p,feminine,plural,true,"uses auxiliary 'avere' to form compound tenses; participle generally invariable","Abbiamo pensato a un progetto comune.","We have thought of a common project."
avete pensato,false,pensare,you (plural) have thought / you (plural) thought,indicative,passato_prossimo,2p,masculine,plural,true,"uses auxiliary 'avere' to form compound tenses; participle generally invariable","Avete pensato a tutte le opzioni.","You (plural) have thought about all the options."
avete pensato,false,pensare,you (plural) have thought / you (plural) thought,indicative,passato_prossimo,2p,feminine,plural,true,"uses auxiliary 'avere' to form compound tenses; participle generally invariable","Avete pensato a tutte le opzioni.","You (plural) have thought about all the options."
hanno pensato,false,pensare,they have thought / they thought,indicative,passato_prossimo,3p,masculine,plural,true,"uses auxiliary 'avere' to form compound tenses; participle generally invariable","Loro hanno pensato a una strategia.","They have thought of a strategy."
hanno pensato,false,pensare,they have thought / they thought,indicative,passato_prossimo,3p,feminine,plural,true,"uses auxiliary 'avere' to form compound tenses; participle generally invariable","Loro hanno pensato a una strategia.","They have thought of a strategy."
