term_italian,is_base,base_word_italian,translation_english,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
mettere,true,mettere,to put / to place,non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio mettere il libro sul tavolo.","I want to put the book on the table."
mettendo,false,mettere,putting,non-finite,gerund,n/a,n/a,n/a,false,,"Sto mettendo il libro sul tavolo.","I am putting the book on the table."
messa,false,mettere,placed (feminine singular),non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'avere' to form compound tenses,"La valigia è messa vicino al letto.","The suitcase is placed near the bed."
messe,false,mettere,placed (feminine plural),non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'avere' to form compound tenses,"Le sedie sono messe in fila.","The chairs are placed in a row."
messi,false,mettere,placed (masculine plural),non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'avere' to form compound tenses,"I libri sono messi sullo scaffale.","The books are placed on the shelf."
messo,false,mettere,placed (masculine singular),non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'avere' to form compound tenses,"Il pacco è messo lì.","The package is placed there."
metto,false,mettere,I put / I am putting,indicative,present,1s,n/a,singular,false,,"Io metto il libro sul tavolo.","I put the book on the table."
metti,false,mettere,you put / you are putting,indicative,present,2s,n/a,singular,false,,"Tu metti le chiavi qui.","You put the keys here."
mette,false,mettere,he/she/it puts,indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lui mette il piatto sul tavolo.","He puts the plate on the table."
mettiamo,false,mettere,we put / we are putting,indicative,present,1p,n/a,plural,false,,"Noi mettiamo i piatti nella credenza.","We put the dishes in the cupboard."
mettete,false,mettere,you (plural) put,indicative,present,2p,n/a,plural,false,,"Voi mettete la roba fuori.","You (plural) put the stuff outside."
mettono,false,mettere,they put,indicative,present,3p,n/a,plural,false,,"Loro mettono i vestiti nell'armadio.","They put the clothes in the wardrobe."
mettevo,false,mettere,I was putting / I used to put,indicative,imperfect,1s,n/a,singular,false,,"Io mettevo i libri sul tavolo.","I used to put the books on the table."
mettevi,false,mettere,you were putting,indicative,imperfect,2s,n/a,singular,false,,"Tu mettevi sempre lo zucchero nel caffè.","You always used to put sugar in the coffee."
metteva,false,mettere,he/she/it was putting,indicative,imperfect,3s,n/a,singular,false,also 'you were putting (formal)',"Lui metteva il piatto a sinistra.","He was putting the plate on the left."
mettevamo,false,mettere,we were putting,indicative,imperfect,1p,n/a,plural,false,,"Noi mettevamo le sedie intorno al tavolo.","We were putting the chairs around the table."
mettevate,false,mettere,you (plural) were putting,indicative,imperfect,2p,n/a,plural,false,,"Voi mettevate molta cura.","You (plural) used to take a lot of care."
mettevano,false,mettere,they were putting,indicative,imperfect,3p,n/a,plural,false,,"Loro mettevano tutto a posto.","They were putting everything in place."
ho messo,false,mettere,I have put / I put,indicative,passato_prossimo,1s,feminine,singular,true,uses auxiliary 'avere' / past participle normally does not agree with subject,"Ho messo la borsa sul tavolo.","I have put the bag on the table."
ho messo,false,mettere,I have put / I put,indicative,passato_prossimo,1s,masculine,singular,true,uses auxiliary 'avere' / past participle normally does not agree with subject,"Ho messo il libro sul tavolo.","I have put the book on the table."
hai messo,false,mettere,you have put / you put,indicative,passato_prossimo,2s,feminine,singular,true,uses auxiliary 'avere' / past participle normally does not agree with subject,"Hai messo la tua borsa qui.","You have put your bag here."
hai messo,false,mettere,you have put / you put,indicative,passato_prossimo,2s,masculine,singular,true,uses auxiliary 'avere' / past participle normally does not agree with subject,"Hai messo il bicchiere sul tavolo.","You have put the glass on the table."
ha messo,false,mettere,she has put / she put,indicative,passato_prossimo,3s,feminine,singular,true,uses auxiliary 'avere' / past participle normally does not agree with subject; also 'you (formal)',"Ha messo la cena nel frigorifero.","She has put the dinner in the fridge."
ha messo,false,mettere,he has put / he put,indicative,passato_prossimo,3s,masculine,singular,true,uses auxiliary 'avere' / past participle normally does not agree with subject; also 'you (formal)',"Ha messo il pacco in garage.","He has put the package in the garage."
abbiamo messo,false,mettere,we have put / we put,indicative,passato_prossimo,1p,feminine,plural,true,uses auxiliary 'avere' / past participle normally does not agree with subject,"Abbiamo messo le sedie in cucina.","We have put the chairs in the kitchen."
abbiamo messo,false,mettere,we have put / we put,indicative,passato_prossimo,1p,masculine,plural,true,uses auxiliary 'avere' / past participle normally does not agree with subject,"Abbiamo messo i libri sul tavolo.","We have put the books on the table."
avete messo,false,mettere,you (plural) have put,indicative,passato_prossimo,2p,feminine,plural,true,uses auxiliary 'avere' / past participle normally does not agree with subject,"Avete messo le chiavi nel cassetto.","You (plural) have put the keys in the drawer."
avete messo,false,mettere,you (plural) have put,indicative,passato_prossimo,2p,masculine,plural,true,uses auxiliary 'avere' / past participle normally does not agree with subject,"Avete messo i piatti sul tavolo.","You (plural) have put the plates on the table."
hanno messo,false,mettere,they have put / they put,indicative,passato_prossimo,3p,feminine,plural,true,uses auxiliary 'avere' / past participle normally does not agree with subject,"Hanno messo le scatole in soffitta.","They have put the boxes in the attic."
hanno messo,false,mettere,they have put / they put,indicative,passato_prossimo,3p,masculine,plural,true,uses auxiliary 'avere' / past participle normally does not agree with subject,"Hanno messo i vestiti nell'armadio.","They have put the clothes in the wardrobe."
