term_italian,is_base,base_word_italian,translation_english,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
conoscere,true,conoscere,to know (be acquainted with),non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio conoscere la verità.","I want to know the truth."
conoscendo,false,conoscere,knowing,non-finite,gerund,n/a,n/a,n/a,false,,"Sto conoscendo molte persone al lavoro.","I am getting to know many people at work."
conosciuto,false,conoscere,known (masculine singular),non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'avere' to form compound tenses; can be used as adjective,"È un attore conosciuto.","He is a well-known actor."
conosciuta,false,conoscere,known (feminine singular),non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'avere' to form compound tenses; can be used as adjective,"È una cantante conosciuta.","She is a well-known singer."
conosciuti,false,conoscere,known (masculine plural),non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'avere' to form compound tenses; can be used as adjective,"Sono attori conosciuti.","They are well-known actors."
conosciute,false,conoscere,known (feminine plural),non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'avere' to form compound tenses; can be used as adjective,"Sono canzoni conosciute.","They are well-known songs."
conosco,false,conoscere,I know,indicative,present,1s,n/a,singular,false,,"Io conosco quella strada.","I know that street."
conosci,false,conoscere,you know,indicative,present,2s,n/a,singular,false,,"Tu conosci molte persone qui.","You know many people here."
conosce,false,conoscere,he/she/it knows,indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lui conosce la città.","He knows the city."
conosciamo,false,conoscere,we know,indicative,present,1p,n/a,plural,false,,"Noi conosciamo la verità.","We know the truth."
conoscete,false,conoscere,you (plural) know,indicative,present,2p,n/a,plural,false,,"Voi conoscete il programma.","You (plural) know the schedule."
conoscono,false,conoscere,they know,indicative,present,3p,n/a,plural,false,,"Loro conoscono la risposta.","They know the answer."
conoscevo,false,conoscere,I knew,indicative,imperfect,1s,n/a,singular,false,,"Io conoscevo quel quartiere.","I knew that neighborhood."
conoscevi,false,conoscere,you knew,indicative,imperfect,2s,n/a,singular,false,,"Tu conoscevi molte persone.","You knew many people."
conosceva,false,conoscere,he/she/it knew,indicative,imperfect,3s,n/a,singular,false,also 'you (formal)',"Lei conosceva la storia.","She knew the story."
conoscevamo,false,conoscere,we knew,indicative,imperfect,1p,n/a,plural,false,,"Noi conoscevamo la situazione.","We knew the situation."
conoscevate,false,conoscere,you (plural) knew,indicative,imperfect,2p,n/a,plural,false,,"Voi conoscevate la verità.","You (plural) knew the truth."
conoscevano,false,conoscere,they knew,indicative,imperfect,3p,n/a,plural,false,,"Loro conoscevano i dettagli.","They knew the details."
ho conosciuto,false,conoscere,I have known / I met,indicative,passato_prossimo,1s,masculine,singular,true,uses auxiliary 'avere' (no agreement with subject),"Ho conosciuto Marco ieri.","I met Marco yesterday."
ho conosciuta,false,conoscere,I have known / I met,indicative,passato_prossimo,1s,feminine,singular,true,uses auxiliary 'avere' (no agreement with subject); form possible when direct object precedes,"L'ho conosciuta ieri.","I met her yesterday."
hai conosciuto,false,conoscere,you have known / you met,indicative,passato_prossimo,2s,masculine,singular,true,uses auxiliary 'avere' (no agreement with subject),"Hai conosciuto il nuovo vicino?","Did you meet the new neighbor?"
hai conosciuta,false,conoscere,you have known / you met,indicative,passato_prossimo,2s,feminine,singular,true,uses auxiliary 'avere' (no agreement with subject); form possible when direct object precedes,"L'hai conosciuta ieri?","Did you meet her yesterday?"
ha conosciuto,false,conoscere,he/she/it has known / has met,indicative,passato_prossimo,3s,masculine,singular,true,uses auxiliary 'avere' (no agreement with subject); also 'you (formal)',"Ha conosciuto molti colleghi.","He has met many colleagues."
ha conosciuta,false,conoscere,she has known / has met,indicative,passato_prossimo,3s,feminine,singular,true,uses auxiliary 'avere' (no agreement with subject); also 'you (formal)'; form possible when direct object precedes,"L'ha conosciuta ieri.","She met her yesterday."
abbiamo conosciuto,false,conoscere,we have known / we met,indicative,passato_prossimo,1p,masculine,plural,true,uses auxiliary 'avere' (no agreement with subject),"Abbiamo conosciuto molti ospiti al matrimonio.","We met many guests at the wedding."
abbiamo conosciute,false,conoscere,we have known / we met,indicative,passato_prossimo,1p,feminine,plural,true,uses auxiliary 'avere' (no agreement with subject); form possible when direct object precedes,"Le abbiamo conosciute ieri.","We met them (feminine) yesterday."
avete conosciuto,false,conoscere,you (plural) have known / you met,indicative,passato_prossimo,2p,masculine,plural,true,uses auxiliary 'avere' (no agreement with subject),"Avete conosciuto i genitori?","Did you meet the parents?"
avete conosciute,false,conoscere,you (plural) have known / you met,indicative,passato_prossimo,2p,feminine,plural,true,uses auxiliary 'avere' (no agreement with subject); form possible when direct object precedes,"Le avete conosciute ieri?","Did you meet them (feminine) yesterday?"
hanno conosciuto,false,conoscere,they have known / they met,indicative,passato_prossimo,3p,masculine,plural,true,uses auxiliary 'avere' (no agreement with subject),"Hanno conosciuto molti nuovi clienti.","They met many new clients."
hanno conosciute,false,conoscere,they have known / they met,indicative,passato_prossimo,3p,feminine,plural,true,uses auxiliary 'avere' (no agreement with subject); form possible when direct object precedes,"Le hanno conosciute ieri.","They met them (feminine) yesterday."
