term_italian,is_base,base_word_italian,translation_english,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
sapere,true,sapere,to know (a fact or how to),non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio sapere la verità.","I want to know the truth."
sapendo,false,sapere,knowing,non-finite,gerund,n/a,n/a,n/a,false,,"Sapendo la verità, ho agito diversamente.","Knowing the truth, I acted differently."
saputo,false,sapere,known (masculine singular),non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'avere' to form compound tenses,"Un fatto saputo da tutti.","A fact known by everyone."
saputa,false,sapere,known (feminine singular),non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'avere' to form compound tenses,"La notizia saputa da pochi cambiò tutto.","The news known by few changed everything."
saputi,false,sapere,known (masculine plural),non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'avere' to form compound tenses,"I fatti saputi erano pochi.","The facts known were few."
sapute,false,sapere,known (feminine plural),non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'avere' to form compound tenses,"Le informazioni sapute erano utili.","The information known was useful."
so,false,sapere,I know,indicative,present,1s,n/a,singular,false,,"Io so la risposta.","I know the answer."
sai,false,sapere,you know,indicative,present,2s,n/a,singular,false,,"Tu sai la verità.","You know the truth."
sa,false,sapere,he/she/it knows,indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lei sa la verità.","She knows the truth."
sappiamo,false,sapere,we know,indicative,present,1p,n/a,plural,false,,"Noi sappiamo la soluzione.","We know the solution."
sapete,false,sapere,you (plural) know,indicative,present,2p,n/a,plural,false,,"Voi sapete nuotare.","You (plural) know how to swim."
sanno,false,sapere,they know,indicative,present,3p,n/a,plural,false,,"Loro sanno la risposta.","They know the answer."
sapevo,false,sapere,I knew / I used to know,indicative,imperfect,1s,n/a,singular,false,,"Io sapevo la verità.","I knew the truth."
sapevi,false,sapere,you knew / you used to know,indicative,imperfect,2s,n/a,singular,false,,"Tu sapevi la risposta.","You knew the answer."
sapeva,false,sapere,he/she/it knew,indicative,imperfect,3s,n/a,singular,false,also 'you knew (formal)',"Lei sapeva tutto.","She knew everything."
sapevamo,false,sapere,we knew / we used to know,indicative,imperfect,1p,n/a,plural,false,,"Noi sapevamo la storia.","We knew the story."
sapevate,false,sapere,you (plural) knew,indicative,imperfect,2p,n/a,plural,false,,"Voi sapevate cosa fare.","You (plural) knew what to do."
sapevano,false,sapere,they knew / they used to know,indicative,imperfect,3p,n/a,plural,false,,"Loro sapevano la verità.","They knew the truth."
ho saputo,false,sapere,I have known / I knew,indicative,passato_prossimo,1s,feminine,singular,true,uses auxiliary 'avere'; past participle does not agree with subject (same form for all genders),"Ho saputo la notizia ieri.","I learned/ I have known the news yesterday."
ho saputo,false,sapere,I have known / I knew,indicative,passato_prossimo,1s,masculine,singular,true,uses auxiliary 'avere'; past participle does not agree with subject (same form for all genders),"Ho saputo la notizia ieri.","I learned/ I have known the news yesterday."
hai saputo,false,sapere,you have known / you knew,indicative,passato_prossimo,2s,feminine,singular,true,uses auxiliary 'avere'; past participle does not agree with subject (same form for all genders),"Hai saputo la risposta?","Did you find out the answer?"
hai saputo,false,sapere,you have known / you knew,indicative,passato_prossimo,2s,masculine,singular,true,uses auxiliary 'avere'; past participle does not agree with subject (same form for all genders),"Hai saputo la risposta?","Did you find out the answer?"
ha saputo,false,sapere,she/he has known / she/he knew,indicative,passato_prossimo,3s,feminine,singular,true,uses auxiliary 'avere'; past participle does not agree with subject (same form for all genders); also 'you (formal)',"Ha saputo la verità.","She/He has known the truth."
ha saputo,false,sapere,she/he has known / she/he knew,indicative,passato_prossimo,3s,masculine,singular,true,uses auxiliary 'avere'; past participle does not agree with subject (same form for all genders); also 'you (formal)',"Ha saputo la verità.","She/He has known the truth."
abbiamo saputo,false,sapere,we have known / we knew,indicative,passato_prossimo,1p,feminine,plural,true,uses auxiliary 'avere'; past participle does not agree with subject (same form for all genders),"Abbiamo saputo la data ieri.","We found out the date yesterday."
abbiamo saputo,false,sapere,we have known / we knew,indicative,passato_prossimo,1p,masculine,plural,true,uses auxiliary 'avere'; past participle does not agree with subject (same form for all genders),"Abbiamo saputo la data ieri.","We found out the date yesterday."
avete saputo,false,sapere,you (plural) have known / you (plural) knew,indicative,passato_prossimo,2p,feminine,plural,true,uses auxiliary 'avere'; past participle does not agree with subject (same form for all genders),"Avete saputo l'orario?","Did you (pl.) find out the time?"
avete saputo,false,sapere,you (plural) have known / you (plural) knew,indicative,passato_prossimo,2p,masculine,plural,true,uses auxiliary 'avere'; past participle does not agree with subject (same form for all genders),"Avete saputo l'orario?","Did you (pl.) find out the time?"
hanno saputo,false,sapere,they have known / they knew,indicative,passato_prossimo,3p,feminine,plural,true,uses auxiliary 'avere'; past participle does not agree with subject (same form for all genders),"Hanno saputo tutto molto presto.","They learned everything very early."
hanno saputo,false,sapere,they have known / they knew,indicative,passato_prossimo,3p,masculine,plural,true,uses auxiliary 'avere'; past participle does not agree with subject (same form for all genders),"Hanno saputo tutto molto presto.","They learned everything very early."
