term_italian,is_base,base_word_italian,translation_english,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
andare,true,andare,to go,non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio andare al mercato.","I want to go to the market."
andando,false,andare,going,non-finite,gerund,n/a,n/a,n/a,false,,"Sto andando via.","I am going away."
andato,false,andare,gone (masculine singular),non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'essere' to form compound tenses,"È andato al negozio.","He has gone to the shop."
andata,false,andare,gone (feminine singular),non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'essere' to form compound tenses,"È andata al negozio.","She has gone to the shop."
andati,false,andare,gone (masculine plural),non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'essere' to form compound tenses,"Sono andati al cinema.","They have gone to the cinema."
andate,false,andare,gone (feminine plural),non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'essere' to form compound tenses,"Sono andate al parco.","They have gone to the park."
vado,false,andare,I go / I am going,indicative,present,1s,n/a,singular,false,,"Io vado al mercato.","I go to the market."
vai,false,andare,you go / you are going,indicative,present,2s,n/a,singular,false,,"Tu vai a scuola.","You go to school."
va,false,andare,he/she/it goes,indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lei va al lavoro.","She goes to work."
andiamo,false,andare,we go,indicative,present,1p,n/a,plural,false,,"Noi andiamo insieme.","We go together."
andate,false,andare,you (plural) go,indicative,present,2p,n/a,plural,false,,"Voi andate al cinema stasera.","You (plural) go to the cinema tonight."
vanno,false,andare,they go,indicative,present,3p,n/a,plural,false,,"Loro vanno in vacanza.","They go on vacation."
andavo,false,andare,I was going / I used to go,indicative,imperfect,1s,n/a,singular,false,,"Io andavo a scuola ogni giorno.","I used to go to school every day."
andavi,false,andare,you were going / you used to go,indicative,imperfect,2s,n/a,singular,false,,"Tu andavi spesso in bicicletta.","You often used to go by bike."
andava,false,andare,he/she/it was going / used to go,indicative,imperfect,3s,n/a,singular,false,also 'you were going (formal)',"Lui andava al lavoro a piedi.","He used to go to work on foot."
andavamo,false,andare,we were going / we used to go,indicative,imperfect,1p,n/a,plural,false,,"Noi andavamo al mare ogni estate.","We used to go to the sea every summer."
andavate,false,andare,you (plural) were going / used to go,indicative,imperfect,2p,n/a,plural,false,,"Voi andavate spesso al lago.","You (plural) used to go to the lake often."
andavano,false,andare,they were going / they used to go,indicative,imperfect,3p,n/a,plural,false,,"Loro andavano a scuola insieme.","They used to go to school together."
sono andato,false,andare,I have gone / I went,indicative,passato_prossimo,1s,masculine,singular,true,agreement by subject gender/number; used with auxiliary 'essere',"Sono andato al negozio.","I have gone to the shop."
sono andata,false,andare,I have gone / I went,indicative,passato_prossimo,1s,feminine,singular,true,agreement by subject gender/number; used with auxiliary 'essere',"Sono andata al negozio.","I have gone to the shop."
sei andato,false,andare,you have gone / you went,indicative,passato_prossimo,2s,masculine,singular,true,agreement by subject gender/number; used with auxiliary 'essere',"Sei andato al lavoro.","You have gone to work."
sei andata,false,andare,you have gone / you went,indicative,passato_prossimo,2s,feminine,singular,true,agreement by subject gender/number; used with auxiliary 'essere',"Sei andata al lavoro.","You have gone to work."
è andato,false,andare,he has gone / he went,indicative,passato_prossimo,3s,masculine,singular,true,agreement by subject gender/number; used with auxiliary 'essere'; also 'you (formal)',"È andato via.","He has gone away."
è andata,false,andare,she has gone / she went,indicative,passato_prossimo,3s,feminine,singular,true,agreement by subject gender/number; used with auxiliary 'essere'; also 'you (formal)',"È andata via.","She has gone away."
siamo andati,false,andare,we have gone / we went,indicative,passato_prossimo,1p,masculine,plural,true,agreement by subject gender/number; used with auxiliary 'essere',"Siamo andati al cinema.","We have gone to the cinema."
siamo andate,false,andare,we have gone / we went,indicative,passato_prossimo,1p,feminine,plural,true,agreement by subject gender/number; used with auxiliary 'essere',"Siamo andate al centro.","We have gone to the center."
siete andati,false,andare,you (plural) have gone,indicative,passato_prossimo,2p,masculine,plural,true,agreement by subject gender/number; used with auxiliary 'essere',"Siete andati al concerto.","You (plural) have gone to the concert."
siete andate,false,andare,you (plural) have gone,indicative,passato_prossimo,2p,feminine,plural,true,agreement by subject gender/number; used with auxiliary 'essere',"Siete andate al concerto.","You (plural) have gone to the concert."
sono andati,false,andare,they have gone / they went,indicative,passato_prossimo,3p,masculine,plural,true,agreement by subject gender/number; used with auxiliary 'essere',"Sono andati in montagna.","They have gone to the mountains."
sono andate,false,andare,they have gone / they went,indicative,passato_prossimo,3p,feminine,plural,true,agreement by subject gender/number; used with auxiliary 'essere',"Sono andate in montagna.","They have gone to the mountains."
