term_italian,is_base,base_word_italian,translation_english,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
dovere,true,dovere,to have to / must,non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Il dovere chiama.","Duty calls."
dovendo,false,dovere,having to / being obliged,non-finite,gerund,n/a,n/a,n/a,false,,"Dovendo partire, ho chiamato.","Having to leave, I called."
dovuto,false,dovere,had to / due (masculine singular),non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'avere' to form compound tenses (no agreement with subject),"Il pagamento è dovuto.","The payment is due."
dovuta,false,dovere,had to / due (feminine singular),non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'avere' to form compound tenses (no agreement with subject),"La tassa è dovuta.","The tax is due."
dovuti,false,dovere,had to / due (masculine plural),non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'avere' to form compound tenses (no agreement with subject),"I pagamenti sono dovuti.","The payments are due."
dovute,false,dovere,had to / due (feminine plural),non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'avere' to form compound tenses (no agreement with subject),"Le tasse sono dovute.","The taxes are due."
devo,false,dovere,I have to / I must,indicative,present,1s,n/a,singular,false,,"Io devo andare.","I have to go."
devi,false,dovere,you have to,indicative,present,2s,n/a,singular,false,,"Tu devi studiare.","You have to study."
deve,false,dovere,he/she/it has to,indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lui deve lavorare.","He has to work."
dobbiamo,false,dovere,we have to,indicative,present,1p,n/a,plural,false,,"Noi dobbiamo partire.","We have to leave."
dovete,false,dovere,you (plural) have to,indicative,present,2p,n/a,plural,false,,"Voi dovete ascoltare.","You (plural) have to listen."
devono,false,dovere,they have to,indicative,present,3p,n/a,plural,false,,"Loro devono pagare.","They have to pay."
dovevo,false,dovere,I had to / I used to have to,indicative,imperfect,1s,n/a,singular,false,,"Io dovevo lavorare.","I had to work."
dovevi,false,dovere,you had to / you used to have to,indicative,imperfect,2s,n/a,singular,false,,"Tu dovevi venire.","You had to come."
doveva,false,dovere,he/she/it had to,indicative,imperfect,3s,n/a,singular,false,also 'you (formal)',"Lei doveva restare.","She had to stay."
dovevamo,false,dovere,we had to / we used to have to,indicative,imperfect,1p,n/a,plural,false,,"Noi dovevamo aspettare.","We had to wait."
dovevate,false,dovere,you (plural) had to,indicative,imperfect,2p,n/a,plural,false,,"Voi dovevate decidere.","You (plural) had to decide."
dovevano,false,dovere,they had to / they used to have to,indicative,imperfect,3p,n/a,plural,false,,"Loro dovevano aiutare.","They had to help."
ho dovuto,false,dovere,I have had to / I had to,indicative,passato_prossimo,1s,masculine,singular,true,uses auxiliary 'avere' (no agreement with subject),"Io ho dovuto lavorare.","I had to work."
ho dovuto,false,dovere,I have had to / I had to,indicative,passato_prossimo,1s,feminine,singular,true,uses auxiliary 'avere' (no agreement with subject),"Io ho dovuto partire.","I had to leave."
hai dovuto,false,dovere,you have had to / you had to,indicative,passato_prossimo,2s,masculine,singular,true,uses auxiliary 'avere' (no agreement with subject),"Tu hai dovuto parlare.","You had to speak."
hai dovuto,false,dovere,you have had to / you had to,indicative,passato_prossimo,2s,feminine,singular,true,uses auxiliary 'avere' (no agreement with subject),"Tu hai dovuto parlare.","You had to speak."
ha dovuto,false,dovere,he/she/it has had to,indicative,passato_prossimo,3s,masculine,singular,true,uses auxiliary 'avere' (no agreement with subject); also 'you (formal)',"Luca ha dovuto partire.","Luca had to leave."
ha dovuto,false,dovere,he/she/it has had to,indicative,passato_prossimo,3s,feminine,singular,true,uses auxiliary 'avere' (no agreement with subject); also 'you (formal)',"Maria ha dovuto partire.","Maria had to leave."
abbiamo dovuto,false,dovere,we have had to / we had to,indicative,passato_prossimo,1p,masculine,plural,true,uses auxiliary 'avere' (no agreement with subject),"Noi abbiamo dovuto lavorare.","We had to work."
abbiamo dovuto,false,dovere,we have had to / we had to,indicative,passato_prossimo,1p,feminine,plural,true,uses auxiliary 'avere' (no agreement with subject),"Noi abbiamo dovuto studiare.","We had to study."
avete dovuto,false,dovere,you (plural) have had to / you had to,indicative,passato_prossimo,2p,masculine,plural,true,uses auxiliary 'avere' (no agreement with subject),"Voi avete dovuto pagare.","You (plural) had to pay."
avete dovuto,false,dovere,you (plural) have had to / you had to,indicative,passato_prossimo,2p,feminine,plural,true,uses auxiliary 'avere' (no agreement with subject),"Voi avete dovuto pagare.","You (plural) had to pay."
hanno dovuto,false,dovere,they have had to / they had to,indicative,passato_prossimo,3p,masculine,plural,true,uses auxiliary 'avere' (no agreement with subject),"Loro hanno dovuto dire la verità.","They had to tell the truth."
hanno dovuto,false,dovere,they have had to / they had to,indicative,passato_prossimo,3p,feminine,plural,true,uses auxiliary 'avere' (no agreement with subject),"Loro hanno dovuto dire la verità.","They had to tell the truth."
