term_italian,is_base,base_word_italian,translation_english,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
essere,true,essere,to be,non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio essere felice.","I want to be happy."
essendo,false,essere,being,non-finite,gerund,n/a,n/a,n/a,false,,"Essendo onesto, dico la verità.","Being honest, I tell the truth."
state,false,essere,been (feminine plural),non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'essere' to form compound tenses,"Sono state fortunate.","They have been lucky."
stata,false,essere,been (feminine singular),non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'essere' to form compound tenses,"È stata brava.","She has been good."
stati,false,essere,been (masculine plural),non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'essere' to form compound tenses,"Sono stati gentili.","They have been kind."
stato,false,essere,been (masculine singular),non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'essere' to form compound tenses,"È stato difficile.","It has been difficult."
sono,false,essere,I am,indicative,present,1s,n/a,singular,false,,"Io sono felice.","I am happy."
sei,false,essere,you are,indicative,present,2s,n/a,singular,false,,"Tu sei stanco.","You are tired."
è,false,essere,he/she/it is,indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lei è gentile.","She is kind."
siamo,false,essere,we are,indicative,present,1p,n/a,plural,false,,"Noi siamo amici.","We are friends."
siete,false,essere,you (plural) are,indicative,present,2p,n/a,plural,false,,"Voi siete pronti.","You (plural) are ready."
sono,false,essere,they are,indicative,present,3p,n/a,plural,false,,"Loro sono studenti.","They are students."
ero,false,essere,I was,indicative,imperfect,1s,n/a,singular,false,,"Io ero a casa.","I was at home."
eri,false,essere,you were,indicative,imperfect,2s,n/a,singular,false,,"Tu eri felice.","You were happy."
era,false,essere,he/she/it was,indicative,imperfect,3s,n/a,singular,false,also 'you were (formal)',"Lui era malato.","He was sick."
eravamo,false,essere,we were,indicative,imperfect,1p,n/a,plural,false,,"Noi eravamo giovani.","We were young."
eravate,false,essere,you (plural) were,indicative,imperfect,2p,n/a,plural,false,,"Voi eravate occupati.","You (plural) were busy."
erano,false,essere,they were,indicative,imperfect,3p,n/a,plural,false,,"Loro erano tristi.","They were sad."
sono stata,false,essere,I have been / I was,indicative,passato_prossimo,1s,feminine,singular,true,agreement by subject gender/number,"Sono stata fortunata.","I have been lucky."
sono stato,false,essere,I have been / I was,indicative,passato_prossimo,1s,masculine,singular,true,agreement by subject gender/number,"Sono stato felice.","I have been happy."
sei stata,false,essere,you have been / you were,indicative,passato_prossimo,2s,feminine,singular,true,agreement by subject gender/number,"Sei stata gentile.","You have been kind."
sei stato,false,essere,you have been / you were,indicative,passato_prossimo,2s,masculine,singular,true,agreement by subject gender/number,"Sei stato bravo.","You have been good."
è stata,false,essere,she has been / she was,indicative,passato_prossimo,3s,feminine,singular,true,agreement by subject gender/number; also 'you (formal)',"È stata una bella giornata.","It has been a nice day."
è stato,false,essere,he has been / he was,indicative,passato_prossimo,3s,masculine,singular,true,agreement by subject gender/number; also 'you (formal)',"È stato un piacere.","It has been a pleasure."
siamo state,false,essere,we have been / we were,indicative,passato_prossimo,1p,feminine,plural,true,agreement by subject gender/number,"Siamo state fortunate.","We have been lucky."
siamo stati,false,essere,we have been / we were,indicative,passato_prossimo,1p,masculine,plural,true,agreement by subject gender/number,"Siamo stati amici.","We have been friends."
siete state,false,essere,you (plural) have been / you (plural) were,indicative,passato_prossimo,2p,feminine,plural,true,agreement by subject gender/number,"Siete state gentili.","You (plural) have been kind."
siete stati,false,essere,you (plural) have been / you (plural) were,indicative,passato_prossimo,2p,masculine,plural,true,agreement by subject gender/number,"Siete stati forti.","You (plural) have been strong."
sono state,false,essere,they have been / they were,indicative,passato_prossimo,3p,feminine,plural,true,agreement by subject gender/number,"Sono state brave.","They have been good."
sono stati,false,essere,they have been / they were,indicative,passato_prossimo,3p,masculine,plural,true,agreement by subject gender/number,"Sono stati felici.","They have been happy."
