term_italian,is_base,base_word_italian,translation_english,mood,tense,person_number,gender,plurality,is_compound,notes,example_sentence_italian,example_sentence_english
dare,true,dare,to give,non-finite,infinitive,n/a,n/a,n/a,false,base lemma,"Voglio dare un regalo.","I want to give a gift."
dando,false,dare,giving,non-finite,gerund,n/a,n/a,n/a,false,,"Sto dando il libro a Marco.","I am giving the book to Marco."
data,false,dare,given (feminine singular),non-finite,participle,n/a,feminine,singular,false,"used with auxiliary 'avere' to form compound tenses; past participle generally invariable with 'avere' but can agree in passive constructions","La somma data è corretta.","The given amount is correct."
dato,false,dare,given (masculine singular),non-finite,participle,n/a,masculine,singular,false,"used with auxiliary 'avere' to form compound tenses; past participle generally invariable with 'avere' but can agree in passive constructions","Il regalo dato è stato apprezzato.","The given gift was appreciated."
date,false,dare,given (feminine plural),non-finite,participle,n/a,feminine,plural,false,"used with auxiliary 'avere' to form compound tenses; past participle generally invariable with 'avere' but can agree in passive constructions","Le risposte date erano corrette.","The answers given were correct."
dati,false,dare,given (masculine plural),non-finite,participle,n/a,masculine,plural,false,"used with auxiliary 'avere' to form compound tenses; past participle generally invariable with 'avere' but can agree in passive constructions","I compiti dati sono molti.","The given assignments are many."
do,false,dare,I give,indicative,present,1s,n/a,singular,false,,"Io do un libro.","I give a book."
dai,false,dare,you give,indicative,present,2s,n/a,singular,false,,"Tu dai sempre buoni consigli.","You always give good advice."
dà,false,dare,he/she/it gives,indicative,present,3s,n/a,singular,false,also 'you (formal)',"Lui dà il massimo.","He gives his best."
diamo,false,dare,we give,indicative,present,1p,n/a,plural,false,,"Noi diamo l'esempio.","We set the example."
date,false,dare,you (plural) give,indicative,present,2p,n/a,plural,false,,"Voi date troppa importanza a questo.","You (plural) give too much importance to this."
danno,false,dare,they give,indicative,present,3p,n/a,plural,false,,"Loro danno il permesso.","They give permission."
davo,false,dare,I was giving / I used to give,indicative,imperfect,1s,n/a,singular,false,,"Io davo i giocattoli ai bambini.","I used to give the toys to the children."
davi,false,dare,you were giving / you used to give,indicative,imperfect,2s,n/a,singular,false,,"Tu davi consigli preziosi.","You used to give valuable advice."
dava,false,dare,he/she/it was giving / used to give,indicative,imperfect,3s,n/a,singular,false,also 'you were giving (formal)',"Lei dava sempre una mano.","She used to always lend a hand."
davamo,false,dare,we were giving / we used to give,indicative,imperfect,1p,n/a,plural,false,,"Noi davamo importanza all'onestà.","We used to give importance to honesty."
davate,false,dare,you (plural) were giving / you used to give,indicative,imperfect,2p,n/a,plural,false,,"Voi davate consigli utili.","You (plural) used to give useful advice."
davano,false,dare,they were giving / they used to give,indicative,imperfect,3p,n/a,plural,false,,"Loro davano tutto per la causa.","They gave everything for the cause."
ho dato,false,dare,I have given / I gave,indicative,passato_prossimo,1s,masculine,singular,true,"uses auxiliary 'avere' — past participle generally invariable; included gender/number rows although form is identical","Ho dato il libro a Marco.","I have given the book to Marco."
ho dato,false,dare,I have given / I gave,indicative,passato_prossimo,1s,feminine,singular,true,"uses auxiliary 'avere' — past participle generally invariable; included gender/number rows although form is identical","Ho dato la borsa a Maria.","I have given the bag to Maria."
hai dato,false,dare,you have given / you gave,indicative,passato_prossimo,2s,masculine,singular,true,"uses auxiliary 'avere' — past participle generally invariable","Hai dato il regalo.","You have given the gift."
hai dato,false,dare,you have given / you gave,indicative,passato_prossimo,2s,feminine,singular,true,"uses auxiliary 'avere' — past participle generally invariable","Hai dato la risposta giusta.","You have given the correct answer."
ha dato,false,dare,he/she/it has given / he/she/it gave,indicative,passato_prossimo,3s,masculine,singular,true,"uses auxiliary 'avere' — past participle generally invariable; also 'you (formal)'","Lui ha dato un contributo importante.","He has given an important contribution."
ha dato,false,dare,he/she/it has given / he/she/it gave,indicative,passato_prossimo,3s,feminine,singular,true,"uses auxiliary 'avere' — past participle generally invariable; also 'you (formal)'","Lei ha dato le chiavi.","She has given the keys."
abbiamo dato,false,dare,we have given / we gave,indicative,passato_prossimo,1p,masculine,plural,true,"uses auxiliary 'avere' — past participle generally invariable","Abbiamo dato tutto il necessario.","We have given everything necessary."
abbiamo dato,false,dare,we have given / we gave,indicative,passato_prossimo,1p,feminine,plural,true,"uses auxiliary 'avere' — past participle generally invariable","Abbiamo dato le informazioni richieste.","We have given the requested information."
avete dato,false,dare,you (plural) have given / you (plural) gave,indicative,passato_prossimo,2p,masculine,plural,true,"uses auxiliary 'avere' — past participle generally invariable","Avete dato i documenti.","You (plural) have given the documents."
avete dato,false,dare,you (plural) have given / you (plural) gave,indicative,passato_prossimo,2p,feminine,plural,true,"uses auxiliary 'avere' — past participle generally invariable","Avete dato le risposte.","You (plural) have given the answers."
hanno dato,false,dare,they have given / they gave,indicative,passato_prossimo,3p,masculine,plural,true,"uses auxiliary 'avere' — past participle generally invariable","Hanno dato i soldi alla raccolta.","They have given the money to the collection."
hanno dato,false,dare,they have given / they gave,indicative,passato_prossimo,3p,feminine,plural,true,"uses auxiliary 'avere' — past participle generally invariable","Hanno dato le informazioni necessarie.","They have given the necessary information."
