term_italian,is_base,base_word_italian,translation_english,mood,tense,person_number,gender,plurality,is_compound,notes
essere,true,essere,to be,non-finite,infinitive,n/a,n/a,n/a,false,base lemma
essendo,false,essere,being,non-finite,gerund,n/a,n/a,n/a,false,
state,false,essere,been (feminine plural),non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'essere' to form compound tenses
stata,false,essere,been (feminine singular),non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'essere' to form compound tenses
stati,false,essere,been (masculine plural),non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'essere' to form compound tenses
stato,false,essere,been (masculine singular),non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'essere' to form compound tenses
sono,false,essere,I am,indicative,present,1s,n/a,singular,false,
sei,false,essere,you are,indicative,present,2s,n/a,singular,false,
è,false,essere,he/she/it is,indicative,present,3s,n/a,singular,false,also 'you are (formal)'
siamo,false,essere,we are,indicative,present,1p,n/a,plural,false,
siete,false,essere,you (plural) are,indicative,present,2p,n/a,plural,false,
sono,false,essere,they are,indicative,present,3p,n/a,plural,false,
ero,false,essere,I was,indicative,imperfect,1s,n/a,singular,false,
eri,false,essere,you were,indicative,imperfect,2s,n/a,singular,false,
era,false,essere,he/she/it was,indicative,imperfect,3s,n/a,singular,false,also 'you were (formal)'
eravamo,false,essere,we were,indicative,imperfect,1p,n/a,plural,false,
eravate,false,essere,you (plural) were,indicative,imperfect,2p,n/a,plural,false,
erano,false,essere,they were,indicative,imperfect,3p,n/a,plural,false,
sono stata,false,essere,I have been / I was,indicative,passato_prossimo,1s,feminine,singular,true,agreement by subject gender/number
sono stato,false,essere,I have been / I was,indicative,passato_prossimo,1s,masculine,singular,true,agreement by subject gender/number
sei stata,false,essere,you have been / you were,indicative,passato_prossimo,2s,feminine,singular,true,agreement by subject gender/number
sei stato,false,essere,you have been / you were,indicative,passato_prossimo,2s,masculine,singular,true,agreement by subject gender/number
è stata,false,essere,she has been / she was,indicative,passato_prossimo,3s,feminine,singular,true,agreement by subject gender/number; also 'you (formal)'
è stato,false,essere,he has been / he was,indicative,passato_prossimo,3s,masculine,singular,true,agreement by subject gender/number; also 'you (formal)'
siamo state,false,essere,we have been / we were,indicative,passato_prossimo,1p,feminine,plural,true,agreement by subject gender/number
siamo stati,false,essere,we have been / we were,indicative,passato_prossimo,1p,masculine,plural,true,agreement by subject gender/number
siete state,false,essere,you (plural) have been / you (plural) were,indicative,passato_prossimo,2p,feminine,plural,true,agreement by subject gender/number
siete stati,false,essere,you (plural) have been / you (plural) were,indicative,passato_prossimo,2p,masculine,plural,true,agreement by subject gender/number
sono state,false,essere,they have been / they were,indicative,passato_prossimo,3p,feminine,plural,true,agreement by subject gender/number
sono stati,false,essere,they have been / they were,indicative,passato_prossimo,3p,masculine,plural,true,agreement by subject gender/number
