term_italian,is_base,base_word_italian,translation_english,mood,tense,person_number,gender,plurality,is_compound,notes
aiutare,true,aiutare,to help,non-finite,infinitive,n/a,n/a,n/a,false,base lemma
aiutando,false,aiutare,helping,non-finite,gerund,n/a,n/a,n/a,false,
aiutate,false,aiutare,helped (feminine plural),non-finite,participle,n/a,feminine,plural,false,used with auxiliary 'avere' to form compound tenses
aiutata,false,aiutare,helped (feminine singular),non-finite,participle,n/a,feminine,singular,false,used with auxiliary 'avere' to form compound tenses
aiutati,false,aiutare,helped (masculine plural),non-finite,participle,n/a,masculine,plural,false,used with auxiliary 'avere' to form compound tenses
aiutato,false,aiutare,helped (masculine singular),non-finite,participle,n/a,masculine,singular,false,used with auxiliary 'avere' to form compound tenses
aiuto,false,aiutare,I help,indicative,present,1s,n/a,singular,false,
aiuti,false,aiutare,you help,indicative,present,2s,n/a,singular,false,
aiuta,false,aiutare,he/she/it helps,indicative,present,3s,n/a,singular,false,also 'you help (formal)'
aiutiamo,false,aiutare,we help,indicative,present,1p,n/a,plural,false,
aiutate,false,aiutare,you (plural) help,indicative,present,2p,n/a,plural,false,
aiutano,false,aiutare,they help,indicative,present,3p,n/a,plural,false,
aiutavo,false,aiutare,I was helping / I used to help,indicative,imperfect,1s,n/a,singular,false,
aiutavi,false,aiutare,you were helping / you used to help,indicative,imperfect,2s,n/a,singular,false,
aiutava,false,aiutare,he/she/it was helping / used to help,indicative,imperfect,3s,n/a,singular,false,also 'you were helping (formal)'
aiutavamo,false,aiutare,we were helping / we used to help,indicative,imperfect,1p,n/a,plural,false,
aiutavate,false,aiutare,you (plural) were helping / used to help,indicative,imperfect,2p,n/a,plural,false,
aiutavano,false,aiutare,they were helping / they used to help,indicative,imperfect,3p,n/a,plural,false,
ho aiutata,false,aiutare,I have helped,indicative,passato_prossimo,1s,feminine,singular,true,agreement by object gender/number
ho aiutato,false,aiutare,I have helped,indicative,passato_prossimo,1s,masculine,singular,true,agreement by object gender/number
hai aiutata,false,aiutare,you have helped,indicative,passato_prossimo,2s,feminine,singular,true,agreement by object gender/number
hai aiutato,false,aiutare,you have helped,indicative,passato_prossimo,2s,masculine,singular,true,agreement by object gender/number
ha aiutata,false,aiutare,she has helped,indicative,passato_prossimo,3s,feminine,singular,true,agreement by object gender/number; also 'you (formal)'
ha aiutato,false,aiutare,he has helped,indicative,passato_prossimo,3s,masculine,singular,true,agreement by object gender/number; also 'you (formal)'
abbiamo aiutate,false,aiutare,we have helped,indicative,passato_prossimo,1p,feminine,plural,true,agreement by object gender/number
abbiamo aiutati,false,aiutare,we have helped,indicative,passato_prossimo,1p,masculine,plural,true,agreement by object gender/number
avete aiutate,false,aiutare,you (plural) have helped,indicative,passato_prossimo,2p,feminine,plural,true,agreement by object gender/number
avete aiutati,false,aiutare,you (plural) have helped,indicative,passato_prossimo,2p,masculine,plural,true,agreement by object gender/number
hanno aiutate,false,aiutare,they have helped,indicative,passato_prossimo,3p,feminine,plural,true,agreement by object gender/number
hanno aiutati,false,aiutare,they have helped,indicative,passato_prossimo,3p,masculine,plural,true,agreement by object gender/number
