term_italian,is_base,base_term_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
strada,True,strada,road,"places,transport",feminine,singular,none,,,,base lemma,Attraverso strada con cura.,I cross the road carefully.
una strada,False,strada,a road,"places,transport",feminine,singular,indefinite,una,una,,,Cerco una strada alternativa.,I'm looking for an alternative road.
la strada,False,strada,the road,"places,transport",feminine,singular,definite,la,la,,,La strada è chiusa.,The road is closed.
strade,False,strada,roads,"places,transport",feminine,plural,none,,,,plural form,Strade vuote stamattina.,Empty roads this morning.
le strade,False,strada,the roads,"places,transport",feminine,plural,definite,le,le,,,Le strade sono strette.,The roads are narrow.
delle strade,False,strada,some roads,"places,transport",feminine,plural,articulated_preposition,le,delle,di,,Conosco delle strade migliori.,I know some better roads.
della strada,False,strada,of the road,"places,transport",feminine,singular,articulated_preposition,la,della,di,,Il nome della strada è lungo.,The road's name is long.
alla strada,False,strada,to the road,"places,transport",feminine,singular,articulated_preposition,la,alla,a,,Torno alla strada principale.,I return to the main road.
alle strade,False,strada,to the roads,"places,transport",feminine,plural,articulated_preposition,le,alle,a,,Accesso alle strade interne.,Access to inner roads.
dalla strada,False,strada,from the road,"places,transport",feminine,singular,articulated_preposition,la,dalla,da,,Rumore dalla strada.,Noise from the road.
dalle strade,False,strada,from the roads,"places,transport",feminine,plural,articulated_preposition,le,dalle,da,,Detriti dalle strade.,Debris from the roads.
nella strada,False,strada,in the road,"places,transport",feminine,singular,articulated_preposition,la,nella,in,,C'è traffico nella strada.,There is traffic in the road.
nelle strade,False,strada,in the roads,"places,transport",feminine,plural,articulated_preposition,le,nelle,in,,Buche nelle strade.,Potholes in the roads.
sulla strada,False,strada,on the road,"places,transport",feminine,singular,articulated_preposition,la,sulla,su,,Cammino sulla strada.,I walk on the road.
sulle strade,False,strada,on the roads,"places,transport",feminine,plural,articulated_preposition,le,sulle,su,,Controlli sulle strade.,Checks on the roads.
con la strada,False,strada,with the road,"places,transport",feminine,singular,articulated_preposition,la,con la,con,,Problemi con la strada provinciale.,Problems with the provincial road.
con le strade,False,strada,with the roads,"places,transport",feminine,plural,articulated_preposition,le,con le,con,,Lavoriamo con le strade locali.,We work with the local roads.
