term_italian,is_base,base_term_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
treno,True,treno,train,"transport,public",masculine,singular,none,,,,base lemma,Prendo treno veloce.,I take a fast train.
un treno,False,treno,a train,"transport,public",masculine,singular,indefinite,un,un,,,Aspetto un treno regionale.,I'm waiting for a regional train.
il treno,False,treno,the train,"transport,public",masculine,singular,definite,il,il,,,Il treno parte alle otto.,The train leaves at eight.
treni,False,treno,trains,"transport,public",masculine,plural,none,,,,plural form,Treni puntuali oggi.,Trains are on time today.
i treni,False,treno,the trains,"transport,public",masculine,plural,definite,i,i,,,I treni sono pieni.,The trains are full.
dei treni,False,treno,some trains,"transport,public",masculine,plural,articulated_preposition,i,dei,di,,Prendiamo dei treni veloci.,We take some fast trains.
del treno,False,treno,of the train,"transport,public",masculine,singular,articulated_preposition,il,del,di,,Il capotreno del treno parla.,The train's conductor is speaking.
al treno,False,treno,to the train,"transport,public",masculine,singular,articulated_preposition,il,al,a,,Salgo al treno.,I get on the train.
ai treni,False,treno,to the trains,"transport,public",masculine,plural,articulated_preposition,i,ai,a,,Cambio ai treni regionali.,I transfer to the regional trains.
dal treno,False,treno,from the train,"transport,public",masculine,singular,articulated_preposition,il,dal,da,,Scendo dal treno.,I get off the train.
dai treni,False,treno,from the trains,"transport,public",masculine,plural,articulated_preposition,i,dai,da,,Ritardi dai treni notturni.,Delays from the night trains.
nel treno,False,treno,in the train,"transport,public",masculine,singular,articulated_preposition,il,nel,in,,Mangio nel treno.,I eat on the train.
nei treni,False,treno,in the trains,"transport,public",masculine,plural,articulated_preposition,i,nei,in,,Prese nei treni nuovi.,Outlets on the new trains.
sul treno,False,treno,on the train,"transport,public",masculine,singular,articulated_preposition,il,sul,su,,Dormo sul treno.,I sleep on the train.
sui treni,False,treno,on the trains,"transport,public",masculine,plural,articulated_preposition,i,sui,su,,Bagagli sui treni.,Luggage on the trains.
col treno,False,treno,with the train,"transport,public",masculine,singular,articulated_preposition,il,col,con,contraction of con + il,Viaggio col treno veloce.,I travel with the fast train.
coi treni,False,treno,with the trains,"transport,public",masculine,plural,articulated_preposition,i,coi,con,contraction of con + i,Mi muovo coi treni regionali.,I get around with regional trains.
