term_italian,is_base,base_term_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
caffè,true,caffè,coffee,"beverages,cafe",masculine,singular,none,n/a,n/a,n/a,base lemma,"Vedo un caffè aperto.","I see an open café."
un caffè,false,caffè,a coffee,"beverages,cafe",masculine,singular,indefinite,un,un,n/a,,"Prendo un caffè al banco.","I’ll have a coffee at the counter."
il caffè,false,caffè,the coffee,"beverages,cafe",masculine,singular,definite,il,il,n/a,,"Il caffè è caldo.","The coffee is hot."
caffè,false,caffè,coffees,"beverages,cafe",masculine,plural,none,n/a,n/a,n/a,invariable plural,"Caffè italiani sono famosi.","Italian coffees are famous."
i caffè,false,caffè,the coffees,"beverages,cafe",masculine,plural,definite,i,i,n/a,invariable plural,"I caffè del centro sono pieni.","The cafés downtown are full."
dei caffè,false,caffè,some coffees,"beverages,cafe",masculine,plural,articulated_preposition,i,dei,di,invariable plural,"Abbiamo preso dei caffè.","We had some coffees."
del caffè,false,caffè,of the coffee,"beverages,cafe",masculine,singular,articulated_preposition,il,del,di,,"Bevo del caffè al mattino.","I drink some coffee in the morning."
al caffè,false,caffè,to the coffee,"beverages,cafe",masculine,singular,articulated_preposition,il,al,a,,"Aggiungo zucchero al caffè.","I add sugar to the coffee."
ai caffè,false,caffè,to the coffees,"beverages,cafe",masculine,plural,articulated_preposition,i,ai,a,invariable plural,"Porto biscotti ai caffè.","I bring cookies to the coffees/cafés."
dal caffè,false,caffè,from the coffee,"beverages,cafe",masculine,singular,articulated_preposition,il,dal,da,,"Sento profumo dal caffè.","I smell aroma from the coffee."
dai caffè,false,caffè,from the coffees,"beverages,cafe",masculine,plural,articulated_preposition,i,dai,da,invariable plural,"Musica arriva dai caffè.","Music comes from the cafés."
nel caffè,false,caffè,in the coffee,"beverages,cafe",masculine,singular,articulated_preposition,il,nel,in,,"Metto latte nel caffè.","I put milk in the coffee."
nei caffè,false,caffè,in the coffees,"beverages,cafe",masculine,plural,articulated_preposition,i,nei,in,invariable plural,"Si fuma meno nei caffè.","People smoke less in cafés."
sul caffè,false,caffè,on the coffee,"beverages,cafe",masculine,singular,articulated_preposition,il,sul,su,,"Ho letto un articolo sul caffè.","I read an article about coffee."
sui caffè,false,caffè,on the coffees,"beverages,cafe",masculine,plural,articulated_preposition,i,sui,su,invariable plural,"Parliamo spesso sui caffè.","We often talk about cafés."
col caffè,false,caffè,with the coffee,"beverages,cafe",masculine,singular,articulated_preposition,il,col,con,contraction of con + il,"Lo bevo col caffè.","I drink it with the coffee."
coi caffè,false,caffè,with the coffees,"beverages,cafe",masculine,plural,articulated_preposition,i,coi,con,contraction of con + i,"Arrivano i conti coi caffè.","The bills arrive with the coffees."
acqua,true,acqua,water,"beverages,basics",feminine,singular,none,n/a,n/a,n/a,base lemma,"Bevo acqua spesso.","I drink water often."
un’acqua,false,acqua,a water,"beverages,basics",feminine,singular,indefinite,un’,un’,n/a,used for a bottle or type,"Prendo un’acqua frizzante.","I’ll have a sparkling water."
l’acqua,false,acqua,the water,"beverages,basics",feminine,singular,definite,l’,l’,n/a,,"L’acqua è fredda.","The water is cold."
acque,false,acqua,waters,"beverages,basics",feminine,plural,none,n/a,n/a,n/a,plural form,"Acque limpide circondano l’isola.","Clear waters surround the island."
le acque,false,acqua,the waters,"beverages,basics",feminine,plural,definite,le,le,n/a,,"Le acque sono alte.","The waters are high."
delle acque,false,acqua,some waters,"beverages,basics",feminine,plural,articulated_preposition,le,delle,di,,"Hanno analizzato delle acque.","They analyzed some waters."
dell’acqua,false,acqua,of the water,"beverages,basics",feminine,singular,articulated_preposition,l’,dell’,di,,"Ho bisogno dell’acqua.","I need the water."
all’acqua,false,acqua,to the water,"beverages,basics",feminine,singular,articulated_preposition,l’,all’,a,,"Aggiungo limone all’acqua.","I add lemon to the water."
alle acque,false,acqua,to the waters,"beverages,basics",feminine,plural,articulated_preposition,le,alle,a,,"Torniamo alle acque termali.","We return to the thermal waters."
dall’acqua,false,acqua,from the water,"beverages,basics",feminine,singular,articulated_preposition,l’,dall’,da,,"La barca emerge dall’acqua.","The boat emerges from the water."
dalle acque,false,acqua,from the waters,"beverages,basics",feminine,plural,articulated_preposition,le,dalle,da,,"Il tempio riemerse dalle acque.","The temple re-emerged from the waters."
nell’acqua,false,acqua,in the water,"beverages,basics",feminine,singular,articulated_preposition,l’,nell’,in,,"C’è sabbia nell’acqua.","There is sand in the water."
nelle acque,false,acqua,in the waters,"beverages,basics",feminine,plural,articulated_preposition,le,nelle,in,,"Nuotiamo nelle acque calme.","We swim in the calm waters."
sull’acqua,false,acqua,on the water,"beverages,basics",feminine,singular,articulated_preposition,l’,sull’,su,,"Case sull’acqua costano molto.","Houses on the water are expensive."
sulle acque,false,acqua,on the waters,"beverages,basics",feminine,plural,articulated_preposition,le,sulle,su,,"C’è nebbia sulle acque del lago.","There is fog on the lake’s waters."
