term_italian,is_base,base_term_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
acqua,True,acqua,water,"beverages,basics",feminine,singular,none,,,,base lemma,Bevo acqua spesso.,I drink water often.
un'acqua,False,acqua,a water,"beverages,basics",feminine,singular,indefinite,un',un',,used for a bottle or type,Prendo un'acqua frizzante.,I'll have a sparkling water.
l'acqua,False,acqua,the water,"beverages,basics",feminine,singular,definite,l',l',,,L'acqua è fredda.,The water is cold.
acque,False,acqua,waters,"beverages,basics",feminine,plural,none,,,,plural form,Acque limpide circondano l'isola.,Clear waters surround the island.
le acque,False,acqua,the waters,"beverages,basics",feminine,plural,definite,le,le,,,Le acque sono alte.,The waters are high.
delle acque,False,acqua,some waters,"beverages,basics",feminine,plural,articulated_preposition,le,delle,di,,Hanno analizzato delle acque.,They analyzed some waters.
dell'acqua,False,acqua,of the water,"beverages,basics",feminine,singular,articulated_preposition,l',dell',di,,Ho bisogno dell'acqua.,I need the water.
all'acqua,False,acqua,to the water,"beverages,basics",feminine,singular,articulated_preposition,l',all',a,,Aggiungo limone all'acqua.,I add lemon to the water.
alle acque,False,acqua,to the waters,"beverages,basics",feminine,plural,articulated_preposition,le,alle,a,,Torniamo alle acque termali.,We return to the thermal waters.
dall'acqua,False,acqua,from the water,"beverages,basics",feminine,singular,articulated_preposition,l',dall',da,,La barca emerge dall'acqua.,The boat emerges from the water.
dalle acque,False,acqua,from the waters,"beverages,basics",feminine,plural,articulated_preposition,le,dalle,da,,Il tempio riemerse dalle acque.,The temple re-emerged from the waters.
nell'acqua,False,acqua,in the water,"beverages,basics",feminine,singular,articulated_preposition,l',nell',in,,C'è sabbia nell'acqua.,There is sand in the water.
nelle acque,False,acqua,in the waters,"beverages,basics",feminine,plural,articulated_preposition,le,nelle,in,,Nuotiamo nelle acque calme.,We swim in the calm waters.
sull'acqua,False,acqua,on the water,"beverages,basics",feminine,singular,articulated_preposition,l',sull',su,,Case sull'acqua costano molto.,Houses on the water are expensive.
sulle acque,False,acqua,on the waters,"beverages,basics",feminine,plural,articulated_preposition,le,sulle,su,,C'è nebbia sulle acque del lago.,There is fog on the lake's waters.
con l'acqua,False,acqua,with the water,"beverages,basics",feminine,singular,articulated_preposition,l',con l',con,,Lavo i piatti con l'acqua.,I wash the dishes with the water.
con le acque,False,acqua,with the waters,"beverages,basics",feminine,plural,articulated_preposition,le,con le,con,,Lavoriamo con le acque locali.,We work with the local waters.
