term_italian,is_base,base_term_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
biglietto,True,biglietto,ticket,"travel,transport",masculine,singular,none,,,,base lemma,Compro un biglietto online.,I buy a ticket online.
un biglietto,False,biglietto,a ticket,"travel,transport",masculine,singular,indefinite,un,un,,,Mi serve un biglietto.,I need a ticket.
il biglietto,False,biglietto,the ticket,"travel,transport",masculine,singular,definite,il,il,,,Il biglietto costa poco.,The ticket is cheap.
biglietti,False,biglietto,tickets,"travel,transport",masculine,plural,none,,,,plural form,Biglietti esauriti.,Tickets sold out.
i biglietti,False,biglietto,the tickets,"travel,transport",masculine,plural,definite,i,i,,,I biglietti sono validi.,The tickets are valid.
dei biglietti,False,biglietto,some tickets,"travel,transport",masculine,plural,articulated_preposition,i,dei,di,,Compra dei biglietti extra.,Buy some extra tickets.
del biglietto,False,biglietto,of the ticket,"travel,transport",masculine,singular,articulated_preposition,il,del,di,,La data del biglietto è sbagliata.,The ticket's date is wrong.
al biglietto,False,biglietto,to the ticket,"travel,transport",masculine,singular,articulated_preposition,il,al,a,,Aggiungo il nome al biglietto.,I add the name to the ticket.
ai biglietti,False,biglietto,to the tickets,"travel,transport",masculine,plural,articulated_preposition,i,ai,a,,Accedo ai biglietti digitali.,I access the digital tickets.
dal biglietto,False,biglietto,from the ticket,"travel,transport",masculine,singular,articulated_preposition,il,dal,da,,Leggo i dati dal biglietto.,I read the data from the ticket.
dai biglietti,False,biglietto,from the tickets,"travel,transport",masculine,plural,articulated_preposition,i,dai,da,,Codici dai biglietti cartacei.,Codes from the paper tickets.
nel biglietto,False,biglietto,in the ticket,"travel,transport",masculine,singular,articulated_preposition,il,nel,in,,C'è un errore nel biglietto.,There's an error in the ticket.
nei biglietti,False,biglietto,in the tickets,"travel,transport",masculine,plural,articulated_preposition,i,nei,in,,Note nei biglietti.,Notes in the tickets.
sul biglietto,False,biglietto,on the ticket,"travel,transport",masculine,singular,articulated_preposition,il,sul,su,,Firma sul biglietto.,Signature on the ticket.
sui biglietti,False,biglietto,on the tickets,"travel,transport",masculine,plural,articulated_preposition,i,sui,su,,Sconti sui biglietti.,Discounts on the tickets.
col biglietto,False,biglietto,with the ticket,"travel,transport",masculine,singular,articulated_preposition,il,col,con,contraction of con + il,Entro col biglietto elettronico.,I enter with the electronic ticket.
coi biglietti,False,biglietto,with the tickets,"travel,transport",masculine,plural,articulated_preposition,i,coi,con,contraction of con + i,Viaggio coi biglietti prepagati.,I travel with prepaid tickets.
