term_italian,is_base,base_term_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
ristorante,True,ristorante,restaurant,"travel,dining",masculine,singular,none,,,,base lemma,Cerco ristorante economico.,I'm looking for an inexpensive restaurant.
un ristorante,False,ristorante,a restaurant,"travel,dining",masculine,singular,indefinite,un,un,,,Conosco un ristorante buono.,I know a good restaurant.
il ristorante,False,ristorante,the restaurant,"travel,dining",masculine,singular,definite,il,il,,,Il ristorante apre alle sette.,The restaurant opens at seven.
ristoranti,False,ristorante,restaurants,"travel,dining",masculine,plural,none,,,,plural form,Ristoranti nuovi aprono spesso.,New restaurants open often.
i ristoranti,False,ristorante,the restaurants,"travel,dining",masculine,plural,definite,i,i,,,I ristoranti sono pieni.,The restaurants are full.
dei ristoranti,False,ristorante,some restaurants,"travel,dining",masculine,plural,articulated_preposition,i,dei,di,,Provo dei ristoranti locali.,I try some local restaurants.
del ristorante,False,ristorante,of the restaurant,"travel,dining",masculine,singular,articulated_preposition,il,del,di,,L'orario del ristorante è online.,The restaurant's hours are online.
al ristorante,False,ristorante,to the restaurant,"travel,dining",masculine,singular,articulated_preposition,il,al,a,,Andiamo al ristorante.,We're going to the restaurant.
ai ristoranti,False,ristorante,to the restaurants,"travel,dining",masculine,plural,articulated_preposition,i,ai,a,,Prenoto ai ristoranti del centro.,I book at the downtown restaurants.
dal ristorante,False,ristorante,from the restaurant,"travel,dining",masculine,singular,articulated_preposition,il,dal,da,,Esco dal ristorante.,I leave the restaurant.
dai ristoranti,False,ristorante,from the restaurants,"travel,dining",masculine,plural,articulated_preposition,i,dai,da,,Profumi dai ristoranti vicini.,Scents from the nearby restaurants.
nel ristorante,False,ristorante,in the restaurant,"travel,dining",masculine,singular,articulated_preposition,il,nel,in,,Lavoro nel ristorante.,I work in the restaurant.
nei ristoranti,False,ristorante,in the restaurants,"travel,dining",masculine,plural,articulated_preposition,i,nei,in,,Non si fuma nei ristoranti.,You can't smoke in restaurants.
sul ristorante,False,ristorante,on the restaurant,"travel,dining",masculine,singular,articulated_preposition,il,sul,su,,Leggo una recensione sul ristorante.,I read a review about the restaurant.
sui ristoranti,False,ristorante,on the restaurants,"travel,dining",masculine,plural,articulated_preposition,i,sui,su,,Ho dati sui ristoranti locali.,I have data on local restaurants.
col ristorante,False,ristorante,with the restaurant,"travel,dining",masculine,singular,articulated_preposition,il,col,con,contraction of con + il,Collaboro col ristorante.,I collaborate with the restaurant.
coi ristoranti,False,ristorante,with the restaurants,"travel,dining",masculine,plural,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi ristoranti partner.,We work with partner restaurants.
