term_italian,is_base,base_word_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
caffè,true,caffè,coffee,"drinks,food",masculine,singular,none,n/a,n/a,n/a,base lemma,"Bevo caffè ogni mattina.","I drink coffee every morning."
un caffè,false,caffè,a coffee,"drinks,food",masculine,singular,indefinite,un,un,n/a,,"Vorrei un caffè, per favore.","I'd like a coffee, please."
il caffè,false,caffè,the coffee,"drinks,food",masculine,singular,definite,il,il,n/a,,"Il caffè è caldo.","The coffee is hot."
caffè,false,caffè,coffees,"drinks,food",masculine,plural,none,n/a,n/a,n/a,plural form,"I caffè italiani sono diversi.","Italian coffees are different."
i caffè,false,caffè,the coffees,"drinks,food",masculine,plural,definite,i,i,n/a,,"I caffè serviti qui sono buoni.","The coffees served here are good."
dei caffè,false,caffè,some coffees,"drinks,food",masculine,plural,articulated_preposition,dei,dei,di,,"Ho assaggiato dei caffè speciali.","I tasted some special coffees."
del caffè,false,caffè,of the coffee,"drinks,food",masculine,singular,articulated_preposition,del,del,di,,"Il profumo del caffè è intenso.","The smell of the coffee is strong."
al caffè,false,caffè,to the coffee/place called 'caffè',"drinks,food",masculine,singular,articulated_preposition,al,al,a,,"Andiamo al caffè sotto casa.","Let's go to the café downstairs."
ai caffè,false,caffè,to the coffees/at the cafés,"drinks,food",masculine,plural,articulated_preposition,ai,ai,a,,"Parlo spesso ai caffè del centro.","I often speak at the city cafés."
dal caffè,false,caffè,from the coffee/from the café,"drinks,food",masculine,singular,articulated_preposition,dal,dal,da,,"Vengo dal caffè adesso.","I come from the café now."
dai caffè,false,caffè,from the coffees/from the cafés,"drinks,food",masculine,plural,articulated_preposition,dai,dai,da,,"Sono appena tornato dai caffè.","I just returned from the cafés."
nel caffè,false,caffè,in the coffee/in the café,"drinks,food",masculine,singular,articulated_preposition,nel,nel,in,,"Ho messo lo zucchero nel caffè.","I put sugar in the coffee."
nei caffè,false,caffè,in the coffees/in the cafés,"drinks,food",masculine,plural,articulated_preposition,nei,nei,in,,"Ci incontriamo nei caffè della piazza.","We meet in the cafés in the square."
sul caffè,false,caffè,on the coffee/on the café,"drinks,food",masculine,singular,articulated_preposition,sul,sul,su,,"C'è della schiuma sul caffè.","There is foam on the coffee."
sui caffè,false,caffè,on the coffees/on the cafés,"drinks,food",masculine,plural,articulated_preposition,sui,sui,su,,"Ho letto articoli sui caffè italiani.","I read articles about Italian cafés."
col caffè,false,caffè,with the coffee,"drinks,food",masculine,singular,articulated_preposition,col,col,con,common contraction,"Esco col caffè in mano.","I go out with the coffee in my hand."
coi caffè,false,caffè,with the coffees/with the cafés,"drinks,food",masculine,plural,articulated_preposition,coi,coi,con,common contraction,"Parlo coi caffè frequentati dai turisti.","I talk with the cafés frequented by tourists."
acqua,true,acqua,water,"drinks,food",feminine,singular,none,n/a,n/a,n/a,base lemma,"Bevo acqua ogni ora.","I drink water every hour."
un'acqua,false,acqua,a (bottle of) water,"drinks,food",feminine,singular,indefinite,un',un',n/a,elision,used when specifying one bottle/type,"Vorrei un'acqua frizzante.","I'd like a sparkling water."
l'acqua,false,acqua,the water,"drinks,food",feminine,singular,definite,l',l',n/a,elision,"L'acqua è fredda.","The water is cold."
acque,false,acqua,waters (rare/plural),"drinks,food",feminine,plural,none,n/a,n/a,n/a,plural form (rare),"Le acque del lago sono limpide.","The lake waters are clear."
le acque,false,acqua,the waters,"drinks,food",feminine,plural,definite,le,le,n/a,,"Le acque termali sono calde.","The thermal waters are warm."
delle acque,false,acqua,some waters,"drinks,food",feminine,plural,articulated_preposition,delle,delle,di,,"Abbiamo raccolto delle acque per l'analisi.","We collected some waters for analysis."
dell'acqua,false,acqua,of the water,"drinks,food",feminine,singular,articulated_preposition,dell',dell',di,,"Il sapore dell'acqua è neutro.","The taste of the water is neutral."
all'acqua,false,acqua,to the water,"drinks,food",feminine,singular,articulated_preposition,all',all',a,,"Porta la bottiglia all'acquaio.","Put the bottle to the sink (to the water source)."
alle acque,false,acqua,to the waters,"drinks,food",feminine,plural,articulated_preposition,alle,alle,a,,"Andiamo alle acque termali.","Let's go to the thermal waters."
dall'acqua,false,acqua,from the water,"drinks,food",feminine,singular,articulated_preposition,dall',dall',da,,"La barca è uscita dall'acqua.","The boat came out of the water."
