term_italian,is_base,base_term_italian,translation_english,topics,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
pizza,True,pizza,pizza,"food,dining",feminine,singular,none,,,,base lemma,Ordino pizza stasera.,I'm ordering pizza tonight.
una pizza,False,pizza,a pizza,"food,dining",feminine,singular,indefinite,una,una,,,Prendo una pizza margherita.,I'll have a margherita pizza.
la pizza,False,pizza,the pizza,"food,dining",feminine,singular,definite,la,la,,,La pizza è pronta.,The pizza is ready.
pizze,False,pizza,pizzas,"food,dining",feminine,plural,none,,,,plural form,Pizze grandi escono dal forno.,Large pizzas come out of the oven.
le pizze,False,pizza,the pizzas,"food,dining",feminine,plural,definite,le,le,,,Le pizze sono ottime.,The pizzas are excellent.
delle pizze,False,pizza,some pizzas,"food,dining",feminine,plural,articulated_preposition,le,delle,di,,Ordiniamo delle pizze.,We're ordering some pizzas.
della pizza,False,pizza,of the pizza,"food,dining",feminine,singular,articulated_preposition,la,della,di,,Mangio della pizza.,I eat some pizza.
alla pizza,False,pizza,to the pizza,"food,dining",feminine,singular,articulated_preposition,la,alla,a,,Aggiungo basilico alla pizza.,I add basil to the pizza.
alle pizze,False,pizza,to the pizzas,"food,dining",feminine,plural,articulated_preposition,le,alle,a,,Porto olio alle pizze.,I bring oil to the pizzas.
dalla pizza,False,pizza,from the pizza,"food,dining",feminine,singular,articulated_preposition,la,dalla,da,,Il profumo viene dalla pizza.,The smell comes from the pizza.
dalle pizze,False,pizza,from the pizzas,"food,dining",feminine,plural,articulated_preposition,le,dalle,da,,Fumo esce dalle pizze.,Smoke comes out of the pizzas.
nella pizza,False,pizza,in the pizza,"food,dining",feminine,singular,articulated_preposition,la,nella,in,,C'è origano nella pizza.,There's oregano in the pizza.
nelle pizze,False,pizza,in the pizzas,"food,dining",feminine,plural,articulated_preposition,le,nelle,in,,Mettono olive nelle pizze.,They put olives on the pizzas.
sulla pizza,False,pizza,on the pizza,"food,dining",feminine,singular,articulated_preposition,la,sulla,su,,Metto olio sulla pizza.,I put oil on the pizza.
sulle pizze,False,pizza,on the pizzas,"food,dining",feminine,plural,articulated_preposition,le,sulle,su,,Offerte sulle pizze.,Deals on pizzas.
con la pizza,False,pizza,with the pizza,"food,dining",feminine,singular,articulated_preposition,la,con la,con,,Bevo birra con la pizza.,I drink beer with the pizza.
con le pizze,False,pizza,with the pizzas,"food,dining",feminine,plural,articulated_preposition,le,con le,con,,Arrivo con le pizze.,I arrive with the pizzas.
