english,italian,english_base_term,is_base
one hundred one,cento uno,one hundred one,true
one hundred two,cento due,one hundred two,true
one hundred fifteen,cento quindici,one hundred fifteen,true
two hundred,duecento,two hundred,true
two hundred twenty,duecentoventi,two hundred twenty,true
three hundred,trecento,three hundred,true
four hundred,quattrocento,four hundred,true
five hundred,cinquecento,five hundred,true
six hundred,seicento,six hundred,true
seven hundred,settecento,seven hundred,true
eight hundred,ottocento,eight hundred,true
nine hundred,novecento,nine hundred,true
one thousand,mille,one thousand,true
one thousand one hundred,millecento,one thousand one hundred,true
one thousand two hundred,milleduecento,one thousand two hundred,true
one thousand five hundred,millecinquecento,one thousand five hundred,true
one thousand seven hundred,millesettecento,one thousand seven hundred,true
ten thousand,diecimila,ten thousand,true
twenty thousand,ventimila,twenty thousand,true
one hundred thousand,centomila,one hundred thousand,true
one million,un milione,one million,true
