text_it	text_en	hash	text_it_length	text_en_length
Chieda loro di unirsi a noi.	Ask them to join us.	25527d74-9411-5f3f-9eb3-a024ea688d16	28	20
Chiedete loro di unirsi a noi.	Ask them to join us.	a92b14c4-7a48-5d7f-9653-7ffc4032b892	30	20
Mi mancheranno davvero.	I'm really going to miss them.	d32b4453-9ff3-59a6-b533-68109e7fbef6	23	30
Mi mancheranno veramente.	I'm really going to miss them.	b936eb31-d237-5753-ac6c-80087dca9f43	25	30
Forse non ho bisogno di loro.	Maybe I don't need them.	410625fa-ae66-5807-a7ce-54689bee30ca	29	24
Forse non ho bisogno di essi.	Maybe I don't need them.	bc1fbcf9-7323-5817-aecf-d30c5f89ca85	29	24
Forse non ho bisogno di esse.	Maybe I don't need them.	367a054f-b127-5180-8a1d-8c237b64c838	29	24
Forse non mi servono.	Maybe I don't need them.	67354f8f-9952-5317-a672-d6de9df1f97c	21	24
Tom ha preso quello che non era suo.	Tom took what wasn't his.	e40ee1ff-cf62-5128-9b3b-bbf1811adff3	36	25
Tom ha preso ciò che non era suo.	Tom took what wasn't his.	58a00ab5-7a1c-5d45-8f0b-f9ed83a4c438	33	25
Tom prese quello che non era suo.	Tom took what wasn't his.	3aba5b97-4001-5844-9763-9d7b4ccbabe8	33	25
Tom prese ciò che non era suo.	Tom took what wasn't his.	f50c86f3-fa7a-57ca-b736-523af0e050dc	30	25
Gli ho detto dove eravamo andati.	I told him where we'd gone.	70f90e27-db68-5e59-ab31-44ed7cb86d8f	33	27
Gli ho detto dove eravamo andate.	I told him where we'd gone.	6a8fc004-b5d4-5bcf-878f-ac31251373e3	33	27
Gli dissi dove eravamo andati.	I told him where we'd gone.	0d56661b-5204-59cb-b828-8b92b15b6267	30	27
Gli dissi dove eravamo andate.	I told him where we'd gone.	75625c6a-25ee-5cbf-a794-3b9cc79b4703	30	27
Le ho detto dove eravamo andati.	I told her where we'd gone.	29664def-6995-53df-a8e6-44d1de3552c2	32	27
Le ho detto dove eravamo andate.	I told her where we'd gone.	90a449f4-7707-5128-9cad-54e78d69d0d6	32	27
Le dissi dove eravamo andati.	I told her where we'd gone.	4835b105-ea6a-5210-ad7d-40f50b3071f3	29	27
Le dissi dove eravamo andate.	I told her where we'd gone.	29c92cba-5a64-5a38-906b-061cc5a034ad	29	27
Nessuno vorrebbe fargli del male.	No one would want to hurt him.	05df0db1-30f1-505c-85a6-7e1fec18a09e	33	30
