english,italian
excuse me sir when does the next train to torino leave,mi scusi signore quando parte il prossimo treno per torino
the train leaves in ten minutes,il treno parte fra dieci minuti
it leaves at ten o'clock in the morning,parte alle dieci del'mattino
how much does a ticket cost,quanto costa un biglietto
first or second class?,prima o seconda classe?
second class please,seconda classe per piacere
it's forty two euros,sono quarantadue euro
he wants a ticket for the train that leaves for Naples at 10 o'clock in the morning,lui vuole un biglietto per il treno che parte per Napoli alle dieci del mattino
excuse me sir where is the bus to the beach?,mi scusi signore dov'è l'autobus per la spiaggia?
it's over there on the left,è laggiù a sinistra
which one? There are many of them,quale? Ce ne sono molti
it's the number five,è il numero cinque
thank you very much,grazie mille
does this bus go to the beach?,questo autobus va alla spiaggia?
"no, the number five goes to the beach","no, il numero cinque va alla spiaggia"
at what time does the last bus for the beach leave,a che ora parte l'ultimo autobus per la spiaggia
the last bus leaves at seventeen twenty,l'ultimo autobus parte alle diciassette e venti
