term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
sì,True,sì,yes,noun,yes,"core,conversation",,,masculine,singular,,,False,False,False,,,,,base lemma; invariable noun,Dico solo sì.,I say only yes.,82ec4d60446cabbad57bc007c7eabf7c70e78bdd7e8a9cb6c61ec7a535f68e91,037909f6a158a089b311b938dfd4f76f3f5923905b42fe7a30c606da074f3ed0
un sì,False,sì,yes,noun,a yes,"core,conversation",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ho ricevuto un sì.,I received a yes.,70acd65c0df545740059a0bd0183b3765137907bfa186c15f00b6484c8013fdd,91cdb0cab212e2685c56f9760dbc09cae38d365810076afb15d8d6f3a7080c25
il sì,False,sì,yes,noun,the yes,"core,conversation",,,masculine,singular,,,False,False,False,definite,il,il,,,Il sì è arrivato.,The yes arrived.,4fe43413aaadffed94655fd1c5e4222f8d0b9a9081019e4db6867a8691cd3cd8,69d542bf3acf63d4e06c0a1206394256537eaef02651f900a626cb46eaab7c52
sì,False,sì,yes,noun,yes votes,"core,conversation",,,masculine,plural,,,False,False,False,,,,,invariable plural form,Sì ripetuti annoiano.,Repeated yeses are boring.,82ec4d60446cabbad57bc007c7eabf7c70e78bdd7e8a9cb6c61ec7a535f68e91,e0bed0a9f1acd54d7896733b0cdb8a19562d04336d0429fdd1b658ff76ec5953
i sì,False,sì,yes,noun,the yes votes,"core,conversation",,,masculine,plural,,,False,False,False,definite,i,i,,invariable plural form,I sì hanno vinto.,The yes votes won.,61f9f7df450973bcb5fe8cb41c0014d3ba9ad4ed53fbb46efb72d7e73397e70f,b76a71e21a913ceb93a680fa6363ed7ae8f92f7f0eadf60803ecda344fa69b53
dei sì,False,sì,yes,noun,some yes votes,"core,conversation",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho sentito dei sì timidi.,I heard some timid yes votes.,87324d99ea0115029f3b2e712d1617dd0297faa3ed1c43a7fd966117ee4c6eb6,e76c0e67d9da9784f4136e93105f6e8e589a78b2b9b5ef7c11ad8e55de44c54c
del sì,False,sì,yes,noun,of the yes,"core,conversation",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il peso del sì è enorme.,The weight of the yes is enormous.,6dfc4356550bb87997fefd8932ba63e7e405d721383a615293634aba3d08138e,6807cf1351e69fc14bd65b93bc30049b38fd418279d6c7d5746cb097a1ed4732
al sì,False,sì,yes,noun,to the yes,"core,conversation",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Ha brindato al sì.,He toasted to the yes.,496c14ce9a3c415432f7210fa7fdf305e471635ada53607e7dcda305255dfb96,b90c14370ed3cabfda43e4ca000be6e15ea0eac2e1d8ff95c00a062e5696120d
ai sì,False,sì,yes,noun,to the yes votes,"core,conversation",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Diamo spazio ai sì.,We give space to the yes votes.,b4dff810ab7bb5fd79ff5fe536cd97c55b1bd6bcebe40845e4425cf2b5b3770b,5fd5387de98c5adac086de8a6753d44774335e6025d2a92f0ed5386e50ad5323
dal sì,False,sì,yes,noun,from the yes,"core,conversation",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Tutto parte dal sì.,Everything starts from the yes.,33293bf1acfc0ef4c48f75bb3348ab93e41806b28e3b5ce38f67c2f0d82d9a9b,47d1d30c449137db06b4db77dc280d23180c3ef5afe795ecf9f6814542b63582
