term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
biglietteria,True,biglietteria,ticket office,noun,ticket office,"travel,services",,,feminine,singular,,,False,False,False,,,,,base lemma,Cerco biglietteria aperta.,I am looking for an open ticket office.
una biglietteria,False,biglietteria,ticket office,noun,a ticket office,"travel,services",,,feminine,singular,,,False,False,False,indefinite,una,una,,,C'è una biglietteria qui?,Is there a ticket office here?
la biglietteria,False,biglietteria,ticket office,noun,the ticket office,"travel,services",,,feminine,singular,,,False,False,False,definite,la,la,,,La biglietteria apre alle otto.,The ticket office opens at eight.
biglietterie,False,biglietteria,ticket office,noun,ticket offices,"travel,services",,,feminine,plural,,,False,False,False,,,,,,Biglietterie nuove aprono in stazione.,New ticket offices open at the station.
le biglietterie,False,biglietteria,ticket office,noun,the ticket offices,"travel,services",,,feminine,plural,,,False,False,False,definite,le,le,,,Le biglietterie sono chiuse.,The ticket offices are closed.
delle biglietterie,False,biglietteria,ticket office,noun,some ticket offices,"travel,services",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Visito delle biglietterie storiche.,I visit some historic ticket offices.
della biglietteria,False,biglietteria,ticket office,noun,of the ticket office,"travel,services",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,L'orario della biglietteria è online.,The ticket office's hours are online.
alla biglietteria,False,biglietteria,ticket office,noun,to the ticket office,"travel,services",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Vado alla biglietteria.,I am going to the ticket office.
dalla biglietteria,False,biglietteria,ticket office,noun,from the ticket office,"travel,services",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Torno dalla biglietteria.,I am coming back from the ticket office.
nella biglietteria,False,biglietteria,ticket office,noun,in the ticket office,"travel,services",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Lavoro nella biglietteria.,I work in the ticket office.
sulla biglietteria,False,biglietteria,ticket office,noun,about the ticket office,"travel,services",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Leggo un avviso sulla biglietteria.,I read a notice about the ticket office.
con la biglietteria,False,biglietteria,ticket office,noun,with the ticket office,"travel,services",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction with con + la,Collaboro con la biglietteria.,I collaborate with the ticket office.
alle biglietterie,False,biglietteria,ticket office,noun,to the ticket offices,"travel,services",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Passo alle biglietterie del teatro.,I stop by the theater ticket offices.
dalle biglietterie,False,biglietteria,ticket office,noun,from the ticket offices,"travel,services",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Le notizie arrivano dalle biglietterie.,The news comes from the ticket offices.
nelle biglietterie,False,biglietteria,ticket office,noun,in the ticket offices,"travel,services",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Vendono guide nelle biglietterie.,They sell guides in the ticket offices.
sulle biglietterie,False,biglietteria,ticket office,noun,about the ticket offices,"travel,services",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Ho dati sulle biglietterie locali.,I have data about the local ticket offices.
con le biglietterie,False,biglietteria,ticket office,noun,with the ticket offices,"travel,services",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction with con + le,Lavoriamo con le biglietterie partner.,We work with partner ticket offices.
