term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
ufficio,True,ufficio,office,noun,office,"work,places",,,masculine,singular,,,False,False,False,,,,,base lemma,Lavoro in ufficio.,I work in an office.,9bf391830ea0bfcdf12f94d856a050bbef2d32b196a83e43d88207b6e95309e4,1152.0,18e5ba2775ca022a694222a1337a83554519d37ace08218e4d86af33c920cdc8,1440.0
un ufficio,False,ufficio,office,noun,an office,"work,places",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ho trovato un ufficio vicino.,I found an office nearby.,62e72534f3808ea344a840b9eeaeb257d1afaa576e08a262ce6ca061a59a7697,1272.0,1da63c15082b8e0ee1befbedba8ef3804b3ffd6f3b2e027f2ae2ce30403ed9cd,1584.0
l'ufficio,False,ufficio,office,noun,the office,"work,places",,,masculine,singular,,,False,False,False,definite,il,l',,elision of il before vowel,L'ufficio è chiuso oggi.,The office is closed today.,3d8391e0c2f63d84369249c88da13d1595c141812fd97f72dc962395d9f0a7c1,1296.0,1cf577a591a68f09561887912cc6f25a93caa6cf3bcf7a6ac6c206f33599e381,1512.0
uffici,False,ufficio,office,noun,offices,"work,places",,,masculine,plural,,,False,False,False,,,,,plural form,Uffici nuovi aprono in centro.,New offices are opening downtown.,458d10bc6d801a2bff67d1c16c1172343b79ab19c8ae51e1cc5c2ee6f5326288,1272.0,4b48b123ced28f7bb4b3fcfea7c29d7fd3f3ce675aeabf2853903d3269cbbd76,1416.0
gli uffici,False,ufficio,office,noun,the offices,"work,places",,,masculine,plural,,,False,False,False,definite,gli,gli,,,Gli uffici sono chiusi.,The offices are closed.,240a58446b6314d2e29d675d3271857b284fcd202b25e5be6441dc51fab5e05e,1416.0,7a7e72021afcf3673e3ca522d99480afdbc0656d6ae787d31d24463955ee7422,1728.0
degli uffici,False,ufficio,office,noun,some offices,"work,places",,,masculine,plural,,,False,False,False,indefinite,gli,degli,di,partitive plural form,Ho visitato degli uffici ieri.,I visited some offices yesterday.,7115ecc7b2876e6990762320890e205ab9613cb1ef8d8d2bb27e454753659239,1536.0,e8744bee53db994621b71ad72bb07b047a42de9fbdc34fc5944998335dea5f78,1776.0
dell'ufficio,False,ufficio,office,noun,of the office,"work,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,dell',di,contraction of di + l',L'orario dell'ufficio è cambiato.,The office hours have changed.,2f152c0d4037be9c527d00234b41bfd6d609e40629aa98eb01fdf8a77c691b57,1416.0,c021acf991e09dd5336b1d2944f4ab78b8a20b8f472e9d185d64b69db9c3dba5,1704.0
all'ufficio,False,ufficio,office,noun,to the office,"work,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,all',a,contraction of a + l',Vado all'ufficio ogni mattina.,I go to the office every morning.,89a9c9f34cce60ef9602aedea205d81b1e1c331fd3692cc65a89c326474722a2,1416.0,7d0507d9a7fe31e7cb47ad7105344851bdd8d6d7c7da97ea45c3924530769f8c,1608.0
dall'ufficio,False,ufficio,office,noun,from the office,"work,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,dall',da,contraction of da + l',Torno dall'ufficio tardi.,I come back from the office late.,f8f9fd1550f7b7510c97f614323bb65aba7ac1ab758048cbd97cb59eb3be21f9,1488.0,1a1ef97c0ee2cb04264229c032462f977c5165110aaad255da237301b02e58f2,1680.0
nell'ufficio,False,ufficio,office,noun,in the office,"work,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,nell',in,contraction of in + l',Sono nell'ufficio adesso.,I am in the office now.,a949b31346a8e4d2dd0cef6a438379250d4263828906479ff410f813d2a8ca24,1416.0,600de73280427d732b70f9770d9c38fb23b9e63a796bb30ef116b97667081f08,1728.0
sull'ufficio,False,ufficio,office,noun,about the office,"work,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,sull',su,contraction of su + l',Ho trovato informazioni sull'ufficio.,I found information about the office.,0c88b18229bd644c1a14920b951c163b9fc73111ac34bc739d64eb414083f01d,1584.0,758eb26a1090a6a5a8160000a4b040c92bb4efbde1e112b9be2bd3197b093e72,1776.0
con l'ufficio,False,ufficio,office,noun,with the office,"work,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,con l',con,no contraction commonly used,Parlo con l'ufficio domani.,I speak with the office tomorrow.,a20894e9ff57d27999e9540f0ad512fd6262f073d9e1bda199714ce5e176ae40,1464.0,a6156a54fe463fca7e68ce8e53485689fd8e6ec02af0aa1ca63190fb8bf2f176,1704.0
agli uffici,False,ufficio,office,noun,to the offices,"work,places",,,masculine,plural,,,False,False,False,articulated_preposition,gli,agli,a,contraction of a + gli,Vado agli uffici del centro.,I go to the downtown offices.,ae6078ec8d9c8992b341d34af3e1ca7fb59692940ef8063deb9bf4eddfb87ab9,1536.0,586b57edd3f06d44f4f54e7ebc6b5b833bc56890b48e84a8416cb5c6ec0fb2d6,1728.0
dagli uffici,False,ufficio,office,noun,from the offices,"work,places",,,masculine,plural,,,False,False,False,articulated_preposition,gli,dagli,da,contraction of da + gli,Vengo dagli uffici vicini.,I come from the nearby offices.,b47feff7817328adb1190df7aa2db645d484f625a8bf672a83711f86a6a7019e,1608.0,ec445673f04ad92e3cbb900aa5edaaac775bb38c2b43991986eacc06c1a30409,1824.0
negli uffici,False,ufficio,office,noun,in the offices,"work,places",,,masculine,plural,,,False,False,False,articulated_preposition,gli,negli,in,contraction of in + gli,Negli uffici ci sono molte scrivanie.,There are many desks in the offices.,9a8b0964e196572badad8bd8a0f3687e275ac83346ebb69cd9bd9d0036b37427,1536.0,c3f4dfb562d784538cc92afdda39e2d2fd87148c92cdbcdf92be1bfe22a69fe0,1800.0
sugli uffici,False,ufficio,office,noun,about the offices,"work,places",,,masculine,plural,,,False,False,False,articulated_preposition,gli,sugli,su,contraction of su + gli,Ho informazioni sugli uffici.,I have information about the offices.,e3c4ee933f74a6e5b83f6b8f531d76bc096fce66e09a9e0a07a0b1dc0c4eef28,1704.0,4dfd43d3d6267173d51093a10e75ce120c599f80d98e789dd31eb3417d08fc0a,1872.0
con gli uffici,False,ufficio,office,noun,with the offices,"work,places",,,masculine,plural,,,False,False,False,articulated_preposition,gli,con gli,con,no contraction commonly used,Collaboriamo con gli uffici locali.,We collaborate with the local offices.,8022e49fb03cf014f3007493a8761f472bc294f2dac1dadeaa31461ab6ef4c35,1584.0,81bdb6d7d0646ba037824d526abf4a2535bab9c3b6527ba3e676b1ab2e1a2547,1824.0
