term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
facciata,True,facciata,facade,noun,facade,"architecture,buildings",,,feminine,singular,,,False,False,False,,,,,base lemma,Fotografo facciata antica.,I photograph an ancient facade.,9f52d57366a5525506f230d2d278fe11d8014da41daec662266ca50edb5113e4,ff3bad5988c4973ca7c9a9345bff42644b390031fc4fb3c3065c291e2ad78d1e
una facciata,False,facciata,facade,noun,a facade,"architecture,buildings",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Disegno una facciata semplice.,I draw a simple facade.,2f62e27c1bd3eeb98dc02648fc91ed4fb40fec486517f6a66443a7151fafa19c,d4bc03cd15e2747f70411fc5a9328b6ad554ae17bf245aed826f86939345d9c9
la facciata,False,facciata,facade,noun,the facade,"architecture,buildings",,,feminine,singular,,,False,False,False,definite,la,la,,,La facciata è restaurata.,The facade is restored.,7cfa69d532bd090a3f7c754f7457100f66663e40687d74fa14662208f70271a2,9d3ea2c4786cb608c19fc7cef64cf0f7c65885f2a4e27fd7f357b4c2cd7a86ba
facciate,False,facciata,facade,noun,facades,"architecture,buildings",,,feminine,plural,,,False,False,False,,,,,plural form,Facciate diverse decorano la piazza.,Different facades decorate the square.,2de3071692067ad72997ef84b1407e4b26efca48617ccb5a6e288b3a3b1bb3bc,b083cbd228c3f289817f51272d115668d8f54b30dc775480d5fe5bc177c0f561
le facciate,False,facciata,facade,noun,the facades,"architecture,buildings",,,feminine,plural,,,False,False,False,definite,le,le,,,Le facciate sono colorate.,The facades are colorful.,b9176a95c756f5d1188212fa3a265a9ce5c539d4dc24dc243fa0f66773c56f9a,e431cab2e1ccbbcc7cb0e333fb4dbed235582e3cd320af090c81211eb148a72a
delle facciate,False,facciata,facade,noun,some facades,"architecture,buildings",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho fotografato delle facciate.,I photographed some facades.,38f5549a5396ea2371a8f6866cf7cc31fafa0c9e0aed52c56e6882d7177c35ce,c51d038eeb58040e935e826b79ef31004bba95746f7f5c12d909c84883e17705
della facciata,False,facciata,facade,noun,of the facade,"architecture,buildings",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il colore della facciata è nuovo.,The color of the facade is new.,a30543470c0849971232d2beeebfa42a7f6fd30a75c1263700e97a1e734f9cd8,a0409385dd47201540616f8df8082070cd881c4e8e3809200f19f38e4b4a855b
alla facciata,False,facciata,facade,noun,to the facade,"architecture,buildings",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Si avvicina alla facciata.,He approaches the facade.,e4d8f32f7e41746ea57919bb85325aad8031c750dc0fd68c83717a2d22728161,b4925bd12e32baa2f52cfefaa9811d58c500a06058cefc125720921ec560ebea
dalla facciata,False,facciata,facade,noun,from the facade,"architecture,buildings",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,L'intonaco cade dalla facciata.,The plaster falls from the facade.,7d52b03d13e75e83db9a3e8bda4a73bf61fd21d965ce2e83fd386b58b9341f5e,f193661beae7316932e37284b296cfe02701efe5263da7ac33a94ede0347fc89
nella facciata,False,facciata,facade,noun,in the facade,"architecture,buildings",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,C'è una crepa nella facciata.,There is a crack in the facade.,fdf2fe2ee15ff40835595fa1c8118d0aec1542c39f0afabf8a6b8a23f7b8fa1d,1af74336718b6b49c6abe6414b9e852c0219a07785358238a4712e68da75bf47
