term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
bagno,True,bagno,bathroom,noun,bathroom,"home,bathroom",,,masculine,singular,,,False,False,False,,,,,also 'bath' or 'restroom',Cerco bagno libero.,I am looking for a free bathroom.,46d95daa4db9eaece16661ab4bd97c2510f730cb4139d1b6b6d4cebd49f387d2,ccc418c006f800ff8ee3fe838cea06705341e2dc50c0cdb984552f5515e49f56,1224.0,1344.0
un bagno,False,bagno,bathroom,noun,a bathroom,"home,bathroom",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Cerco un bagno.,I am looking for a bathroom.,529c57db6a3616358c4e02b9be31f646e774d5df3fce513ac1472b634e707aa1,b4cc042f9b74a995826ad693fa67afebdd6d79f5040b030549cd09c94f5d2b3f,1368.0,1464.0
il bagno,False,bagno,bathroom,noun,the bathroom,"home,bathroom",,,masculine,singular,,,False,False,False,definite,il,il,,,Il bagno è occupato.,The bathroom is occupied.,2f65b946ce0b186f8189cea9bf1c34bdf5ac07b73da8a1fe5d6a8e065824cb24,e934248fdee3ca77190ee724a1b69356cb30b24d2149d4327ab649c9cf24c1dd,1368.0,1488.0
bagni,False,bagno,bathroom,noun,bathrooms,"home,bathroom",,,masculine,plural,,,False,False,False,,,,,plural form,Bagni pubblici chiudono presto.,Public bathrooms close early.,6d9d76068b7e3cbc8950aeb11451318efe10e5eb9561aa85293326bf80dca5c8,599fa6fc2c730d7b4efb9fbd2cca49c6d3ece955d269594fed7a89ecb8574f62,1344.0,1320.0
i bagni,False,bagno,bathroom,noun,the bathrooms,"home,bathroom",,,masculine,plural,,,False,False,False,definite,i,i,,,I bagni sono puliti.,The bathrooms are clean.,e8ecd7c0c1dd158d9028810ee0be788fcf2eb2e57719807a76156bd3c3bdd79d,dc5977792cacb6c024593d7408967315c119504b1b7c4aa68d20d5543b800abc,1464.0,1392.0
dei bagni,False,bagno,bathroom,noun,some bathrooms,"home,bathroom",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho visto dei bagni nuovi.,I saw some new bathrooms.,81f58663d1c1aeb1066ecd4cbe2dde39d50fcc85d98fb3677b23578b45c4a8f1,a35f36ae6a6b878fa3b14d846ce0ab1d5d4d224f01fae1051cb801be6b86b632,1608.0,1512.0
del bagno,False,bagno,bathroom,noun,of the bathroom,"home,bathroom",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,La porta del bagno è chiusa.,The door of the bathroom is closed.,623210833ef66464ce3a2caa48c1536ffa6e861588ca5e49bc1626096f96b128,39092089afcc1a2342193e987268fbf69629b2752c787146386562337c812d96,1488.0,1560.0
al bagno,False,bagno,bathroom,noun,to the bathroom,"home,bathroom",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Vado al bagno.,I am going to the bathroom.,5bf0e555cb0f9745050c0bd5d1ddca4198ea7c73070021c98e1f0b43a0fb98df,a1054ce5fb2a88fc660c711808c25cc2bd14ae6887d010d219d5c3ad3d56e6c3,1488.0,1464.0
ai bagni,False,bagno,bathroom,noun,to the bathrooms,"home,bathroom",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Andiamo ai bagni pubblici.,We are going to the public bathrooms.,5f263eb96f71f53848621dc06804a8996d67cea971be355d340f4b150ae171a2,c41f2fb673f861f2a912f4c3973bbb28e94269fe99aa9a58863e9e761200e6d8,1584.0,1464.0
dal bagno,False,bagno,bathroom,noun,from the bathroom,"home,bathroom",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Esco dal bagno.,I am leaving the bathroom.,94cf81acc1acf4032a3cd53a8c125bc3e86533df2bb0e404c2a1f52ce03349dd,454e5194df9b157e2bc7fe1863e48a8dee206d05393142b5e2bb69672f51cf29,1560.0,1560.0
