term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
vestito,True,vestito,dress,noun,dress,"clothing,shopping",,,masculine,singular,,,False,False,False,,,,,base lemma,Cerco vestito elegante.,I am looking for an elegant dress.,8c72dc8accb954fd941ae5614946b20434567bfc04567789dda83ea9993c6bab,2420bc23f53881f940814aa0610e5f04517d73ec009bd44d2e87d9c3fea40785
un vestito,False,vestito,dress,noun,a dress,"clothing,shopping",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Voglio un vestito comodo.,I want a comfortable dress.,dbbe5b7d0e8b650aeabd28507214bb761520765740c75fc54e6c90cd5f2161a0,4bcf588124a5fd0cc96becdf4fe4fb2f323994f1971fdabb14458c06ebe86a1e
il vestito,False,vestito,dress,noun,the dress,"clothing,shopping",,,masculine,singular,,,False,False,False,definite,il,il,,,Il vestito è caro.,The dress is expensive.,2c49cea63d8b0a2917689a1fb2dc4b9fbebd02dcafd790ca4d41d7ac635ad0db,e081cfc57b2fcc466c60d6cf24147cce3653d02b1a8ce64db548afb04e2d3d14
vestiti,False,vestito,dress,noun,clothes,"clothing,shopping",,,masculine,plural,,,False,False,False,,,,,plural form,Vestiti nuovi costano molto.,New clothes cost a lot.,3686024e86ccd9ab19cc14133552f96660eb5a20ea433dd7553cd39ffc567c7a,8be0897389c99e8e6cdcde05e043b6a44246dd4f78d3de47727f09bf9f12f20b
i vestiti,False,vestito,dress,noun,the clothes,"clothing,shopping",,,masculine,plural,,,False,False,False,definite,i,i,,,I vestiti sono puliti.,The clothes are clean.,82d5ad0fd3ba7e9f7f5b50368d98773ab6e70f08944adccac251c47b553578dc,ad7df4b30fa6d4830126dac3b5281ab92b6cfabd47a8ca443819180c810cb7f3
dei vestiti,False,vestito,dress,noun,some clothes,"clothing,shopping",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho comprato dei vestiti.,I bought some clothes.,78b97a06df55e5c1d2f4c75072aebb4c549e3a9699b751131219036acbf5cb97,690026bd302ee74ef6ba047c5a10a5fcdaa5b0355cd45491634ac6efe5459f36
del vestito,False,vestito,dress,noun,of the dress,"clothing,shopping",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il colore del vestito è blu.,The color of the dress is blue.,878d99eee2e67883e9c608f9bd03d75987a5ed27fde9a2fbdc7ad37427d79cca,b7c0a4b3f721be20daaa93ba86e774312ae49fcd3332cac9695598d2d63e2554
al vestito,False,vestito,dress,noun,to the dress,"clothing,shopping",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Abbino la cintura al vestito.,I match the belt to the dress.,46de3fba8ea449eeb7e7c4a720e57953a598c57214736e45d219320e57b9d08d,8964e0ec808af566391cee8ab835f9c059ad91d8cca05df3353685fe6dd686d5
ai vestiti,False,vestito,dress,noun,to the clothes,"clothing,shopping",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Do un'occhiata ai vestiti.,I take a look at the clothes.,7893721dccb43fbfbe96486b259b3152acea10729469059e9cbf4b96b62aaf99,9f3e544c61204739f58e89fb10b89841db31a5d7cb9e4db57d4ec1727a0b1e29
dal vestito,False,vestito,dress,noun,from the dress,"clothing,shopping",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Tolgo l'etichetta dal vestito.,I remove the tag from the dress.,fa246b90334ce502ae5623392420c5804a4ea51e148570dc1a6ab2be973be416,d85c97dc553030705f70c05ab70eb6d5b8dfe186e98aaeddc9af4dae5e3a645d
dai vestiti,False,vestito,dress,noun,from the clothes,"clothing,shopping",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Tolgo le macchie dai vestiti.,I remove the stains from the clothes.,4435648cbc9061a1c8e9da0ed6f6008f3d5edc5a8d14096e2eaa9bfe96a903d2,82082fdd7e4570b48b68379905fc3498a603e82dbd94467b233397907d72740c
nel vestito,False,vestito,dress,noun,in the dress,"clothing,shopping",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,C'è un buco nel vestito.,There is a hole in the dress.,0622295008fadeac3eae8ab81f0ba8b9b057bc170ebe9476a0d3183e1080a06f,e889985c35eae90b4f058db05fd20d1017fc427406efc94505d87ad9d53d6d6c
nei vestiti,False,vestito,dress,noun,in the clothes,"clothing,shopping",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Ho trovato soldi nei vestiti.,I found money in the clothes.,ce16b00ac995e19dc34120798b9a0e8208467fe76a4238096d81931095c90e07,3e4417d61e9a324315c9d3345c7a05b321e336772ac7e57170d13d7d1cf151d0
sul vestito,False,vestito,dress,noun,on the dress,"clothing,shopping",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,C'è una macchia sul vestito.,There is a stain on the dress.,d55f25398e7b59e7757e18b84b2bcbb13fe390fa88511728a57141a580e99146,f35b43dc8edaabc7cfcea81f71275ff022bb51855e941c6194a631aa72eb6858
sui vestiti,False,vestito,dress,noun,on the clothes,"clothing,shopping",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,I peli sui vestiti sono fastidiosi.,Hairs on clothes are annoying.,cbe2dae5974dcef44c285fb954566cae8248d6947178ea464c1342ce3834be61,cf236d29be337687b262c3efc1a7b5df4edeaabf3d2640221dd46bed2ab4c90c
col vestito,False,vestito,dress,noun,with the dress,"clothing,shopping",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Vado col vestito nero.,I am going with the black dress.,043a834b6f0ca4006536645b2095ab030d4c580fc1bc33e2690e1853329ba002,9c96639147133a370bac7e86c416b50c5b61f6472f030d4d681302d4a196071b
coi vestiti,False,vestito,dress,noun,with the clothes,"clothing,shopping",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Esci coi vestiti bagnati?,Are you going out with wet clothes?,baa92cc817440dfa37ac3a4a53c4d17d9d11c731d2a70922ddacd53edfbf58d3,ba6b3b6faedfe805f05cea407c12ddb7ca7947adfbbe8cb4331ce36770ddc236
