term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
malato,True,malato,sick,noun,sick person (masculine),"health,core",,,masculine,singular,,,False,False,False,,,,,masculine noun; also used as adjective,Il malato si riposa.,The sick person is resting.,c560b9453f6f96315ae72ec7a0f12d3f6391a75c915c1f8bc9996267ace3668c,2424.0,ceb6b3a3230d87fabc31eda5766d2a30ca0f76905216785e89abd71469ffbb64,1416.0
un malato,False,malato,sick,noun,a sick person (masculine),"health,core",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Conosco un malato.,I know a sick person.,e664c437af05d7790d82ec1bc990cdf93aa08cb22a79d3026069df8a72efd8fb,2544.0,bbfcf3c1d3259e3d61db13bfe1878d69d695d41ea08b3c718cd817171041a372,1536.0
il malato,False,malato,sick,noun,the sick person (masculine),"health,core",,,masculine,singular,,,False,False,False,definite,il,il,,,Il malato aspetta il dottore.,The sick person is waiting for the doctor.,e7b6bd1862d6e0ea13efa9e5409266bdf6d7869b9db95d1b19747a788fc8babe,2544.0,b39650ecba9dd47a43d23f1ad99ea6f4e9842ac7aeb944e089c0270da1d85708,1560.0
malati,False,malato,sick,noun,sick people (masculine),"health,core",,,masculine,plural,,,False,False,False,,,,,,I malati sono nel corridoio.,The sick people are in the corridor.,2326de0dd525e435a19bb9a40f326f2996152a4ebba815c9ac01c158fbd1598a,2328.0,652b787be26cbef2aa797840454610571e73367efbffaf59d33b5c3bee47e3a7,1416.0
i malati,False,malato,sick,noun,the sick people (masculine),"health,core",,,masculine,plural,,,False,False,False,definite,i,i,,,I malati hanno bisogno di cure.,The sick people need care.,74f4e0fbc0262647a9966ac76764c3e7c573f85ef1c9ecd1ef80e5d86399c95f,2472.0,ab25adb5c27181983d11299ea9cb87d02bbc5d3c11ec05b3da428d467fa2c38c,1464.0
dei malati,False,malato,sick,noun,some sick people (masculine),"health,core",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ci sono dei malati in ospedale.,There are some sick people in the hospital.,9d766a91cc64c4da4524f5c6e03db2131ab5db016c42f1f78350f904859f6a19,2664.0,c22882f196e07787ac3db382e60a9e5338b897afe3c2532652ee408f8fd77928,1608.0
del malato,False,malato,sick,noun,of the sick person (masculine),"health,core",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,L'orario del malato è registrato.,The sick person's schedule is recorded.,8335b968ec8a33640ae38c8fc25c0cc2952a63f58b53e33a1528be151214e1e2,2664.0,4eaa41cc61f1ec273a351bd84357f30f0d4c426a830e8ca40cc4dc9d4b76399f,1632.0
al malato,False,malato,sick,noun,to the sick person (masculine),"health,core",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Parlo al malato.,I speak to the sick person.,7db85344c2ead8217af43853876ebe6e9c0a105ce40da2ac96c904d751bf8479,2664.0,cd48b41f6dd2975ad87ea8d98a143612426540e67e2fb926566c7a41370a9bf0,1536.0
ai malati,False,malato,sick,noun,to the sick people (masculine),"health,core",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Porto i farmaci ai malati.,I bring the medicines to the sick people.,cdba2a54c803b7e0b3b6e565aff8000ab405f05a95d82cd10415e9e8ec3e7d17,2592.0,909fb32b0c63a1ab8d39db3dc305d1ed87fc6517438f6c5769a11add95777abe,1536.0
dal malato,False,malato,sick,noun,from the sick person (masculine),"health,core",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Ho ricevuto una chiamata dal malato.,I received a call from the sick person.,58d7c5d363f017cd8308fbc02cb7c029342159a71a29382fd6f5d5a0b093af67,2760.0,18f28b52db65cad462618ea74cff01e87a393365094902c1e829f2f3b8061cc3,1632.0
