term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
pane,True,pane,bread,noun,bread,"food,cooking",,,masculine,singular,,,False,False,False,,,,,base lemma; mass noun,Mangio pane fresco.,I eat fresh bread.,4ab2c6fb2fa2e22bea578c29d4fc215da862f08ca1dd4aee299f8b209164f401,22115f73a4566a26ef34a89d42936f9ca01cebdee24b8890aacbf5962a8da162,1008.0,1176.0
un pane,False,pane,bread,noun,a loaf of bread,"food,cooking",,,masculine,singular,,,False,False,False,indefinite,un,un,,indicates one loaf,Prendo un pane integrale.,I get a whole-wheat loaf.,b3b7bbacdc676eaf724cfb0143dbd23ee0f3b4f72e26d22413e22786d6521741,f42758f2850a61dde2125dd352260eb73d3894d7ea0e86637099c51526b74b5c,1584.0,1368.0
il pane,False,pane,bread,noun,the bread,"food,cooking",,,masculine,singular,,,False,False,False,definite,il,il,,,Il pane è caldo.,The bread is warm.,a2fe418d7529679ccff603bfcc61990758b62b9a4d2eb7c7147cfc32c5ee9fc0,a9520f137e538a4204585df58e0bd96753ddc8416c6dc348a6e516c498e1738d,1176.0,1392.0
pani,False,pane,bread,noun,breads,"food,cooking",,,masculine,plural,,,False,False,False,,,,,plural form,Pani diversi hanno sapori unici.,Different breads have unique flavors.,20f723ad655ddf2e52567ac56b3c1ac17b697f3117c95b379eabfd299a95e35f,d95302941b89a97ef07df560d10ca1988bb60aea380719fe90b0cbeb139c5ad6,1152.0,1200.0
i pani,False,pane,bread,noun,the breads,"food,cooking",,,masculine,plural,,,False,False,False,definite,i,i,,,I pani sono pronti.,The breads are ready.,35f88e65ee0853a79e58e5dd66732aba3e9e8c07813b347d74acf2a56e7988ff,13fd5eb1a878bec2176f17c97d56db0b7fa27d1ec1b67402da8acdeb41953503,1296.0,1320.0
dei pani,False,pane,bread,noun,some breads,"food,cooking",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho assaggiato dei pani artigianali.,I tasted some artisanal breads.,ba1a240c5e8a24911303a1ca8915ecffa4865547ec6b5f74e7efa5f158e1536d,6ff9bf4b308fac14a4f5985ecd20d641354d6e0dfe728a2f2783b5381fbee063,1392.0,1512.0
del pane,False,pane,bread,noun,of the bread,"food,cooking",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,L'odore del pane è delizioso.,The smell of the bread is delightful.,d6fce21e9fc88558e4cf4ab9abe3539768758cf8f60cecbafac7acdc00cbf866,d6db9cdc789636d823ad205e60310d2e275ba43288e24784ef646e11093731c4,1272.0,1464.0
al pane,False,pane,bread,noun,to the bread,"food,cooking",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Aggiungo burro al pane.,I add butter to the bread.,635c88241a4b92144f42dc0c16fd1d5a5e662bd0f742fa3fbb4183cba6eb7645,9dc87192f3ffe5dca1e059419be924d157977046d538cbc51090cd37a9b6cb13,1272.0,1368.0
ai pani,False,pane,bread,noun,to the breads,"food,cooking",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Do forma ai pani.,I shape the loaves.,b44fc6a8fb6e7868aae2604296d6eea80d2eaf8bf0aa62e72dd2dab83688f640,713c15a5b43815572127680c978fe39693c093d0ff72fd1c78618dfeea726f33,1392.0,1416.0
dal pane,False,pane,bread,noun,from the bread,"food,cooking",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Tolgo la crosta dal pane.,I remove the crust from the bread.,f49d230ca41ad48abe711ed977054be36a4ef9b8fcd9d04c462c30805d980162,773dac89bef3d0e72ed580f7667944324e19d2a8e6c7b1361e3faa38afa34cae,1344.0,1464.0
