term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
sera,True,sera,evening,noun,evening,"time,dayparts",,,feminine,singular,,,False,False,False,,,,,base lemma,Aspetto sera.,I wait for evening.,17656f9694c725797a64d292804520b47846c981d7758154c7b496c9aaa79829,0f1771f0bd252d6c7dd3cb0306bb3dc04d4196dcd36627b15fee5fdfa97875c3,1056.0,1320.0
una sera,False,sera,evening,noun,an evening,"time,dayparts",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Usciamo una sera.,We go out one evening.,453f26d80609f42ff123ee7b85fc8343418a84b64ae9022089f0b4ceefe9912c,7eb1171a8b7bdf89d1eecf9701420aa60b6ee087f85e2009bd77f606d5cffbb8,1224.0,1440.0
la sera,False,sera,evening,noun,the evening,"time,dayparts",,,feminine,singular,,,False,False,False,definite,la,la,,,La sera leggo.,In the evening I read.,8d54018b3b569f1f14cc53a662568341909de33a3f5e4db0e4f2e516c6c529e8,3fe231df3f3a6c3bc1c2cc41fd8336c5fc8a1d8261774d8b059cb11c2b7992e2,1248.0,1392.0
sere,False,sera,evening,noun,evenings,"time,dayparts",,,feminine,plural,,,False,False,False,,,,,plural form,Sere fredde arrivano presto.,Cold evenings arrive early.,963396c33a8b45d9bf07ee27b3c0b6044859ad95ace971bee04779083a6013af,1f4d29761a76248384ed885aeb0b2ae7c67d570a2e33eb7fb9a623882b10fce5,1176.0,1272.0
le sere,False,sera,evening,noun,the evenings,"time,dayparts",,,feminine,plural,,,False,False,False,definite,le,le,,,Le sere sono fresche qui.,The evenings are cool here.,e169e397ad0b1fb3b981375afa7759fff39419184cd593a558f56c536d594828,9ec47a39d03901a6ee24e8e67b2613db08539b956cd040ad05eab181d85cba0a,1344.0,1392.0
delle sere,False,sera,evening,noun,some evenings,"time,dayparts",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho delle sere libere.,I have some free evenings.,d5ce48b8be99520f553bec164aa7e097542d7f1e70d5173534fa986fa3961cae,289d0d5f7e91e872fb833424123c01a851347d1f85ae4496153f44c330be20a5,1464.0,1560.0
della sera,False,sera,evening,noun,of the evening,"time,dayparts",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il fresco della sera arriva presto.,The cool of the evening arrives early.,3cf1800713d5807640cf0c29e6206acb11855b30802ec57f4cc28625b35e1e30,2d22dca2d031ba615b9f50d6edd49ed9386a4079629cf9aa2a62b614352c6056,1344.0,1560.0
alla sera,False,sera,evening,noun,in the evening,"time,dayparts",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Ci sentiamo alla sera.,We will talk in the evening.,c1568d091f1607d0b754965ca43764ddf08230b0d7b5c019f5054a6b28b4d5a2,a968dcf487e8f9fa46497acc83cbbebfe94f586ae9186ce77b10a54fb7177818,1368.0,1488.0
alle sere,False,sera,evening,noun,in the evenings,"time,dayparts",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Faccio jogging alle sere d'estate.,I jog in the summer evenings.,78c419b0986f4214eeb0c70e0995039fbd790cd364b10710744d9adebc445949,86da8313e913731005b280cc898c53782bac84b5e7d7afe565983e1c579025f9,1464.0,1488.0
dalla sera,False,sera,evening,noun,from the evening,"time,dayparts",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Studia dalla sera alla notte.,He studies from evening to night.,ed3ac35c249d705bbb053ea2487d7d27e4f29a61e6859f5d374bc6edf3982d4f,c6543c7a1e4b7b8074eb64801076fcfcebbee90425117fc01ef68ae00b3e9984,1440.0,1560.0
dalle sere,False,sera,evening,noun,from the evenings,"time,dayparts",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Imparo molto dalle sere di prove.,I learn a lot from the rehearsal evenings.,47d21decbd7b79764ce614c87a607f052dad3a06bc53e6e086c7bffb269f3203,62c485308870d6a208536ad609a436c21a4ff278c291f335c0a696a81e4a7d2d,1536.0,1584.0
nella sera,False,sera,evening,noun,in the evening,"time,dayparts",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Cammino nella sera.,I walk in the evening.,0c64b4dee14f161c353c27a0cd2afd3c4323062793e9eacf1cefb3f808a77ead,a968dcf487e8f9fa46497acc83cbbebfe94f586ae9186ce77b10a54fb7177818,1368.0,1560.0
nelle sere,False,sera,evening,noun,in the evenings,"time,dayparts",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Nelle sere d'inverno cucino zuppe.,In winter evenings I cook soups.,018f316b79bac23999731d2e12082479fb336a655369c73c9ee69ca2e1a495c5,86da8313e913731005b280cc898c53782bac84b5e7d7afe565983e1c579025f9,1464.0,1608.0
sulla sera,False,sera,evening,noun,about the evening,"time,dayparts",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Ho un dubbio sulla sera dell'evento.,I have a question about the evening of the event.,c7edee81499e67ea9cb104b378c4915c183d951709384735699f599433eeb964,ef8ccc738dc7cf8c5eed6824fad0743e87b8ebecbe7a91dc9b52d46a134e9e09,1512.0,1608.0
