term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
tenuta,True,tenuta,estate/outfit,noun,estate,"clothing,property",,,feminine,singular,,,False,False,False,,,,,base lemma,Vendo tenuta in Toscana.,I am selling an estate in Tuscany.,eb915c4d30fbd9f276bbd58b47b458d73d842ef9fafb2e66384e7077c904a1dd,1ae9adfa0a1e9239b77e34a4887873e9dd20d851656ae91086192168b7d09eb2
una tenuta,False,tenuta,estate/outfit,noun,an estate,"clothing,property",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Abbiamo comprato una tenuta.,We bought an estate.,c0ce17e82fee70f6448b7d4b08f27ec54e232b5a946bd5fbce307b5425a20789,0c65d326b7fe806b23959b66b81a069ed5cd2f4072694a9b1af8b9b4dec7a5c0
la tenuta,False,tenuta,estate/outfit,noun,the estate,"clothing,property",,,feminine,singular,,,False,False,False,definite,la,la,,,La tenuta è bellissima.,The estate is beautiful.,f83552f7c37b8a0b229e30f3c4eaea034bb1aeca9efa8536b8039b59ed7741c2,f90888cd70312080b70faddc669cf7fac7b7869821db5efe5f7e2d1e5fb9ac14
tenute,False,tenuta,estate/outfit,noun,estates,"clothing,property",,,feminine,plural,,,False,False,False,,,,,plural form,Cerco tenute in campagna.,I am looking for estates in the countryside.,7a47d1999f37aa92d45db5ce26b9927f7db2037e74902f544bf6dccb003fa723,ef1a74c8c91b25f53e9069e1a2cd193aaa917c00b399ede9064b7689e7e1f3e1
le tenute,False,tenuta,estate/outfit,noun,the estates,"clothing,property",,,feminine,plural,,,False,False,False,definite,le,le,,,Le tenute producono vino.,The estates produce wine.,5d22f43ea5e551b8650e4d39953e1b7e1f0ade83411d9b511cd7e4f06f5445a4,91a9b8e4c36d7a87751778086c776652990fd36b700b9225fe5a04c38e815a36
delle tenute,False,tenuta,estate/outfit,noun,some estates,"clothing,property",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Visitiamo delle tenute locali.,We visit some local estates.,b6daf65678624e1ee4fcafd578e62444b5d3de5c564efaeb953abeddb1d3d977,79414928c98432d7b98574331521c5025cbc8d0a44679ff5d502048e78e3e0ef
della tenuta,False,tenuta,estate/outfit,noun,of the estate,"clothing,property",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il proprietario della tenuta arriva.,The owner of the estate arrives.,9f4ff819348991b1e14fbd8b92ec1b08a64d011482344d0acfaf013bd95b820d,9554591669531ca8e560f200f26b750b632e6b4f4a308699e92dc2a846f6ffb5
alla tenuta,False,tenuta,estate/outfit,noun,to the estate,"clothing,property",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Andiamo alla tenuta domani.,We are going to the estate tomorrow.,f7362620018ffe9b5c0162c44c207ec01ecba3a7bd911e1926ca4841dd0f38c8,7a07002c8ece1dcf851d91ede020ca224f824f7ad82989fd1963cb3dce97bf29
dalla tenuta,False,tenuta,estate/outfit,noun,from the estate,"clothing,property",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Vengo dalla tenuta ora.,I am coming from the estate now.,f73eaf1f5f8ba0c5fcd62827fb9f17c80f48df02c44fc8be836404ba4e6d2591,17f5c1a1ed586b4fbb267cbd5fc7f518e0c34cc5f2b94eadbddf4dc555cee708
nella tenuta,False,tenuta,estate/outfit,noun,in the estate,"clothing,property",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Lavoro nella tenuta.,I work in the estate.,6d49bee049ee7f05c22999dfeedebd8f762c3703ed3ff2b09c7c5e7601c04692,54e623abf884fc4de699d3dfa9fb27ad892ca068b3f4c421e3e4b2ec294aa862
