term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
madre,True,madre,mother,noun,mother,"people,family",,,feminine,singular,,,False,False,False,,,,,base lemma,Mia madre cucina bene.,My mother cooks well.,5815f255a1b2d3217503ba710df926f1cf281f5a58899e0152208e4cd628eead,1032.0,69745cc6054413a9c42a011e2d36fe305d0c403d8bc843f52d7fe5a9fd5a60d8,1248.0
una madre,False,madre,mother,noun,a mother,"people,family",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Ho visto una madre al parco.,I saw a mother at the park.,4cc1c44352c9e4fcdf784866b1fdcb088bb02ad381d353cbbda0f776e80e839a,1128.0,02d8e2f4c7fe8f2c7181ef0e0230313934338b5d6db21e0f926b49f01e212fbb,1464.0
la madre,False,madre,mother,noun,the mother,"people,family",,,feminine,singular,,,False,False,False,definite,la,la,,,La madre chiama il bambino.,The mother calls the child.,61170037f8d44c2972d9349241b4932196db8a2ac2c4cf02561ba738168a8e2d,1152.0,ac707c0df092173df08a788ccae411722fea5e18b3cc59e3f09fffa1e6527dd4,1416.0
madri,False,madre,mother,noun,mothers,"people,family",,,feminine,plural,,,False,False,False,,,,,plural form,Molte madri lavorano oggi.,Many mothers are working today.,d2372f80c476d1b8394c67d7e9cb1f878fd69e841d614917ab5159b1acf95a35,1128.0,0e5ab7c778f59664fc98bb9d0d195af4ed9bcb9523f787438fdd107a10e0092e,1296.0
le madri,False,madre,mother,noun,the mothers,"people,family",,,feminine,plural,,,False,False,False,definite,le,le,,,Le madri parlano tra loro.,The mothers talk among themselves.,a0d147ebe5e3bb90fee610a9ae79ec7925da2ea5fdc978b756289f2ad61091b6,1272.0,e7487cec6c78a70e1a633f823e068a63720efd75b8fa8ae72a8fbb6b592e21db,1416.0
delle madri,False,madre,mother,noun,some mothers,"people,family",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho sentito delle madri parlare.,I heard some mothers talking.,32e198b49f878edadc6ce56b360a24c0a5016fd684463406d2664f53d35119c8,1416.0,7d17ab2ce8793d9e763f76d93b62889bbad235c5b0af99578f51bd1c25d75a40,1584.0
della madre,False,madre,mother,noun,of the mother,"people,family",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Ho letto la lettera della madre.,I read the mother's letter.,a1cb81c6b1fc953d5c2b2c3b2ff0cd54b07e8209736bc8b3b32caf3242e1d780,1296.0,fd5376078d8e34a0c477a46d43b3b613ed6fd5831998ae6f01eefe5be4609fe8,1584.0
alla madre,False,madre,mother,noun,to the mother,"people,family",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Ho dato il libro alla madre.,I gave the book to the mother.,1e3b5ba10ca539dc53e8e939c8bec28ffb2d29bc51a4530d10fe5a7de10fd9e7,1296.0,93f60e30b9b76630cd7101410ece7e17a803f43f6fb1321d3cf2068ee15ffad4,1488.0
alle madri,False,madre,mother,noun,to the mothers,"people,family",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Ho parlato alle madri.,I spoke to the mothers.,0d184a83c6527f3abaad75108c2ddceeb76cb5ff5b2a035705783b0ec1a1f311,1392.0,c8270517d1fdec8cf00170415988a9c45257bc92fb4ec09eb280e5696d44035c,1512.0
dalla madre,False,madre,mother,noun,from the mother,"people,family",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,È tornato dalla madre.,He returned from the mother.,eeff20805cd2f28408f039b00f426c471be1203600721a219508d0d24731291f,1368.0,1a124141f3cb92e04efceb783bf8b187c1829111366e34127ce9f951066836dd,1584.0
dalle madri,False,madre,mother,noun,from the mothers,"people,family",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Le notizie vengono dalle madri.,The news comes from the mothers.,0cdaf29c7bf55ddc496f222a194035c974334dc3d1ab6bdae64091418e75b1b3,1464.0,221d3fdf17812c519bc7889705f479fd7e3f93c38930036315881c69fa70a915,1608.0
nella madre,False,madre,mother,noun,in the mother,"people,family",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,C'era una ferita nella madre.,There was a wound in the mother.,2286657e9b0d56511525b9ec459685e27edc727232230a7283d8a3af7d45a77f,1272.0,b324ed37f77171a45afc4039145f4c88f2b0cdab91942a5f1657185b2d1856af,1584.0
nelle madri,False,madre,mother,noun,in the mothers,"people,family",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Ci sono differenze nelle madri.,There are differences among mothers.,aa709a9a95ea17d2c3bd7d1f0bf289efbd9003611707e49444856c592e5e613b,1392.0,b6623a89b52d610c8f6dc9663576a3e9a72f4f8ccb0ccdfe33a7e1264688d29f,1608.0
sulla madre,False,madre,mother,noun,on the mother,"people,family",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Ho messo il fiore sulla madre.,I put the flower on the mother.,f474ebece1e1c8ee4d4cc33fe2c6b05598eebe5dec70e80bfa14c654055107aa,1296.0,6c940b9bbe18e59e8537212845a40dfb9b49be69e0819d806e778df7952433ef,1632.0
sulle madri,False,madre,mother,noun,on the mothers,"people,family",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Ci sono articoli sulle madri.,There are articles about mothers.,a18c043d75a9845f6655a6f587d8ae3cff1a0a27ae1c6bed353ab1def1a5d4f6,1392.0,3a6016fb14ea18f8ce2d647c71bf7feabd3676cdb8f12fdce7fe01bbbfb268c6,1656.0
con la madre,False,madre,mother,noun,with the mother,"people,family",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,not a contraction,Sono andato con la madre.,I went with the mother.,57a22ae6f7d7165af25cb968a2cab8a52b64cbf27b5e26ad6d368b8d20adb543,1344.0,3dd8840685bedbf88f978b4b2f173db6b1553d1b58860e2d46dfdec3d1e3567c,1584.0
con le madri,False,madre,mother,noun,with the mothers,"people,family",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,not a contraction,Parlo con le madri.,I talk with the mothers.,5727ebc5c3f63039fd9126ccba850cdd765c2add355389edbdc9f551867e2ceb,1440.0,f1c69ae83395c5dcc0d9793fd6af7bd6421a7ce1d1b7fb62bc617544cfc96000,1584.0
