term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
cena,True,cena,dinner,noun,dinner,"food,meals",,,feminine,singular,,,False,False,False,,,,,feminine noun; base lemma,Preparo cena adesso.,I am preparing dinner now.,152f85c97286009fa8b8135b2aebaf6b4993fee8d7802834ad6470ae64df480b,f74fd90ff560d63d1b983b669b6d6a45e299f5d30941488d508930f4b73260cb
una cena,False,cena,dinner,noun,a dinner,"food,meals",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Organizzo una cena con amici.,I am organizing a dinner with friends.,0121242ab690f57a91c7a2f31b946c2e9f7f9ed1367b07f60343578c4d3969cf,018dcc14239b18cc80a4d06f81028be011ae56bd112c9276aaf18e834bbd423b
la cena,False,cena,dinner,noun,the dinner,"food,meals",,,feminine,singular,,,False,False,False,definite,la,la,,,La cena è pronta.,Dinner is ready.,46aa305f62a7bb182e1d5ca34d69766c1d5fa33c7ec65d02c635c27dd35ec4cf,7c80a09f4917cb14b5d658d09adca13e2ffb37f465b303876e4b52b98f82540e
cene,False,cena,dinner,noun,dinners,"food,meals",,,feminine,plural,,,False,False,False,,,,,plural form,Organizzo cene al parco.,I organize dinners in the park.,b853546925da073b9926ef6621acf38547c80a47448fa0ab88974f1d70db01b9,0a2dbd9f84b080cbcf0b0bb475fff63918bb31512159df71b7da6a5fea5e5cb4
le cene,False,cena,dinner,noun,the dinners,"food,meals",,,feminine,plural,,,False,False,False,definite,le,le,,,Le cene sono spesso lunghe.,The dinners are often long.,f78cdae9c58e119547cc12ac605136d58077d3b2e6bc2ab48d61fba36475001e,8d1747ca0a19774bf82d413eed0cb30b4874817282bd38a93a004a7076986618
delle cene,False,cena,dinner,noun,some dinners,"food,meals",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Abbiamo programmato delle cene insieme.,We have planned some dinners together.,4153a68a264d5f598d60839626eed8b2cd6cb21b8e11a9d7a77808e46cfd46e3,7003ac40caa20be9b90290224b51ce21d1a57eb1eb289aa81774fcf18230833b
della cena,False,cena,dinner,noun,of the dinner,"food,meals",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il profumo della cena è invitante.,The smell of the dinner is inviting.,8093d7ffa0cccd2070319ac624ae66605676f2f89d4da49ac46ad1ec7f03c9ff,c73cd34292b3d8b8f8fdfd159264b47eaa97a07ed034812123c8ee8dfd665a33
alla cena,False,cena,dinner,noun,to the dinner,"food,meals",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Arrivo alla cena alle otto.,I arrive at the dinner at eight.,0a69a2bbd5f70ab8fcacf6edbed7b912964d44f632f2b22546a410c9383989d1,77a7d7691182f0e5c0b344ecd8b92530afc4307cccd35762079d9a09bb291ee7
dalla cena,False,cena,dinner,noun,from the dinner,"food,meals",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Torno a casa dalla cena.,I return home from the dinner.,9934aaeff7541ea2df66234d55a6f84b7bf0be358651bb1c0aa19b9f2de1fee4,0e27bd05cb3547e40a1c119288f9298cad3df1d3ca32016fed1abe8f59d77519
nella cena,False,cena,dinner,noun,in the dinner,"food,meals",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Parliamo nella cena di gala.,We talk in the gala dinner.,be013a30a448994d79363d53f5ec151bce02bbe6b687ce7498dd5c95e481dcaf,52a3770d75873c452de764124f33ff162e93b292658619e49460192a1e2173b0
