term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
seicento,True,seicento,six hundred,noun,Seicento (car),Numbers & Quantities,,,feminine,singular,,,False,False,False,,,,,model name of the Fiat 600; often used with feminine article,la seicento è parcheggiata fuori.,The Seicento is parked outside.,a5ec38e18fb43c55f247737a803973fc59cebefbdee95bf475f9ab88f1de1549,2040.0,e5a2ec3a7a8435883d72d43b0da809e881451cbad421e100fed4727d845f6829,1728.0,say-CHEHN-toh
una seicento,False,seicento,six hundred,noun,a Seicento (car),Numbers & Quantities,,,feminine,singular,,,False,False,False,indefinite,una,una,,article used because model name treated as noun,Ho visto una seicento ieri.,I saw a Seicento yesterday.,23629ca809b43306b91bcaab0811badf33a0d1be29f6b76a0dc4b45e17946bc0,2208.0,0cf0a87b2049b5c436862097144d8df205c6a068bcdb4306c15ca147360866ae,1896.0,OO-nah say-CHEHN-toh
la seicento,False,seicento,six hundred,noun,the Seicento (car),Numbers & Quantities,,,feminine,singular,,,False,False,False,definite,la,la,,used with feminine article,La seicento è storica.,The Seicento is historic.,a53b598d1eec7da9febdc913e98fccff1e3b53933138599df3e0bb9a93db65ee,2208.0,ea74c1fe1fa3f651301b091fb91b0da6d928e3fbbc62e283f8868404b466f6ec,1824.0,LAH say-CHEHN-toh
seicento,False,seicento,six hundred,noun,Seicento cars,Numbers & Quantities,,,feminine,plural,,,False,False,False,,,,,plural form (invariable),Seicento sono esposte al raduno.,Seicento cars are displayed at the meetup.,f4cbc9220861d6c573432d3a5716b6c6073bba64d95fbb7acfbcac6958c1d613,1800.0,e5a2ec3a7a8435883d72d43b0da809e881451cbad421e100fed4727d845f6829,1728.0,say-CHEHN-toh
le seicento,False,seicento,six hundred,noun,the Seicento cars,Numbers & Quantities,,,feminine,plural,,,False,False,False,definite,le,le,,used with definite feminine plural article,Le seicento sono al raduno.,The Seicento cars are at the meetup.,c611fa775cbb4f59e0f89c5629f63076d2766491ba9c57844a63ad0670d7114d,1920.0,2392b6b25377b921a0eea98eaa7e3801ba89533083ea96b43aa8b786e6f60afd,1800.0,LEH say-CHEHN-toh
delle seicento,False,seicento,six hundred,noun,some Seicento cars,Numbers & Quantities,,,feminine,plural,,,False,False,False,indefinite,delle,delle,di,partitive plural form,Ho fotografato delle seicento al raduno.,I photographed some Seicento cars at the meetup.,3b3dc0d3a7c6c5ba259229273f04d81e7f086bf537bfe5ff6fdb42ff2b7e971e,2112.0,ab430b5503e3586bdbe672272b69a7a847464df8a2b5d56cda6db6beea05e48a,1992.0,DEH-lleh say-CHEHN-toh
della seicento,False,seicento,six hundred,noun,of the Seicento,Numbers & Quantities,,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,La storia della seicento è interessante.,The history of the Seicento is interesting.,7f574f7f1bc0a7328582bb1f0dbbd91810f7a08ad716dd33d2e9950a4918b0c1,1632.0,0bc32523d202b7948ffef3487a86cfd251afeac21b3f8396ad08bb2d627fb0a8,1968.0,DEH-llah say-CHEHN-toh
alla seicento,False,seicento,six hundred,noun,to the Seicento,Numbers & Quantities,,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Ho acceso la radio alla seicento.,I turned on the radio in the Seicento.,9074a4a2530095311e9d6f2aa311315d700a4efcb37a2b2c3505822fff93b4ba,1632.0,ce93ef472424d7c34c2a4bb23443cabf1dc134e1d1e255a0e952296039d92570,1920.0,AH-llah say-CHEHN-toh
dalla seicento,False,seicento,six hundred,noun,from the Seicento,Numbers & Quantities,,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Esco dalla seicento.,I get out of the Seicento.,1250110cce6726f4b12a7db9068ba54e236baf1548fa994cde5772ff3152a5a0,1704.0,1773c13508288752b2dd6834a94f445889aced74f449765209f7b09ca8cbf133,2016.0,DAH-llah say-CHEHN-toh
nella seicento,False,seicento,six hundred,noun,in the Seicento,Numbers & Quantities,,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Ho lasciato le chiavi nella seicento.,I left the keys in the Seicento.,9a59e06827bf360241cfd86938e83552cb1641a6dfdaa86a96c4f818bc30fead,1656.0,39135c13122ed1d7f25a29cf10b1622c8452a4282d39e31c5fe8198f9b0cc308,1992.0,NEH-llah say-CHEHN-toh
sulla seicento,False,seicento,six hundred,noun,on the Seicento,Numbers & Quantities,,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Salgo sulla seicento.,I get into the Seicento.,ede2a234f5fe916a80070025562865e15f7570962560b94c657001c274f43766,1656.0,d24bced2a2e522515350618d0844bff18236a1848945f244a8a3d742d195788f,2064.0,SOO-llah say-CHEHN-toh
con la seicento,False,seicento,six hundred,noun,with the Seicento,Numbers & Quantities,,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction for con + la,Esco con la seicento stasera.,I am going out with the Seicento tonight.,10abf26849ec73eea7673ab71b4469c918ce7667651f6a7d7d2d9072c325ffc0,1704.0,0ff6132d3b1a74793462355ab036360fdc87d707fbe1c116f979486fa740ce76,1992.0,KOHN LAH say-CHEHN-toh
