term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
panetteria,True,panetteria,bakery,noun,bakery,"food,places",,,feminine,singular,,,False,False,False,,,,,base lemma; feminine noun,Cerco panetteria aperta.,I am looking for an open bakery.,eece5ef3c06eee8064cf6ebcadefabfc8c9224e3eaac214aa8d518c6e3b59d83,1200.0,588594c59c7b89ec2884f94101ab143eeb1c5604ce4f4884c9a0fffee5e063a1,1656.0
una panetteria,False,panetteria,bakery,noun,a bakery,"food,places",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Ho comprato il pane in una panetteria.,I bought the bread in a bakery.,bf24247786a66ffb7a128e728bbdb00759c3ffa4efe602d10c04e189e0dd28d3,1320.0,15baef752f7423d38e8b02cf95eeed2939fbfee9a586374034fcb88fac28257e,1920.0
la panetteria,False,panetteria,bakery,noun,the bakery,"food,places",,,feminine,singular,,,False,False,False,definite,la,la,,,La panetteria chiude alle otto.,The bakery closes at eight.,4fa07b0c36488b4f6349c0ddc8941b40aace06fb9a0a0ca6c0c2c37813892d15,1320.0,e41a546bb5c930fc91fea8c8917977d740ea5675b6f73420ab4077a8dfb5b22a,1872.0
panetterie,False,panetteria,bakery,noun,bakeries,"food,places",,,feminine,plural,,,False,False,False,,,,,plural form,Panetterie nuove aprono spesso.,New bakeries open often.,09d51c6e6846baf57c4d28ca236705aa2d0314e60709366aeb98d9f627211a12,1296.0,08e6d5c928030d981a3e91209b80a4f179983d5aab504a569f371aae4a041f4d,1632.0
le panetterie,False,panetteria,bakery,noun,the bakeries,"food,places",,,feminine,plural,,,False,False,False,definite,le,le,,,Le panetterie sono piene di clienti.,The bakeries are full of customers.,517a9ec9ce014677b8e7691dc4a5997a851fc015b3257c7cde56c049765ba745,1416.0,734ea043abc1bb7f9b5ea6460a7539b26b21f987f1523f23bf1411190e562fe6,1848.0
delle panetterie,False,panetteria,bakery,noun,some bakeries,"food,places",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Visito delle panetterie locali quando viaggio.,I visit some local bakeries when I travel.,64a4c3c36173ea7114485520731b5c4609079e69b7e835b438d6b66d4fc83c7a,1560.0,eaea9b83369a0103ee3e25423a9a606bb5e38cfdc174b51b1c7203fc6b11e5dd,2016.0
della panetteria,False,panetteria,bakery,noun,of the bakery,"food,places",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,L'odore della panetteria è buono.,The smell of the bakery is good.,9da39dfc828d45059faf6699a20e8855f98be10ee78df0c11738966291eac267,1416.0,08548ccc4c1a574c8dc421d2cb874a4adafea4c2ec7ef09caa22bb86b451c60b,2016.0
alla panetteria,False,panetteria,bakery,noun,to the bakery,"food,places",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Vado alla panetteria ogni mattina.,I go to the bakery every morning.,fb162419a7e49b264c17f87bcf22c7efd1a5fc31e10e6fa9af3f0b4d667b2b04,1440.0,a424f3b83bbff55ef570a0b5fc898c88dd91e6b322d82d27e2d881a5cddd2453,1968.0
dalla panetteria,False,panetteria,bakery,noun,from the bakery,"food,places",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Sono appena tornato dalla panetteria.,I just returned from the bakery.,f5f517bdba828a7a4e011df4a3af2e0244e189ab052b3a7e77973e4b5c135978,1488.0,750ffa2abfc3ab617c76da5024e47be8b2ea2ef5efc1b5ee8295cbd509339f85,2040.0
nella panetteria,False,panetteria,bakery,noun,in the bakery,"food,places",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,C'è molto spazio nella panetteria.,There is a lot of space in the bakery.,36243d3710ba76880b18be575891084a2e5fc48bbe6e4fe18788776d57286597,1416.0,7e5ffe454f0a233c389380004a3c991620b60b1698ffcaba3147d4eaf65253c4,2040.0
sulla panetteria,False,panetteria,bakery,noun,about the bakery,"food,places",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Ho letto una recensione sulla panetteria del centro.,I read a review about the downtown bakery.,39a9b584dc5eeac0f4b449e4bd3f41c26b46c7b5a905aa75ddd7471a5c32f567,1584.0,c54e2b6d69e34bb75754f353e3c74241095a762de26755bba7bd9b78a6348a75,2088.0
con la panetteria,False,panetteria,bakery,noun,with the bakery,"food,places",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction commonly used,Collaboro con la panetteria del quartiere.,I collaborate with the neighborhood bakery.,17df6d9777cacb24103183341387b03bba25ae73608a26454c32c23b889906ee,1488.0,9be8631ad152fa87ff0a574017b0bf89047ac93666d24d2788ad058d9248fb0d,2040.0
alle panetterie,False,panetteria,bakery,noun,to the bakeries,"food,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Vado alle panetterie del mercato.,I go to the market bakeries.,271bab92e31cba3a85429a02edfb2539400a865782834ced5431478cf5660491,1536.0,ad2aff3b951b72a525e75bf3a6af063cc75b459e0c10674e4e330a3bdecc0d22,1944.0
dalle panetterie,False,panetteria,bakery,noun,from the bakeries,"food,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Ho preso campioni dalle panetterie vicine.,I took samples from the nearby bakeries.,f3a4fa72af9131cc71659870a33f93712e95a1a31f2f71a3272a50bfcce999b3,1584.0,9286b003aa0626899e0fc5771e4784edec65c9b9472f57a8e80f66ed62756b62,2040.0
nelle panetterie,False,panetteria,bakery,noun,in the bakeries,"food,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Non vendono alcolici nelle panetterie.,They do not sell alcohol in bakeries.,a294bcdc49d8ef68ccc18e04e35b848f24150f84a6a34a75641917fc58049975,1536.0,a7ccbdf01310f9748ad3b149a280dc90e88fb00daa8ea5ee82514f90ee9e364f,2064.0
sulle panetterie,False,panetteria,bakery,noun,about the bakeries,"food,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Ho trovato informazioni sulle panetterie artigianali.,I found information about artisanal bakeries.,fb2f53c8f6d9568cb8892c006c814f26b3bfbd022bdeb7f2f8f7e0c98ae25592,1704.0,9c8c2d7b90741c61b87ddce6302e559a3d538834ae35e0c3c7aea6a7c1db9d63,2088.0
con le panetterie,False,panetteria,bakery,noun,with the bakeries,"food,places",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction commonly used,Lavoriamo con le panetterie locali.,We work with local bakeries.,568e032df388bda35eea4b370cb93c9daf12a81bf1a751f7ee77b4504cd5073b,1584.0,2da9d820d3d4093fbc8406a2b7f281d4d61c9e811c822b141577bbd08dc60b74,2016.0
