term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
ricco,True,ricco,rich,noun,rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,,,,,also an adjective; spelling change -co → -chi/-che,Cerco ricco per il progetto.,I am looking for a rich person for the project.,d7a129f9e2c67db19c38f2107b1fe0aa7451066851e7e4ef47796e85bf02eac0,aa4d4cc7375f7a5bcd52878ee1e82ac454d83a6bd3bd2eb0770cf508172e2283,2448.0,1320.0
un ricco,False,ricco,rich,noun,a rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ho incontrato un ricco al gala.,I met a rich person at the gala.,58f1fc24a52ac81d341a2181c9e2bf141279f663c455d3f27f5e1b7d2bc88aea,e8c2ced41814aaa3b0b602bbea7cae863a7691342e7fcb1466267b8e5093e460,2544.0,1464.0
il ricco,False,ricco,rich,noun,the rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,definite,il,il,,,Il ricco aiuta il museo.,The rich person helps the museum.,8b53aa7aba48e87d33c0fdde1b8b217e546828f5ed24fdcc78a94fdaa1269037,a8caadda692338208876fea9b5487ff515d820af6ee58be720af611b45a086bb,2544.0,1512.0
ricchi,False,ricco,rich,noun,rich people (masculine),"people,wealth",,,masculine,plural,,,False,False,False,,,,,plural form,Ricchi investono molto.,Rich people invest a lot.,cced54fd506eb8fbada4b374031077c9257e1e766808ad77020f67f3460c7220,2572e7d6749df5a7634a964aab10376e59d382617c27be14c17069d3ac797933,2376.0,1296.0
i ricchi,False,ricco,rich,noun,the rich (masculine),"people,wealth",,,masculine,plural,,,False,False,False,definite,i,i,,,I ricchi viaggiano spesso.,The rich travel often.,e8ba23a44a5fa2353e206034af95b73c2317ef2b81d136abb9023be44e08f257,1e726b245c3b83da78311ee96cd42f1163abaa88640d8c45452b9e65f1d6358e,2232.0,1368.0
dei ricchi,False,ricco,rich,noun,some rich people (masculine),"people,wealth",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho parlato con dei ricchi.,I spoke with some rich people.,63b40b31b2de1aab2ff94065987157a4c5ec9cc65f6af10c772abbb401c7f51d,bdd7f2c5a12e143be85eed608b450c2145954c0c69d65175e01628e29eaa11cd,2616.0,1512.0
del ricco,False,ricco,rich,noun,of the rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,La casa del ricco è enorme.,The house of the rich person is huge.,513de27e4f0ab9925dd80728bcb78ab3e8650b98ea91be4ab99c6d22948adc56,a7ea28a2e54ce0407975a768267b9c8c6e133605cd7b77e2cdcc977f911c8971,2664.0,1560.0
al ricco,False,ricco,rich,noun,to the rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Ho scritto al ricco.,I wrote to the rich person.,9ac6bd4fb7886af33f501edfaea176569ed761090e859a18a14927ca13eac97e,89e1bb1c68b77248c576d6a9a4deb46fa91c003fab38656a4f26c133780f3b50,2688.0,1488.0
ai ricchi,False,ricco,rich,noun,to the rich people (masculine),"people,wealth",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Mi rivolgo ai ricchi.,I address the rich people.,54958854454df2edcea0048f4f21abb8c0ce30051c7ddc4799036d314be9eb8f,9b42fd47152ce35e708e391e0105934775fa0db246afa2c67c84eeac159424e3,2592.0,1464.0
dal ricco,False,ricco,rich,noun,from the rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Vado dal ricco per un prestito.,I go to the rich person for a loan.,8dfc31801ce25cf189202e718928d618b1c0470196a5bc674025a1dd0b336efd,3d8a2c678fc348e1613c5796c0159e33a6feab1246d94b125e628d30e2845353,2760.0,1560.0
dai ricchi,False,ricco,rich,noun,from the rich people (masculine),"people,wealth",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Ricevo aiuti dai ricchi.,I receive help from the rich people.,5c31ca4c1ddc8ed3db4dcd8f6c8f83d3ce996a3f1390307e7ca5c45823ffe7a1,29ceaeae77effb04b7b4d1cb29f1ea4685cc582c6871b16f2c2d8efda8245372,2664.0,1536.0
nel ricco,False,ricco,rich,noun,in the rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,La fiducia nel ricco è calata.,Trust in the rich person has fallen.,e5f3be92bc7678bcb9772b240ebb440ee610886645a52ae31946c602b8189546,42fcb9a963e0ae87d6baad32f4482b07c1fbd322563d500e333bfa58e20d864c,2664.0,1584.0
nei ricchi,False,ricco,rich,noun,in the rich people (masculine),"people,wealth",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,La fiducia nei ricchi è calata.,Trust in the rich people has fallen.,3597c8183cdba1109166b0fe3ae776a0d00b704da997a234d9dfda19fa2a03b1,6a0dd6d055722f295c74d6f1573bb0edd9e513aabb932ad2cb9faa94274b87bb,2616.0,1536.0
sul ricco,False,ricco,rich,noun,about the rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Ho letto un articolo sul ricco.,I read an article about the rich person.,16b1f11edd3f6b39c5b9582ca2be416482e85d654b0109c42d1fd7107cea110e,89127ac30d3c960cabdd639c44c6e1a771c7bb88ffa7aae348fc2b3339c35f46,2856.0,1632.0
sui ricchi,False,ricco,rich,noun,about the rich people (masculine),"people,wealth",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ho letto un articolo sui ricchi.,I read an article about the rich people.,d173629a26e4bd8157c2b3d27e1a1bc80c5e69b029a26fe90e9b2a082665b95e,15823f020887ea2ad6a744f00c1514bfa9f78dd2ce729d27b7c74652db872e83,2784.0,1632.0
col ricco,False,ricco,rich,noun,with the rich person (masculine),"people,wealth",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Parlo col ricco dopo pranzo.,I speak with the rich person after lunch.,da3ed98c6b905bdcf67f2a615fed9887859ca284a3c71aa2ac5e83ce988b8abb,a7cf77be8f1772536a5437c32d05882af6fff0e5bb2ccf338190f077cd5c546e,2736.0,1560.0
