term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
ghiaccio,True,ghiaccio,ice,noun,ice,"nature,weather",,,masculine,singular,,,False,False,False,,,,,base lemma; often mass noun,Cerco ghiaccio per la festa.,I am looking for ice for the party.,c7d0735f19ca2184cb6f2aff872f26db54b78759bd54a375b1a0a0baaf23a164,ca5eb0e27464596ca4c0c43b338f6b2b00b699841c5f6d91081d33a3cd4a7a86,1008.0,1392.0
un ghiaccio,False,ghiaccio,ice,noun,a sheet of ice,"nature,weather",,,masculine,singular,,,False,False,False,indefinite,un,un,,countable in context,C'è un ghiaccio sottile sul lago.,There is a thin sheet of ice on the lake.,0fef05a6db841545a3aeee0f4867c0adc31a2d44b928d15b6d69f2b56c0a0462,fc5179b08b6abbe94fa5dcf55dec533590cab9659f48828422c245dd432c4c57,1584.0,1536.0
il ghiaccio,False,ghiaccio,ice,noun,the ice,"nature,weather",,,masculine,singular,,,False,False,False,definite,il,il,,,Il ghiaccio si scioglie al sole.,The ice melts in the sun.,b20287f17cea0470b9a353ad4fbb1ed84284cd7d4b2147f14aec733f9e58d66c,9de548c3cb53f4c25efe9c5db5d2bf4c7d2516b1ca93a102f20e300ab87cee04,1200.0,1560.0
ghiacci,False,ghiaccio,ice,noun,ice masses,"nature,weather",,,masculine,plural,,,False,False,False,,,,,plural form,Ghiacci antichi coprivano la valle.,Ancient ice once covered the valley.,85e0f2d4de7c77b119ea66661463c6387b70304269b61f013ba81e389b3aa4ee,693c81fa44d404b08ae7827e9a2f65ceca70bf97cac2404cb05f99f4d42c5dc4,1416.0,1392.0
i ghiacci,False,ghiaccio,ice,noun,the ice masses,"nature,weather",,,masculine,plural,,,False,False,False,definite,i,i,,,I ghiacci polari si ritirano.,The polar ice masses are retreating.,0aa9c4711a7b10442860cccd8f1f831ae4230f437e730d18b56b07135616ff9d,e8a5f7bb32471e95ce4be0dfe6fb64871a08373b5733136e06f6be78511e422c,1608.0,1512.0
dei ghiacci,False,ghiaccio,ice,noun,some ice masses,"nature,weather",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Studiano dei ghiacci antartici.,They study some Antarctic ice masses.,806af076c8e213dbef615ab699adf9367d827e934745ae464ea145526263baf6,4c3bf764cde2e8bc8fd96496d69567344267ba95d5b4ec7e2b7da7bf139f7a9c,1728.0,1632.0
del ghiaccio,False,ghiaccio,ice,noun,of the ice,"nature,weather",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Misuro la temperatura del ghiaccio.,I measure the temperature of the ice.,de96ce0a47b91efcb220af94bf8d01c97c54ae63ffcfff2b70d1eb7abecb6ddd,03d24f4179328ee0deddc4a4213234a38eb5ae1ebb5a8adfecbc0efbc35f9600,1320.0,1632.0
al ghiaccio,False,ghiaccio,ice,noun,to the ice,"nature,weather",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Metto la bottiglia al ghiaccio.,I put the bottle on ice.,63f492b3590336876198bef568130bec47af6ab07d1ebb7a7771d23d796fec5f,fbabcf0f919d77215cd2d6a51904a94f5fb0c34a55d4d7ec20405a4f3af5cfb9,1344.0,1536.0
ai ghiacci,False,ghiaccio,ice,noun,to the ice masses,"nature,weather",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Una spedizione ai ghiacci polari parte domani.,An expedition to the polar ice masses leaves tomorrow.,941ea54081a85a7edfba96809e7bb7a55407b595278003d2504681da0d706ac0,1c7ef0316a0fa315e41608896e653fc5a216f96ba60b618c4dd40eba5a078c88,1728.0,1560.0
dal ghiaccio,False,ghiaccio,ice,noun,from the ice,"nature,weather",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,L'acqua scorre dal ghiaccio sciolto.,Water flows from the melted ice.,5570d465947875ddde7571f94572ab804405a59178f6db2667e06105c2ae0c00,82fe1bf525b037cfa9c2cfef16624ee984f9ef0933ca07dcf1ac1e8b975f22c7,1392.0,1632.0
dai ghiacci,False,ghiaccio,ice,noun,from the ice masses,"nature,weather",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Venti freddi arrivano dai ghiacci del nord.,Cold winds arrive from the northern ice masses.,377acd14f016130f663384404c97e5b89b12b0899e42972b35550ee0e06a54fd,3a85c1022809782a0527b00c0a7e38fd418d10d92c5411a57a492d4c99d772d3,1800.0,1656.0
nel ghiaccio,False,ghiaccio,ice,noun,in the ice,"nature,weather",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,C'è una bolla nel ghiaccio.,There is a bubble in the ice.,5dce59d213945bbcb65a693c8c142716538dbb97baeebe6d4059e058b911988c,1aa13da8107b6695a8215197f9029e557404fdef914fe457c6f5e81f1b3625b8,1320.0,1656.0
nei ghiacci,False,ghiaccio,ice,noun,in the ice masses,"nature,weather",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Gli scienziati trovano polline nei ghiacci.,Scientists find pollen in the ice masses.,94b20ce423447e645f6d6b4c4a5b27c5f4de6ca118ae53a48b4e0ce18b51265c,6b9f97cfef1873172221139f8be7444ed4ed4dcc74825a505d582381dec28bf7,1728.0,1632.0
sul ghiaccio,False,ghiaccio,ice,noun,on the ice,"nature,weather",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Scivolo sul ghiaccio.,I slip on the ice.,02fa8048ee190a41fa2541101edea4785b315af2dded20e434af2d53623eff12,db78811298fb00594ff820450888d3a27495292fdb9a63e87e5aaf713af4bfc8,1320.0,1680.0
sui ghiacci,False,ghiaccio,ice,noun,on the ice masses,"nature,weather",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,La luce danza sui ghiacci.,The light dances on the ice masses.,629f549382412bf28e41894ed3402e09a00aa53ba1b875a6c3b55e148d1fa4e9,63663dc46a5d9454de1ca5ee582de2d762eb5e4ab31594414d00065cf4f4ea70,1728.0,1776.0
col ghiaccio,False,ghiaccio,ice,noun,with the ice,"nature,weather",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Prendo il tè col ghiaccio.,I have my tea with ice.,60c84a1c615f46ef71181ffe1313b44f1f9e5b084d8d12836a0cf09f79d1e7d8,7aec71eeb4b8c5c552e4c4cdf12ff223cb4d024b5ea4a4baab1e6d09f553cdb0,1392.0,1632.0
coi ghiacci,False,ghiaccio,ice,noun,with the ice masses,"nature,weather",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Le spedizioni si confrontano coi ghiacci polari.,Expeditions face the polar ice masses.,47f6e1f48a06edffbc2f467b962c151d8ddf6a15090f89a096a1e426582e88e9,85a3e397a46cd16f3f5831a4ace9eb153dd8839308a6fedc11d7545813ca320e,1776.0,1656.0
