term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
aeroporto,True,aeroporto,airport,noun,airport,"travel,transport",,,masculine,singular,,,False,False,False,,,,,base lemma,Cerco aeroporto vicino.,I am looking for a nearby airport.,638f731cb7cf006525595a346465ad7ebeccb444f872199662da3432ac965db0,eac1f90ae5fef156d7cb1ad5a43cbe4b5c933dd3646427955c229149489f890c
un aeroporto,False,aeroporto,airport,noun,an airport,"travel,transport",,,masculine,singular,,,False,False,False,indefinite,un,un,,,C'è un aeroporto qui vicino.,There is an airport nearby.,9e04af499df2e94889498aa2ba061c9e9908471f57fdf829d1b64536bb9b95fc,df77fee51d3b2356f2d02322c641f04ac0e15d272244e0d3fe827fa79f83ed73
l'aeroporto,False,aeroporto,airport,noun,the airport,"travel,transport",,,masculine,singular,,,False,False,False,definite,l',l',,,L'aeroporto chiude tardi.,The airport closes late.,8112e89c034d76abd8b6a44568ede65ef316d2603704b0131ddc723805cf4f9d,1ba14e56f368c034dc1735f0c6793c106fba575687a1e31c97cdd2c50414fe23
aeroporti,False,aeroporto,airport,noun,airports,"travel,transport",,,masculine,plural,,,False,False,False,,,,,plural form,Aeroporti nuovi aprono spesso.,New airports open often.,2410139fb9d46cf6f330c4e4efa72eacacb7c6fe59c810fc643ac46c8a02942c,f07f28d0951973093f78a21819db3dd072d1484deeedcce397bcb5aae2e91121
gli aeroporti,False,aeroporto,airport,noun,the airports,"travel,transport",,,masculine,plural,,,False,False,False,definite,gli,gli,,,Gli aeroporti sono affollati.,The airports are crowded.,9e64c0dcdcf28a624c8f3838b5c096a3e1279bf0cd9326fe24dea3f905afab4d,d8af5d7ce3059920251adf0a7939fc03eb20073d4ea79d2e44e46ce5ed2f744c
degli aeroporti,False,aeroporto,airport,noun,some airports,"travel,transport",,,masculine,plural,,,False,False,False,indefinite,gli,degli,di,partitive plural form,Ho visitato degli aeroporti moderni.,I have visited some modern airports.,64a6b46122794b8c633d436c24506ca6b093100cbf0b5a7013d353ca537482b6,1f06ba9a2feca069e74bb53e54ac984cac7bd79abd68219ea335ad187a48ec89
dell'aeroporto,False,aeroporto,airport,noun,of the airport,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',Il personale dell'aeroporto è gentile.,The airport staff is kind.,5373e47547fdb1db5aafc77fe65ff4888c94fe0d39bf6d2d186b6ddcc6ce8f23,7966e98f74dc1b109f9d6b61fb8f7ca9900254ab300859fcf9a4fd3a606cc55f
all'aeroporto,False,aeroporto,airport,noun,to the airport,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',Ci vediamo all'aeroporto.,We will meet at the airport.,f20458ef192f4441763305b744f024e0d81fc828ca1414b037b02d891ae5a1d2,d0e123413c7e48a6ddc74d071ce2ac0a3c2537a5e580205cafce59325f1ffd4d
agli aeroporti,False,aeroporto,airport,noun,to the airports,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,gli,agli,a,contraction of a + gli,Invio reclami agli aeroporti.,I send complaints to the airports.,903f8dfff8747e5a96080609f2974a7c8e4838934d4f36cfa9930c40bbd1db14,bc70a98e848523a90f1f5f9cb9c7105863d6f0d1b360915911d98ec72db6a9b8
dall'aeroporto,False,aeroporto,airport,noun,from the airport,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Vengo dall'aeroporto.,I am coming from the airport.,7912f52236f0545f0016a5570e4fb6d0d4be670f9d653573b59983e820289250,00a396a0a942d5e151008bedfa68327cb05a22ecf9165d7f001337ac55ee38f4
