term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
collina,True,collina,hill,noun,hill,"Nature & Environment,Objects & Things",,,feminine,singular,,,False,False,False,,,,,base lemma,Cerco collina tranquilla.,I am looking for a quiet hill.,e940c672f2901202b7bb245c67cc8c7ae44fbdb0938ca63e509008863560540e,f4a1d475d557abc279373e2a676762787029035fbe6d014e662e190da3e88125,960.0,1392.0,koh-LLEE-nah
una collina,False,collina,hill,noun,a hill,"Nature & Environment,Objects & Things",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Vedo una collina lontana.,I see a distant hill.,2d54c00d2c44f35340b0def2da6928b8389dff06b4dc379d383a533f61563c6b,77b2988dbde116079948f4279fab8e4b37660d67f2708a9c423a81f439327b98,1104.0,1680.0,OO-nah koh-LLEE-nah
la collina,False,collina,hill,noun,the hill,"Nature & Environment,Objects & Things",,,feminine,singular,,,False,False,False,definite,la,la,,,La collina è verde.,The hill is green.,4e849bd63bd677e94dc5e32e701d7152cd8e3508218223e47ac76874ed8f5b2f,b9b978ff332090b73db4b10d775e2500f6c5b0061152d730407b84d9fd11687d,1104.0,1608.0,LAH koh-LLEE-nah
colline,False,collina,hill,noun,hills,"Nature & Environment,Objects & Things",,,feminine,plural,,,False,False,False,,,,,plural form,Colline morbide circondano la città.,Soft hills surround the city.,24eb8e18e861f86607ec55d02665549ec8e9be8e80b44b4653839e71915f1f78,19987ee90ffe9f3c263fd9dac85970cf01a5827d0de4f335ae72b4e290cd8cb0,1056.0,1368.0,koh-LLEE-neh
le colline,False,collina,hill,noun,the hills,"Nature & Environment,Objects & Things",,,feminine,plural,,,False,False,False,definite,le,le,,,Le colline sono verdi.,The hills are green.,5ee81caec9da12248c2575114ad552230f1c9695e825bc20cbc88220b6454553,4d912c02da619122cbe0d1bcaf30fd03959f49158efc32dcf8f9535cbb786f10,1224.0,1584.0,LEH koh-LLEE-neh
delle colline,False,collina,hill,noun,some hills,"Nature & Environment,Objects & Things",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Vedo delle colline in lontananza.,I see some hills in the distance.,9b8c25d667fd95202d1d236dd463bd43e0b968026e1e768ec44c4e2a85c769f5,b839d452ffb502338c40c6cf9aabadfae108bdf4a5f1171a7ea579fb2878a1b0,1368.0,1776.0,DEH-lleh koh-LLEE-neh
della collina,False,collina,hill,noun,of the hill,"Nature & Environment,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,La cima della collina è ventosa.,The top of the hill is windy.,e82d60554d3a6879354c257f834502b0839a9bcf562051a966c8f34c224cd605,12e0945c3650effef54080106070daf4284cc9f5a21d6f3df67668bc16c1e92f,1224.0,1776.0,DEH-llah koh-LLEE-nah
alla collina,False,collina,hill,noun,to the hill,"Nature & Environment,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Andiamo alla collina per il picnic.,We are going to the hill for the picnic.,88de201e01dd37f88f0f6cc042559dd2b3d25c7502cda1f75198ffd584581873,0fd176da438029a7928a8b37e273a4892c76ee82bc41d854b9ff6993ea6b618e,1224.0,1704.0,AH-llah koh-LLEE-nah
alle colline,False,collina,hill,noun,to the hills,"Nature & Environment,Objects & Things",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Ci avviciniamo alle colline.,We are getting closer to the hills.,f99d2008770995861dba89f224404217dbf582cd494f199feb00d5b9a3da9faa,277c492add5e92b29f7f1294fbfa49c51545862ffb366151c7eb57f3598d6545,1344.0,1704.0,AH-lleh koh-LLEE-neh
dalla collina,False,collina,hill,noun,from the hill,"Nature & Environment,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,La vista dalla collina è splendida.,The view from the hill is splendid.,a7380eb0f03cbbd6811a87231f19520840f98b55a0c1e1fcd6168b5b4c3a4805,d6f87b6c9b1580b6ddaaf1fe86a683f6bb63b138832016588ceba95b257568e7,1296.0,1776.0,DAH-llah koh-LLEE-nah
