term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
chilometro,True,chilometro,kilometer,noun,kilometer,"travel,measurement",,,masculine,singular,,,False,False,False,,,,,base lemma,Cerco chilometro 20 sulla mappa.,I am looking for kilometer 20 on the map.,f6507a8a26fd0259ba78ec74b7514498a2a3d16466936631fbcf308d9d64a347,05d5eda63894c30954ff83e1c042edf141f65de3a3b4f09a3fa7e071a7bbee93
un chilometro,False,chilometro,kilometer,noun,a kilometer,"travel,measurement",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Cammino per un chilometro.,I walk for a kilometer.,098dc9168d37ff2ffc45badf13e2fade784d40e48d0360845d2ac8bbc8e5e485,7b48992768abfd81e46d5eca5dd0656e4c4fe2024e0b5e215f8af28e1a60a42e
il chilometro,False,chilometro,kilometer,noun,the kilometer,"travel,measurement",,,masculine,singular,,,False,False,False,definite,il,il,,,Il chilometro è una misura di lunghezza.,The kilometer is a unit of length.,f0e76c9021e9647d71d1db267927d36233edc3946edffa00d6750a41712ccd7d,662e678410e00e8a27967d175269ad6ea2caddc22bc7550e432e52c03df5282f
chilometri,False,chilometro,kilometer,noun,kilometers,"travel,measurement",,,masculine,plural,,,False,False,False,,,,,plural form,Mancano ancora quattro chilometri.,There are still four kilometers to go.,60a772434a44b6215c8e365d53e4c7d7cd71552ec7f54d247890ed864414ca75,90f950bef0a9805bcff34d01ce90f67ce3d9a324d907312f0b223beb72cf864b
i chilometri,False,chilometro,kilometer,noun,the kilometers,"travel,measurement",,,masculine,plural,,,False,False,False,definite,i,i,,,I chilometri passano lentamente.,The kilometers go by slowly.,072b1cf29d1ff4e2d7b272c72e3f31a1122ffcd730a08a885d04eb18f3adb5ac,e355a297772c83c8430460b134eb7805e07bc3c4a3271cac4589c5b25160069e
dei chilometri,False,chilometro,kilometer,noun,some kilometers,"travel,measurement",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Abbiamo percorso dei chilometri.,We covered some kilometers.,66db238892035d0ed22b8b804011a6ca309805961644b28e94ff1200e0d5086a,5cd90ff856edc45968dd32bb9886cfbc21b6641fb07780c8401c92556c61f1ab
del chilometro,False,chilometro,kilometer,noun,of the kilometer,"travel,measurement",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il cartello del chilometro è rotto.,The kilometer sign is broken.,de87062ceba129de13b59b1f97198325f3b52228f9cc94aaff78bb2c957c05ca,1fb882409cbfea54e849925ad229418f785e980629fc6fb542dafcc8a6fc07d7
al chilometro,False,chilometro,kilometer,noun,to the kilometer,"travel,measurement",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Arriviamo al chilometro 20.,We arrive at kilometer 20.,c8edd989dd361b7411c079140e783f51173d7adb854f3efe9ba1ee6240787345,04829e52851ca3bb4d0a1651ffa43d324799b8330383c9eb3a072fe2021f97e3
ai chilometri,False,chilometro,kilometer,noun,to the kilometers,"travel,measurement",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Facciamo attenzione ai chilometri indicati.,We pay attention to the marked kilometers.,cff3a259bea95c26e6c5f3f84d8f8c4ae79a16ece6d8fc45a803378383afa537,2e53afa9c6cc389bf5d03fb55bdd97cc8e7f96803b9784bedccf0cae14756fce
dal chilometro,False,chilometro,kilometer,noun,from the kilometer,"travel,measurement",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Parto dal chilometro 5.,I start from kilometer 5.,11d21e4adf55c767b92296d9bb3488aa7af4c131516fedd38dbcee5478f2065c,64f04929a2f5bd5a7cf63d951f9d69eaf3cf40aaa65543c5cefaec8ba2137f57
dai chilometri,False,chilometro,kilometer,noun,from the kilometers,"travel,measurement",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Ottengo dati dai chilometri percorsi.,I get data from the kilometers traveled.,bab65748c0fc8a943a9385356597d5dbc69f11c26bc866e66ae9d4aeef7ace4f,f6c71e0c093bb6cfd17ee053bec9f30e0bf70a940def9da69c7e82dbf8a6c680
nel chilometro,False,chilometro,kilometer,noun,in the kilometer,"travel,measurement",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,C'è traffico nel chilometro finale.,There is traffic in the final kilometer.,361f667851244daefbddaa43916738e9f554fae0ea97dcfb47cbd70aa19f1d03,a1b3221d3276ebed1b4876c7c8aefc209ce56e413115ce21259168beb5a2ff16
nei chilometri,False,chilometro,kilometer,noun,in the kilometers,"travel,measurement",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Nei chilometri successivi rallentiamo.,In the following kilometers we slow down.,a0a771dbf6b16ef07893101015eb05186acc73f7d43caa9d9eb7fd92b928a735,65f6683fc1370f7efb49e1ea8d9457be6ee884e37e4c24351407ef5e0a4129f7
sul chilometro,False,chilometro,kilometer,noun,on the kilometer,"travel,measurement",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Il cantiere è sul chilometro 12.,The roadworks are at kilometer 12.,1b4979f25c321c284d78f5fd62ef94065832d798a7a25a8753598df77708f1a6,18757ae689637c4a9fadb11edbdb8c2b6b8bc2c29dcee401c2e5249868c2d788
sui chilometri,False,chilometro,kilometer,noun,on the kilometers,"travel,measurement",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Le statistiche sui chilometri sono chiare.,The statistics on the kilometers are clear.,72ad6a1cf241765931775981ae9dbd1eec04053eff9c599f1b309cfb4d86243e,e769ee993693865382e65ba98b87feb35305140127bf25bee457068d53aa3139
col chilometro,False,chilometro,kilometer,noun,with the kilometer,"travel,measurement",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Lavoriamo col chilometro come unità.,We work with the kilometer as a unit.,632b8d419d274568d2624ff4b32f65a55f0e1931bbe08779dbdde42445dce13f,13bf461ab1a2694a56dcf346b0d213e5a627bf8e8b57499c48092261a6f641e1
