term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
bene,True,bene,well/good,noun,good (benefit),"core,quality",,,masculine,singular,,,False,False,False,,,,,abstract noun; plural 'beni' = assets,Il bene è prezioso.,The good is precious.,f1cfae83a5a145d3a91453d071d551877a51e65a2b6be2a0d94b1e6c527569c6,f46d4b9a4715c34bc50d13baccedf453cd20cdbb01c6bd7e3731dd3dbcb705cd,1848.0,1176.0,BEH-neh
un bene,False,bene,well/good,noun,a good,"core,quality",,,masculine,singular,,,False,False,False,indefinite,un,un,,,È un bene comune.,It is a common good.,937d533d52996c02fc7a2e86c05ce1fc6a44040c7e3c1950d52ae650df746b24,1f2224c2955279035d7737760a6b86611621b1964a3ce50241acc178bb7469b7,1104.0,1296.0,OON BEH-neh
il bene,False,bene,well/good,noun,the good,"core,quality",,,masculine,singular,,,False,False,False,definite,il,il,,,Il bene vince.,The good prevails.,4bf99d947d799501f531baf9c4eacd5323237b110d348946e2de4bc213ad7ca4,fc58f46282735dc9dd47b8476d2aed652e9fc613f158ee8c91253c10ae2cb6cf,1128.0,1320.0,EEL BEH-neh
beni,False,bene,well/good,noun,goods,"core,quality",,,masculine,plural,,,False,False,False,,,,,plural form,Beni essenziali costano poco.,Essential goods cost little.,68eed0d79fb49728eb29aa9c837fddaaad07adec03eb23039682be0fbdb1e122,bb7001e30f3935701d70a5165499f2041fe51ac86687df0acb6be3a324279adc,1104.0,1224.0,BEH-nee
i beni,False,bene,well/good,noun,the goods,"core,quality",,,masculine,plural,,,False,False,False,definite,i,i,,,I beni sono tassati.,The goods are taxed.,ace0bd6fc57cbf1051610a30d12407aab5416fb2ca0c1c36c25027e3a4e92df7,016fc6a275fb6214c276650ad3b0d7e45cc67db4ef42f71d641987946e82d33d,1224.0,1296.0,EE BEH-nee
dei beni,False,bene,well/good,noun,some goods,"core,quality",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Abbiamo comprato dei beni.,We bought some goods.,76d80d6f4406374d1d1f4a7bfd149e94de4445554aec5ecd8b3c7c7bf4e847eb,4557ecfe11b6f5b52d38b292181408c52554fedd0d7d9fb7d33f8ee9a805387c,1344.0,1440.0,DAY BEH-nee
del bene,False,bene,well/good,noun,of the good,"core,quality",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il valore del bene è alto.,The value of the good is high.,b86b60b066474e7d0b063d26d58fc717e4f73cd9ca6746b8cade7342515a5f2d,c64998aab9ba4d99c8f3700c481833f0ff156163e04d909836db06de8f70225a,1248.0,1392.0,DEHL BEH-neh
al bene,False,bene,well/good,noun,to the good,"core,quality",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Penso al bene di tutti.,I think about the good of everyone.,388f87b94664a7e08e861388b386d94e13bb96a25ea783eb24ec20226e7f9e6b,b2f4e454378ee3771baa246ffeeb1afde7646c6cccee7aab6125087ad3f2f5c2,1248.0,1296.0,AHL BEH-neh
ai beni,False,bene,well/good,noun,to the goods,"core,quality",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Danno accesso ai beni essenziali.,They give access to essential goods.,a65577fd9d429e30d1b370ec1df3d4bed904287dd54c011b1b3524ab869f0461,d432d650fbccf996271ff432c9fe3175695d613844bc1d2646c6f69b7518e443,1344.0,1368.0,EYE BEH-nee
dal bene,False,bene,well/good,noun,from the good,"core,quality",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Il profitto deriva dal bene.,The profit comes from the asset.,b7ebaeea8d471de9b38e17ffff6411a8313c70b47add0b6f1c3157527a4c286f,b99d45162bcceeb88ca1bf64bd39cad6791451dbd0913eef2be4a936e9847e60,1296.0,1392.0,DAHL BEH-neh
dai beni,False,bene,well/good,noun,from the goods,"core,quality",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Le tasse provengono dai beni.,Taxes come from the goods.,2704e37467b36de20e925de02dea61080af382b2173ce9b5fa5594f00a3df5b3,95e4319cf9dbcb58f2989058ccaad6ac1b3fd246973931b4a68db3d48df93437,1416.0,1464.0,DEYE BEH-nee
nel bene,False,bene,well/good,noun,in the good,"core,quality",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,La forza sta nel bene.,Strength lies in good.,4728219a21e5a080b9a4f86334ba4b57b2e252573914f67729e7e7239383a1a6,c57d28269dfa77977d450f1096ab27375e30c3bb3beaa9e11e7cba2774ea14c9,1224.0,1392.0,NEHL BEH-neh
nei beni,False,bene,well/good,noun,in the goods,"core,quality",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Investo nei beni locali.,I invest in local goods.,dfa6a697b40ac5000d8219c21c96b930ddffa2711d19cb08b0f394c1ec526732,0e3aaeebc02de6a32f64f370faf423c773ec9a4979ee497a1a7f8300488d7f5c,1344.0,1440.0,NAY BEH-nee
sul bene,False,bene,well/good,noun,about the good,"core,quality",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Leggo un rapporto sul bene.,I read a report about the good.,79cf1b6e33d3247b25518bc1f5b4ac03738c70e2d8efa3fe79f7ccfe20d3ce3f,b06f395a76c2799a64cbd1a07cc9ca1fa5e9e70edacd30d057e8797eb1cbfa6c,1392.0,1464.0,SOOL BEH-neh
sui beni,False,bene,well/good,noun,about the goods,"core,quality",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ci sono dati sui beni.,There is data about the goods.,1abffcacbac50c3afcc3f19575e5c7739a5461269f89ae01663c064099c28777,d07d5e203af47a56d91d087467e7ee327044fa3e07375cca681a13241a3e8555,1488.0,1536.0,SWEE BEH-nee
col bene,False,bene,well/good,noun,with the good,"core,quality",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Agiamo col bene comune in mente.,We act with the common good in mind.,77678c62d2bca3e79a7b6918aab8d49e87897852d90ed33ca61daae054c5a1b6,73b76879a7215675d59492e224ed98843ce81ca92820d2d03b5322931fd767a2,1296.0,1392.0,KOHL BEH-neh
coi beni,False,bene,well/good,noun,with the goods,"core,quality",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi beni confiscati.,We work with the confiscated goods.,5ad75c7cfcbecee784ef35a9977fa8561b9ed0fb775d54eaef1b9aff6e56f7b9,8402967ec301d49f5815c01394bdc9bd3caa7f0ae34bbb0f8f2d36d53e76689a,1392.0,1464.0,KOY BEH-nee
