term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
buonasera,True,buonasera,good evening,noun,good evening,"greetings,politeness",,,masculine,singular,,,False,False,False,,,,,"invariable masculine noun; greeting formula; often written as two words ""buona sera""; commonly used standalone without article",Buonasera!,Good evening!,51a8875cbc2bb00c1c3e51d1eb74dbe5d45cbaaf0160eb50f375625c66651377,1320.0,0a3839646ce8dcded16e9509ca42100dad9b1a202a9616bc1bfb761fbd69032d,1584.0
un buonasera,False,buonasera,good evening,noun,a good evening,"greetings,politeness",,,masculine,singular,,,False,False,False,indefinite,un,un,,"used with article in phrases like ""Un buonasera a tutti!""; masculine invariable",Un buonasera a tutti!,A good evening to everyone!,2742a7294d15f64d2c19b71f13183e2e5781fc7e6dc666e5a0dd85ac0d328f54,1440.0,47386cf5542a96a63d84389a0dd92bc7657813a217c0c3d65a1d53aefc6927cd,1728.0
il buonasera,False,buonasera,good evening,noun,the good evening,"greetings,politeness",,,masculine,singular,,,False,False,False,definite,il,il,,rare with article; masculine invariable greeting,Il buonasera del presentatore è stato caloroso.,The good evening from the host was warm.,9278bebfa706fa114be48b852cad0e9950399bf082d516f60037514ea72dc644,1440.0,3ddecbf7494dc36b9f2f4da5666bbe5803542661f5879cbc0838e3893636d8d4,1728.0
buonasera,False,buonasera,good evening,noun,good evenings,"greetings,politeness",,,masculine,plural,,,False,False,False,,,,,invariable plural; identical to singular,Ho sentito molti buonasera.,I heard many good evenings.,d59bd8078c4c86ad5a13e46cd7d115dcf4df5480f9a2ab1cfe67dec11c197380,1464.0,0a3839646ce8dcded16e9509ca42100dad9b1a202a9616bc1bfb761fbd69032d,1584.0
i buonasera,False,buonasera,good evening,noun,the good evenings,"greetings,politeness",,,masculine,plural,,,False,False,False,definite,i,i,,invariable plural with article,I buonasera arrivavano da ogni parte.,The good evenings were coming from everywhere.,73cefa0c206e4f4fe86aba352822896d7956ba47effe1c30d6728117f8b2102b,1560.0,f0be83c107ca7732155038fbc1ff77e5c58e5cb21f39c0281bdf4f910ddf058f,1656.0
dei buonasera,False,buonasera,good evening,noun,some good evenings,"greetings,politeness",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Si sentivano dei buonasera nel corridoio.,Some good evenings were heard in the hallway.,b1f23fdaa5b3c633f404dc115b1feda79696826accf6e042715f78ea04b4445b,1680.0,61966df654aa2cda10cb57f08d1167af48c3efb42363be7b3dd9e157a8126e43,1776.0
del buonasera,False,buonasera,good evening,noun,of the good evening,"greetings,politeness",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il tono del buonasera era cordiale.,The tone of the good evening was friendly.,971e10513d19812d3fda3ebab7a874b68a3fa445a730b8fc5f67e7a51f4d1371,1560.0,a7f3a708b3f215e3453500a27ca2aab21b434f8f59784ffe071bb6381b7cd8ab,1800.0
al buonasera,False,buonasera,good evening,noun,to the good evening,"greetings,politeness",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Rispondemmo al buonasera con un sorriso.,We replied to the good evening with a smile.,8942cfd7af8b2025563c7d5c7e826285c5e2edf08547a12318a95a107a178504,1536.0,bd168118083e46d99cdee3bfc0ca9dd4cb8b4d4812644d083bd6b4fd9577506d,1728.0
ai buonasera,False,buonasera,good evening,noun,to the good evenings,"greetings,politeness",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Ho risposto ai buonasera dei vicini.,I replied to the neighbors' good evenings.,42fe94b2145c548f0cdf505469a2666aa822d0c4f8b0284be5cebd7f79957b26,1656.0,e40f93516a074b5cfe4c0f7c546960354bb4d96fe7c532956ea3a374234d2de0,1728.0
dal buonasera,False,buonasera,good evening,noun,from the good evening,"greetings,politeness",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Siamo stati accolti dal buonasera del portiere.,We were welcomed by the doorman's good evening.,3510dd5a3407569ecf2a11b4a568bceafc9232d245e270ac5b2c174d464cc42e,1608.0,cf59dbbd9c2f41bb93b5c1382c189fa490115c02925a9d9905785ff6306ada51,1824.0
