term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
contorno,True,contorno,side dish,noun,side dish,"Food & Drink,Objects & Things,Directions & Position",,,masculine,singular,,,False,False,False,,,,,base lemma; also 'outline/border' in other contexts,Cerco contorno leggero.,I am looking for a light side dish.,35e719681afb939e70372cfb00ec9398183dea6e30f0e4499a7118c041b7f45d,1392.0,b7687be5a66c5d8921985d5353d187fc0bc9f9a5dd7c47bd833ba74d27faebc4,1560.0,kohn-TOHR-noh
un contorno,False,contorno,side dish,noun,a side dish,"Food & Drink,Objects & Things,Directions & Position",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Prendo un contorno di verdure.,I will have a vegetable side dish.,b3f00ea82a4db7f222122c015482cc9611dc4e4f77cf37bfe14966388dfaf12e,1488.0,a7cc5b62ac2f70c07cc360805026874140a0013dc233ca8f199724904cd93007,1752.0,OON kohn-TOHR-noh
il contorno,False,contorno,side dish,noun,the side dish,"Food & Drink,Objects & Things,Directions & Position",,,masculine,singular,,,False,False,False,definite,il,il,,,Il contorno arriva dopo il primo.,The side dish comes after the first course.,0702340a300c07ad78184e4b747ca36cdeb9639842cf22792c41fb4b7ab04245,1488.0,d479b45a1ba8626b2688bbcf7e081dd1f8602ea7cc2e70b3d8e97930db4663c5,1776.0,EEL kohn-TOHR-noh
contorni,False,contorno,side dish,noun,side dishes,"Food & Drink,Objects & Things,Directions & Position",,,masculine,plural,,,False,False,False,,,,,plural form,Contorni fatti in casa piacciono a tutti.,Homemade side dishes please everyone.,ef8beba29fa499d4dbbb7c1ee58b1a288c32b177a86349ef7cf6babd49fe52c9,1488.0,5722b71fe1b62aa7e2d03216d3015bd517cc4735a2ee137510de2765c767361e,1560.0,kohn-TOHR-nee
i contorni,False,contorno,side dish,noun,the side dishes,"Food & Drink,Objects & Things,Directions & Position",,,masculine,plural,,,False,False,False,definite,i,i,,,I contorni sono già pronti.,The side dishes are already ready.,6917960a5d924f783f261cfd38c6dd14dce2e4561d9a90e6ca2bd15f706f13fc,1584.0,9760455ed0091c1b2f062e73f8311c90353a5fc5d27f29186bb04327080dc9ea,1680.0,EE kohn-TOHR-nee
dei contorni,False,contorno,side dish,noun,some side dishes,"Food & Drink,Objects & Things,Directions & Position",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Assaggiamo dei contorni diversi.,We taste some different side dishes.,93df015655f17b868b422b621481a2bdd9ddaef8280822b4dcdf492921edbeb4,1752.0,a71ff0d047ca1a87c3ab02a27c944767f832320590b920893b8affadcb6098c8,1800.0,DAY kohn-TOHR-nee
del contorno,False,contorno,side dish,noun,of the side dish,"Food & Drink,Objects & Things,Directions & Position",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il sapore del contorno è delicato.,The flavor of the side dish is delicate.,1de3644fea0fee4f709a7a60deb4a33b46632b6e300783d132c388fc1a212486,1608.0,9c927b5f3ee00028f9c9f34336298c92229c1c4daee2e09f80312dc2792439a1,1824.0,DEHL kohn-TOHR-noh
al contorno,False,contorno,side dish,noun,to the side dish,"Food & Drink,Objects & Things,Directions & Position",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Aggiungo sale al contorno.,I add salt to the side dish.,43db3e25b5cc7a4b35258014672bf2c8e456ba7d46947e16a93983b595ac3bf5,1608.0,1b78f4297e7351d8a94124494a107bdfaa884d5ed6a308e9448492bdad3cbfb6,1752.0,AHL kohn-TOHR-noh
ai contorni,False,contorno,side dish,noun,to the side dishes,"Food & Drink,Objects & Things,Directions & Position",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Metto olio ai contorni.,I put oil on the side dishes.,c2cf9f8451dfc82677ab4da702d59d9af9c7772e8a4012ecc360eac16799bfbd,1704.0,dffdd7b29c6af801e9ddcdd6a9c6b69fb434b934d338eaaa7035990610c63f03,1728.0,EYE kohn-TOHR-nee
dal contorno,False,contorno,side dish,noun,from the side dish,"Food & Drink,Objects & Things,Directions & Position",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Inizio dal contorno.,I start from the side dish.,fc352b1ad4d1c9fc35c727aa03ee60fb7eda4f634e9ac0e4d7d9ebd0b14493e2,1680.0,e31ffd173670fbc7adff1875195d89373bad87c1142a9568170ec1b76b84ec62,1824.0,DAHL kohn-TOHR-noh
dai contorni,False,contorno,side dish,noun,from the side dishes,"Food & Drink,Objects & Things,Directions & Position",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Partiamo dai contorni.,We start from the side dishes.,54a2414c3ec3eed3274151a720e7e7bc85f659f66f9624a082a9d5659bc8e2de,1776.0,ed6024e7fe4858b19300dd0154b7f26c9f84dff5571b464a6bc31f0dc08394e3,1824.0,DEYE kohn-TOHR-nee
